tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,37036214,46897435,1.27,39153775,1.06,120503761,3.25,0,0.00,0,0.00
2,5238171,5717120,1.09,10074148,1.92,47215918,9.01,99770,0.02,518,0.00
3,1900953,2896751,1.52,2189567,1.15,28232092,14.85,1228455,0.65,8246,0.00
4,231118,335693,1.45,291889,1.26,3995673,17.29,56110,0.24,9588,0.04
5,411743,976879,2.37,407053,0.99,15180557,36.87,906409,2.20,11789,0.03
6,45869,116711,2.54,152448,3.32,2382400,51.94,528293,11.52,6353,0.14
7,95748,374144,3.91,143735,1.50,5221726,54.54,1260927,13.17,8151,0.09
8,15343,44713,2.91,22988,1.50,1222720,79.69,74374,4.85,5973,0.39
9,23691,74266,3.13,16068,0.68,1814200,76.58,241694,10.20,12715,0.54
10,16016,55167,3.44,30826,1.92,1586144,99.03,202333,12.63,7115,0.44
11,30120,55994,1.86,32160,1.07,3275851,108.76,144047,4.78,7083,0.24
12,10199,31569,3.10,13765,1.35,1264554,123.99,144542,14.17,462,0.05
13,14584,58369,4.00,16472,1.13,2187692,150.01,322474,22.11,2382,0.16
14,4086,10474,2.56,5106,1.25,756817,185.22,25369,6.21,7571,1.85
15,6293,42355,6.73,16628,2.64,1362769,216.55,291256,46.28,4337,0.69
16,9356,39011,4.17,18606,1.99,2123359,226.95,258816,27.66,11630,1.24
17,15980,40964,2.56,25150,1.57,3687910,230.78,419013,26.22,10438,0.65
18,4328,20978,4.85,8971,2.07,1445969,334.10,114871,26.54,5935,1.37
19,30112,136408,4.53,41228,1.37,9701434,322.18,811526,26.95,10447,0.35
20,8017,27449,3.42,10705,1.34,2504416,312.39,164120,20.47,1063,0.13
21,5833,20841,3.57,10852,1.86,1431419,245.40,178824,30.66,11549,1.98
22,13433,27312,2.03,13969,1.04,3202915,238.44,251583,18.73,9930,0.74
23,3415,13769,4.03,4458,1.31,1322441,387.24,122729,35.94,4984,1.46
24,93941,99117,1.06,93984,1.00,35625097,379.23,1141686,12.15,32292,0.34
25,3726,17036,4.57,6857,1.84,1730801,464.52,295383,79.28,15436,4.14
26,2580,14688,5.69,7163,2.78,1403823,544.12,77970,30.22,3899,1.51
27,7497,29803,3.98,10250,1.37,3325359,443.56,358494,47.82,8837,1.18
28,18461,301194,16.32,148835,8.06,7464259,404.33,6025766,326.41,6493,0.35
29,4891,18461,3.77,6241,1.28,2110461,431.50,224841,45.97,12547,2.57
30,3834,15560,4.06,5381,1.40,2189382,571.04,190488,49.68,46819,12.21
31,3269,20877,6.39,4423,1.35,2466537,754.52,344140,105.27,7255,2.22
32,1240,11763,9.49,3879,3.13,794964,641.10,147427,118.89,5313,4.28
33,6935,34229,4.94,22986,3.31,4683329,675.32,899574,129.72,16362,2.36
34,802,6059,7.55,2116,2.64,520115,648.52,71015,88.55,7910,9.86
35,3456,20092,5.81,16046,4.64,1887775,546.23,295580,85.53,13782,3.99
36,673,4820,7.16,822,1.22,395731,588.01,50147,74.51,3936,5.85
37,1101,10833,9.84,3034,2.76,786465,714.32,254185,230.87,7517,6.83
38,1251,7512,6.00,5289,4.23,862127,689.15,87709,70.11,2324,1.86
39,183616,185683,1.01,367457,2.00,194702285,1060.38,5329413,29.02,46302,0.25
40,1909,12360,6.47,4635,2.43,1735922,909.34,217557,113.96,6415,3.36
41,1081,4194,3.88,4325,4.00,430859,398.57,92637,85.70,12762,11.81
42,1020,11393,11.17,1214,1.19,735067,720.65,216378,212.14,22504,22.06
43,1108,12249,11.06,4648,4.19,1045508,943.60,295454,266.66,2142,1.93
44,1297,6331,4.88,3044,2.35,796926,614.44,79319,61.16,42102,32.46
45,15020,29017,1.93,15354,1.02,18061854,1202.52,1062964,70.77,30255,2.01
46,928,11589,12.49,3955,4.26,693888,747.72,225317,242.80,2592,2.79
47,1149,7066,6.15,2239,1.95,1279603,1113.67,138673,120.69,5102,4.44
48,49140,102843,2.09,51219,1.04,76295616,1552.62,2643327,53.79,28305,0.58
49,2769,17738,6.41,5743,2.07,2858480,1032.31,274864,99.26,29759,10.75
50,1010,8372,8.29,2875,2.85,1058721,1048.24,116927,115.77,22674,22.45
51,325,3028,9.32,1053,3.24,542746,1669.99,82554,254.01,1866,5.74
52,5617,25351,4.51,15917,2.83,5889148,1048.45,717018,127.65,20306,3.62
53,4454,38197,8.58,13819,3.10,9240536,2074.66,1102797,247.60,10044,2.26
54,664,3527,5.31,749,1.13,1065997,1605.42,55837,84.09,6047,9.11
55,663,11969,18.05,1436,2.17,1123491,1694.56,272419,410.89,10984,16.57
56,122,1742,14.28,487,3.99,164495,1348.32,30481,249.84,264,2.16
57,285,4329,15.19,1123,3.94,424400,1489.12,88778,311.50,3926,13.78
58,1612,13683,8.49,10595,6.57,2054798,1274.69,372269,230.94,4306,2.67
59,9936,29979,3.02,29902,3.01,12135014,1221.32,940592,94.67,46312,4.66
60,2075,13245,6.38,2764,1.33,2884570,1390.15,494363,238.25,10541,5.08
61,362,2279,6.30,811,2.24,400923,1107.52,45076,124.52,12995,35.90
62,198,2050,10.35,738,3.73,372798,1882.82,57358,289.69,2459,12.42
63,191,1770,9.27,247,1.29,400491,2096.81,57949,303.40,3136,16.42
64,541,3458,6.39,6769,12.51,1331881,2461.89,169018,312.42,6766,12.51
65,1233,9877,8.01,3050,2.47,1412345,1145.45,242074,196.33,17767,14.41
66,205,2882,14.06,575,2.80,330138,1610.43,74937,365.55,1249,6.09
67,1130,11368,10.06,2839,2.51,1700595,1504.95,250181,221.40,35109,31.07
68,1246,13309,10.68,7563,6.07,2114034,1696.66,393741,316.00,27352,21.95
69,15999,128434,8.03,16203,1.01,25910799,1619.53,4614401,288.42,17520,1.10
70,70,1138,16.26,246,3.51,133424,1906.06,31240,446.29,683,9.76
71,401,6403,15.97,1156,2.88,596937,1488.62,151111,376.84,7806,19.47
72,38,470,12.37,36,0.95,86011,2263.45,18597,489.39,1039,27.34
73,181,3372,18.63,1464,8.09,301031,1663.15,132635,732.79,3037,16.78
74,135,3354,24.84,1136,8.41,250910,1858.59,60385,447.30,1952,14.46
75,433,3212,7.42,778,1.80,888047,2050.92,78311,180.86,25670,59.28
76,271,3210,11.85,1188,4.38,595749,2198.34,201312,742.85,3822,14.10
77,251,4294,17.11,1022,4.07,487611,1942.67,110237,439.19,7932,31.60
78,545,3738,6.86,262897,482.38,1729781,3173.91,167578,307.48,13766,25.26
79,2556,28644,11.21,6088,2.38,6748354,2640.20,894829,350.09,72672,28.43
80,168,2458,14.63,570,3.39,495700,2950.60,94687,563.61,1705,10.15
81,805,8713,10.82,5558,6.90,1529612,1900.14,381496,473.91,19119,23.75
82,661,11508,17.41,3433,5.19,2097411,3173.09,357462,540.79,3557,5.38
83,579,5954,10.28,1204,2.08,1071520,1850.64,107867,186.30,39129,67.58
84,76,979,12.88,218,2.87,187054,2461.24,38275,503.62,3273,43.07
85,322,4766,14.80,1286,3.99,803282,2494.66,175248,544.25,6859,21.30
86,55,889,16.16,169,3.07,129769,2359.44,32302,587.31,2122,38.58
