tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,29648,36398,1.23,29638,1.00,94536,3.19,0,0.00,0,0.00
2,3110,3481,1.12,5634,1.81,27700,8.91,16,0.01,1,0.00
3,3888,5819,1.50,4866,1.25,59993,15.43,2620,0.67,12,0.00
4,101,92,0.91,86,0.85,1834,18.16,11,0.11,14,0.14
5,815,1349,1.66,665,0.82,22752,27.92,1992,2.44,20,0.02
6,25,62,2.48,75,3.00,1164,46.56,291,11.64,10,0.40
7,173,540,3.12,172,0.99,7726,44.66,2430,14.05,22,0.13
8,18,25,1.39,18,1.00,1264,70.22,35,1.94,7,0.39
9,34,93,2.74,24,0.71,2376,69.88,311,9.15,16,0.47
10,8,14,1.75,7,0.88,894,111.75,23,2.88,9,1.12
11,38,82,2.16,59,1.55,4390,115.53,96,2.53,5,0.13
12,14,34,2.43,11,0.79,1252,89.43,163,11.64,11,0.79
13,10,29,2.90,11,1.10,1538,153.80,169,16.90,20,2.00
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,13,60,4.62,16,1.23,1610,123.85,418,32.15,28,2.15
16,6,21,3.50,6,1.00,1080,180.00,126,21.00,0,0.00
17,144,450,3.12,291,2.02,36554,253.85,4359,30.27,8,0.06
18,58,64,1.10,58,1.00,10092,174.00,304,5.24,801,13.81
19,8,51,6.38,18,2.25,2274,284.25,540,67.50,0,0.00
20,4,13,3.25,4,1.00,841,210.25,151,37.75,0,0.00
21,9,60,6.67,26,2.89,2153,239.22,674,74.89,47,5.22
22,11,14,1.27,6,0.55,2346,213.27,127,11.55,17,1.55
23,21,103,4.90,31,1.48,6917,329.38,1537,73.19,18,0.86
24,24,98,4.08,24,1.00,9450,393.75,1636,68.17,18,0.75
25,2,36,18.00,12,6.00,683,341.50,728,364.00,0,0.00
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,2,39,19.50,13,6.50,743,371.50,872,436.00,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,3,56,18.67,14,4.67,984,328.00,1380,460.00,0,0.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,27925,698.12,1920,48.00,962,24.05
32,4,39,9.75,6,1.50,2637,659.25,746,186.50,35,8.75
33,27,201,7.44,67,2.48,17505,648.33,3167,117.30,32,1.19
34,4,28,7.00,7,1.75,3765,941.25,554,138.50,0,0.00
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,2,21,10.50,1,0.50,444,222.00,482,241.00,14,7.00
37,3,65,21.67,22,7.33,1601,533.67,1971,657.00,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,6,56,9.33,6,1.00,4102,683.67,1247,207.83,0,0.00
41,7,81,11.57,36,5.14,5455,779.29,2775,396.43,32,4.57
42,4,47,11.75,3,0.75,2151,537.75,1052,263.00,118,29.50
43,23,274,11.91,42,1.83,21275,925.00,4104,178.43,84,3.65
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,5,93,18.60,25,5.00,3781,756.20,3234,646.80,98,19.60
46,3,23,7.67,3,1.00,1812,604.00,884,294.67,42,14.00
