tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,66353,81080,1.22,66352,1.00,210653,3.17,0,0.00,0,0.00
2,7102,7921,1.12,13029,1.83,63685,8.97,36,0.01,1,0.00
3,8193,12152,1.48,10198,1.24,125817,15.36,5412,0.66,49,0.01
4,209,214,1.02,212,1.01,4148,19.85,64,0.31,27,0.13
5,1712,2874,1.68,1391,0.81,48706,28.45,4026,2.35,52,0.03
6,61,154,2.52,104,1.70,2759,45.23,500,8.20,27,0.44
7,373,1148,3.08,358,0.96,16755,44.92,5033,13.49,69,0.18
8,58,103,1.78,56,0.97,3674,63.34,122,2.10,35,0.60
9,114,421,3.69,61,0.54,8263,72.48,1192,10.46,78,0.68
10,23,38,1.65,20,0.87,2233,97.09,57,2.48,27,1.17
11,98,228,2.33,133,1.36,11313,115.44,258,2.63,21,0.21
12,34,170,5.00,30,0.88,3662,107.71,1120,32.94,30,0.88
13,26,111,4.27,31,1.19,4366,167.92,556,21.38,36,1.38
14,22,78,3.55,20,0.91,4533,206.05,272,12.36,42,1.91
15,24,112,4.67,31,1.29,3312,138.00,768,32.00,86,3.58
16,27,67,2.48,31,1.15,5290,195.93,341,12.63,50,1.85
17,295,921,3.12,579,1.96,74511,252.58,8849,30.00,144,0.49
18,120,147,1.23,120,1.00,21385,178.21,722,6.02,1619,13.49
19,17,100,5.88,34,2.00,4326,254.47,1130,66.47,70,4.12
20,7,31,4.43,7,1.00,1984,283.43,279,39.86,0,0.00
21,14,110,7.86,48,3.43,4604,328.86,1292,92.29,40,2.86
22,19,25,1.32,8,0.42,3578,188.32,178,9.37,101,5.32
23,41,214,5.22,62,1.51,13825,337.20,3170,77.32,22,0.54
24,48,197,4.10,48,1.00,18683,389.23,3223,67.15,23,0.48
25,10,109,10.90,37,3.70,3145,314.50,1860,186.00,75,7.50
26,9,29,3.22,9,1.00,3448,383.11,475,52.78,44,4.89
27,9,133,14.78,39,4.33,4198,466.44,2160,240.00,24,2.67
28,4,60,15.00,22,5.50,1328,332.00,1277,319.25,24,6.00
