tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,57106,68921,1.21,55338,0.97,177600,3.11,0,0.00,0,0.00
2,8446,9272,1.10,15437,1.83,75633,8.95,63,0.01,6,0.00
3,5454,8175,1.50,6971,1.28,84337,15.46,3896,0.71,44,0.01
4,262,327,1.25,238,0.91,4497,17.16,103,0.39,15,0.06
5,1304,2260,1.73,1077,0.83,38636,29.63,3017,2.31,34,0.03
6,105,280,2.67,248,2.36,5326,50.72,1023,9.74,21,0.20
7,328,1093,3.33,308,0.94,15430,47.04,3637,11.09,31,0.09
8,91,218,2.40,113,1.24,6059,66.58,379,4.16,43,0.47
9,211,665,3.15,116,0.55,16004,75.85,1828,8.66,75,0.36
10,37,62,1.68,37,1.00,4130,111.62,100,2.70,0,0.00
11,105,213,2.03,123,1.17,11982,114.11,421,4.01,48,0.46
12,54,259,4.80,46,0.85,5282,97.81,1732,32.07,11,0.20
13,36,134,3.72,32,0.89,5518,153.28,598,16.61,24,0.67
14,25,63,2.52,31,1.24,4625,185.00,156,6.24,52,2.08
15,37,183,4.95,31,0.84,4414,119.30,1438,38.86,34,0.92
16,51,141,2.76,58,1.14,9961,195.31,627,12.29,133,2.61
17,167,525,3.14,329,1.97,41558,248.85,4951,29.65,90,0.54
18,61,77,1.26,61,1.00,11110,182.13,362,5.93,801,13.13
19,32,137,4.28,41,1.28,6955,217.34,1043,32.59,135,4.22
20,10,21,2.10,10,1.00,1894,189.40,223,22.30,0,0.00
21,22,167,7.59,46,2.09,7480,340.00,1497,68.05,101,4.59
22,47,58,1.23,32,0.68,9121,194.06,475,10.11,105,2.23
23,38,163,4.29,52,1.37,10364,272.74,1881,49.50,44,1.16
24,33,118,3.58,33,1.00,12421,376.39,1997,60.52,12,0.36
25,11,72,6.55,30,2.73,3269,297.18,1113,101.18,153,13.91
26,10,20,2.00,10,1.00,3418,341.80,298,29.80,22,2.20
27,9,123,13.67,34,3.78,4392,488.00,1287,143.00,20,2.22
