tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,148915,178151,1.20,140082,0.94,455986,3.06,0,0.00,0,0.00
2,26879,29342,1.09,48633,1.81,239973,8.93,237,0.01,28,0.00
3,10810,16643,1.54,14472,1.34,169387,15.67,8893,0.82,212,0.02
4,809,1232,1.52,693,0.86,12530,15.49,396,0.49,64,0.08
5,3095,5648,1.82,2620,0.85,96089,31.05,7213,2.33,104,0.03
6,369,1003,2.72,1127,3.05,20146,54.60,4338,11.76,33,0.09
7,926,3114,3.36,847,0.91,43966,47.48,8543,9.23,143,0.15
8,302,880,2.91,410,1.36,23346,77.30,1626,5.38,212,0.70
9,795,2510,3.16,419,0.53,61263,77.06,6973,8.77,344,0.43
10,150,237,1.58,150,1.00,16899,112.66,324,2.16,12,0.08
11,412,797,1.93,404,0.98,45664,110.83,1737,4.22,273,0.66
12,237,1050,4.43,173,0.73,23626,99.69,6326,26.69,310,1.31
13,142,513,3.61,100,0.70,20658,145.48,2154,15.17,190,1.34
14,103,239,2.32,131,1.27,17750,172.33,582,5.65,213,2.07
15,102,520,5.10,97,0.95,13914,136.41,3902,38.25,86,0.84
16,206,603,2.93,237,1.15,39739,192.91,2503,12.15,604,2.93
17,266,827,3.11,502,1.89,62933,236.59,7614,28.62,287,1.08
18,63,80,1.27,63,1.00,11529,183.00,384,6.10,798,12.67
19,102,405,3.97,122,1.20,24032,235.61,2713,26.60,220,2.16
20,32,43,1.34,32,1.00,4908,153.38,465,14.53,0,0.00
21,80,595,7.44,124,1.55,31793,397.41,4179,52.24,280,3.50
22,177,186,1.05,118,0.67,38207,215.86,2094,11.83,203,1.15
23,108,392,3.63,145,1.34,25229,233.60,3677,34.05,129,1.19
24,77,228,2.96,77,1.00,27205,353.31,3921,50.92,24,0.31
25,35,169,4.83,98,2.80,12077,345.06,3280,93.71,340,9.71
26,34,66,1.94,40,1.18,11077,325.79,636,18.71,38,1.12
27,41,523,12.76,121,2.95,20039,488.76,4668,113.85,36,0.88
28,4,32,8.00,13,3.25,1813,453.25,636,159.00,49,12.25
29,3,56,18.67,14,4.67,984,328.00,1380,460.00,0,0.00
30,29,181,6.24,29,1.00,5846,201.59,1434,49.45,152,5.24
31,44,157,3.57,34,0.77,28627,650.61,2419,54.98,934,21.23
32,31,302,9.74,60,1.94,22113,713.32,5244,169.16,31,1.00
33,26,192,7.38,64,2.46,16907,650.27,2942,113.15,0,0.00
34,3,25,8.33,3,1.00,1971,657.00,547,182.33,33,11.00
35,8,70,8.75,25,3.12,5131,641.38,1807,225.88,16,2.00
36,2,23,11.50,2,1.00,963,481.50,546,273.00,12,6.00
37,44,417,9.48,94,2.14,27399,622.70,10493,238.48,284,6.45
38,2,30,15.00,2,1.00,1085,542.50,911,455.50,0,0.00
39,2,57,28.50,19,9.50,1069,534.50,1494,747.00,28,14.00
40,35,259,7.40,35,1.00,27203,777.23,3047,87.06,101,2.89
41,44,239,5.43,132,3.00,14930,339.32,3827,86.98,396,9.00
42,37,497,13.43,11,0.30,18989,513.22,11240,303.78,1311,35.43
43,23,270,11.74,38,1.65,19791,860.48,3904,169.74,212,9.22
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,59,714,12.10,79,1.34,44206,749.25,14089,238.80,1432,24.27
46,33,423,12.82,147,4.45,23629,716.03,8814,267.09,88,2.67
47,18,288,16.00,61,3.39,16668,926.00,5413,300.72,46,2.56
48,31,312,10.06,117,3.77,29160,940.65,4248,137.03,157,5.06
49,62,220,3.55,86,1.39,70327,1134.31,5773,93.11,532,8.58
50,3,41,13.67,3,1.00,2663,887.67,1500,500.00,46,15.33
51,2,58,29.00,27,13.50,1893,946.50,2552,1276.00,0,0.00
52,32,410,12.81,64,2.00,20570,642.81,6733,210.41,101,3.16
53,2,59,29.50,27,13.50,1723,861.50,2734,1367.00,0,0.00
54,31,146,4.71,31,1.00,46956,1514.71,1539,49.65,235,7.58
55,30,534,17.80,28,0.93,59976,1999.20,11408,380.27,578,19.27
56,3,32,10.67,4,1.33,4042,1347.33,1113,371.00,0,0.00
57,9,170,18.89,42,4.67,12513,1390.33,3044,338.22,112,12.44
58,2,28,14.00,2,1.00,3749,1874.50,1060,530.00,0,0.00
59,29,234,8.07,30,1.03,29436,1015.03,3518,121.31,554,19.10
60,41,133,3.24,41,1.00,39454,962.29,7723,188.37,88,2.15
61,7,54,7.71,20,2.86,2820,402.86,447,63.86,178,25.43
62,1,6,6.00,3,3.00,957,957.00,98,98.00,0,0.00
63,1,8,8.00,3,3.00,869,869.00,192,192.00,0,0.00
64,2,22,11.00,2,1.00,4122,2061.00,864,432.00,0,0.00
65,30,129,4.30,34,1.13,18499,616.63,3060,102.00,13,0.43
66,4,5,1.25,2,0.50,4452,1113.00,312,78.00,192,48.00
67,12,275,22.92,61,5.08,18475,1539.58,7035,586.25,0,0.00
68,30,173,5.77,113,3.77,29486,982.87,3156,105.20,717,23.90
69,2,2,1.00,0,0.00,4196,2098.00,140,70.00,136,68.00
70,2,23,11.50,5,2.50,3400,1700.00,852,426.00,0,0.00
72,2,28,14.00,2,1.00,5248,2624.00,1142,571.00,0,0.00
75,1,2,2.00,0,0.00,1709,1709.00,22,22.00,74,74.00
76,3,46,15.33,3,1.00,8666,2888.67,1962,654.00,0,0.00
77,9,263,29.22,65,7.22,15199,1688.78,6438,715.33,57,6.33
78,2,36,18.00,2,1.00,5704,2852.00,1496,748.00,0,0.00
79,2,28,14.00,13,6.50,830,415.00,330,165.00,138,69.00
80,1,18,18.00,1,1.00,2782,2782.00,949,949.00,0,0.00
81,4,61,15.25,16,4.00,2217,554.25,1659,414.75,80,20.00
82,2,31,15.50,4,2.00,4009,2004.50,1199,599.50,0,0.00
83,1,11,11.00,8,8.00,915,915.00,170,170.00,0,0.00
84,1,22,22.00,1,1.00,3026,3026.00,1059,1059.00,0,0.00
85,6,90,15.00,8,1.33,4448,741.33,2190,365.00,336,56.00
86,4,66,16.50,4,1.00,10785,2696.25,3069,767.25,82,20.50
87,22,95,4.32,26,1.18,47757,2170.77,3654,166.09,1376,62.55
88,2,24,12.00,2,1.00,4587,2293.50,1301,650.50,0,0.00
89,6,29,4.83,4,0.67,11810,1968.33,1695,282.50,440,73.33
90,1,30,30.00,1,1.00,1544,1544.00,3728,3728.00,85,85.00
91,24,696,29.00,240,10.00,34583,1440.96,27789,1157.88,97,4.04
94,2,23,11.50,1,0.50,3775,1887.50,1232,616.00,93,46.50
95,1,7,7.00,1,1.00,2049,2049.00,130,130.00,65,65.00
97,2,64,32.00,10,5.00,2549,1274.50,2925,1462.50,96,48.00
99,3,35,11.67,10,3.33,4461,1487.00,488,162.67,196,65.33
100,1,18,18.00,1,1.00,4959,4959.00,639,639.00,0,0.00
101,4,60,15.00,24,6.00,2640,660.00,611,152.75,24,6.00
102,2,4,2.00,8,4.00,11652,5826.00,726,363.00,0,0.00
105,1,7,7.00,4,4.00,1402,1402.00,141,141.00,0,0.00
108,1,2,2.00,1,1.00,1527,1527.00,80,80.00,104,104.00
109,3,76,25.33,6,2.00,14174,4724.67,2217,739.00,108,36.00
110,13,260,20.00,78,6.00,65968,5074.46,6524,501.85,0,0.00
113,5,127,25.40,3,0.60,10630,2126.00,4954,990.80,439,87.80
114,1,74,74.00,13,13.00,3644,3644.00,3474,3474.00,0,0.00
115,2,46,23.00,10,5.00,3954,1977.00,4748,2374.00,0,0.00
117,29,940,32.41,51,1.76,145720,5024.83,29717,1024.72,737,25.41
119,2,4,2.00,8,4.00,17462,8731.00,1126,563.00,0,0.00
121,5,114,22.80,23,4.60,14680,2936.00,2654,530.80,64,12.80
123,1,142,142.00,1,1.00,4494,4494.00,503,503.00,81,81.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
126,1,1,1.00,1,1.00,1738,1738.00,248,248.00,100,100.00
127,17,520,30.59,156,9.18,86740,5102.35,15997,941.00,116,6.82
130,1,3,3.00,1,1.00,1900,1900.00,88,88.00,104,104.00
132,1,86,86.00,15,15.00,4236,4236.00,4711,4711.00,0,0.00
136,2,4,2.00,10,5.00,25829,12914.50,1720,860.00,5,2.50
137,2,112,56.00,28,14.00,5978,2989.00,5122,2561.00,0,0.00
141,55,2708,49.24,565,10.27,161436,2935.20,142826,2596.84,1776,32.29
