tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,17989209,20330184,1.13,17346110,0.96,54039177,3.00,0,0.00,0,0.00
2,3252232,5077986,1.56,6762507,2.08,31354186,9.64,33448,0.01,671,0.00
3,1050077,1516961,1.44,1582911,1.51,15049605,14.33,917057,0.87,5197,0.00
4,509849,710862,1.39,619055,1.21,10862238,21.30,127242,0.25,21367,0.04
5,287735,535801,1.86,355005,1.23,9123696,31.71,538838,1.87,3880,0.01
6,100370,103027,1.03,46359,0.46,3813759,38.00,11136,0.11,3073,0.03
7,3364,14230,4.23,6729,2.00,178056,52.93,29201,8.68,573,0.17
8,36371,88318,2.43,11385,0.31,1529055,42.04,5332,0.15,766,0.02
9,35781,32848,0.92,46668,1.30,1307585,36.54,168314,4.70,2173,0.06
10,303,594,1.96,358,1.18,32100,105.94,1181,3.90,32,0.11
11,15390,5286,0.34,16703,1.09,1010025,65.63,11523,0.75,763,0.05
12,25730,27301,1.06,25648,1.00,2547386,99.00,12346,0.48,246,0.01
13,2147,121178,56.44,207601,96.69,983435,458.05,43112,20.08,7426,3.46
14,1367,9614,7.03,5164,3.78,125993,92.17,60079,43.95,768,0.56
15,67874,137804,2.03,68015,1.00,7632289,112.45,744046,10.96,29860,0.44
16,449,1354,3.02,482,1.07,89144,198.54,5605,12.48,1470,3.27
17,116743,239781,2.05,136045,1.17,18414620,157.74,1933778,16.56,80775,0.69
18,89985,808734,8.99,269827,3.00,55773010,619.80,2449582,27.22,2893,0.03
19,4571,21756,4.76,17486,3.83,1230084,269.11,123594,27.04,46933,10.27
20,103033,926632,8.99,308913,3.00,76385987,741.37,2779112,26.97,2697,0.03
21,2695,12528,4.65,8534,3.17,802147,297.64,64944,24.10,26937,10.00
22,391,480,1.23,277,0.71,77565,198.38,4039,10.33,275,0.70
23,44949,94136,2.09,47947,1.07,15346797,341.43,761306,16.94,51773,1.15
24,203,2585,12.73,1319,6.50,69975,344.70,33924,167.11,59,0.29
25,787,5227,6.64,3071,3.90,268577,341.27,28441,36.14,12108,15.39
26,426,4139,9.72,1770,4.15,524703,1231.70,24839,58.31,106,0.25
27,430,3471,8.07,1579,3.67,166831,387.98,14017,32.60,7409,17.23
28,158,1818,11.51,756,4.78,168655,1067.44,28325,179.27,65,0.41
29,314,4225,13.46,2053,6.54,109632,349.15,44129,140.54,4646,14.80
30,54,325,6.02,53,0.98,10920,202.22,1475,27.31,484,8.96
31,153,1155,7.55,433,2.83,69558,454.63,6197,40.50,3338,21.82
32,209,875,4.19,263,1.26,141785,678.40,12908,61.76,138,0.66
33,207,1276,6.16,433,2.09,117160,565.99,10282,49.67,3728,18.01
