tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,14565370,18080843,1.24,14765000,1.01,47075842,3.23,0,0.00,0,0.00
2,2823046,3026580,1.07,5064176,1.79,25024735,8.86,2320,0.00,90,0.00
3,1402140,2055662,1.47,1424486,1.02,20315844,14.49,627614,0.45,3136,0.00
4,69045,83552,1.21,71730,1.04,1571890,22.77,35728,0.52,343,0.00
5,652450,854785,1.31,636989,0.98,20200661,30.96,205848,0.32,8765,0.01
6,83744,261821,3.13,203328,2.43,6234023,74.44,150533,1.80,1244,0.01
7,24731,171295,6.93,32616,1.32,1865934,75.45,154396,6.24,1611,0.07
8,4641,10479,2.26,7879,1.70,414261,89.26,8965,1.93,717,0.15
9,23295,78472,3.37,3023,0.13,1902262,81.66,144945,6.22,8517,0.37
10,9500,22102,2.33,19839,2.09,1057562,111.32,14839,1.56,145,0.02
11,14905,82156,5.51,42745,2.87,2425878,162.76,278282,18.67,2117,0.14
12,352,1172,3.33,304,0.86,37486,106.49,4057,11.53,380,1.08
13,3739,28312,7.57,7875,2.11,647363,173.14,149762,40.05,1464,0.39
14,98,291,2.97,257,2.62,12377,126.30,543,5.54,400,4.08
15,15942,50790,3.19,29837,1.87,5067884,317.90,111131,6.97,2866,0.18
16,16001,55142,3.45,20988,1.31,5611070,350.67,138709,8.67,18595,1.16
17,20367,61933,3.04,21057,1.03,7464595,366.50,80835,3.97,16132,0.79
18,105,610,5.81,369,3.51,29787,283.69,5188,49.41,807,7.69
19,521,3508,6.73,1578,3.03,127793,245.28,30054,57.69,1998,3.83
20,15312,46732,3.05,14636,0.96,5493939,358.80,263757,17.23,2852,0.19
21,6581,54578,8.29,27448,4.17,2141987,325.48,603583,91.72,4797,0.73
22,1156,2625,2.27,1488,1.29,260246,225.13,33231,28.75,1769,1.53
23,1295,9571,7.39,1886,1.46,415061,320.51,102221,78.94,417,0.32
24,706,2188,3.10,867,1.23,242661,343.71,24587,34.83,312,0.44
25,318,1699,5.34,901,2.83,86000,270.44,27002,84.91,599,1.88
26,6583,73179,11.12,37467,5.69,2854897,433.68,1041769,158.25,12253,1.86
27,14629,88393,6.04,29265,2.00,10470701,715.75,903010,61.73,1169,0.08
28,1007,4994,4.96,892,0.89,272171,270.28,50000,49.65,1859,1.85
29,124,1197,9.65,230,1.85,50971,411.06,22558,181.92,280,2.26
30,104,839,8.07,395,3.80,55725,535.82,8454,81.29,209,2.01
31,1559,26403,16.94,13864,8.89,893188,572.92,450906,289.23,2985,1.91
32,145,1613,11.12,1128,7.78,76748,529.30,68597,473.08,163,1.12
33,3024,15760,5.21,3596,1.19,2715236,897.90,163984,54.23,13884,4.59
34,224,2873,12.83,1622,7.24,104779,467.76,86529,386.29,1708,7.62
35,434,2300,5.30,588,1.35,203267,468.36,30726,70.80,3805,8.77
36,2055,36796,17.91,19147,9.32,1341076,652.59,785518,382.25,5180,2.52
37,319,3623,11.36,1178,3.69,250609,785.61,69745,218.64,1365,4.28
38,88,769,8.74,264,3.00,63669,723.51,19443,220.94,126,1.43
39,210,2022,9.63,773,3.68,167107,795.75,43401,206.67,2008,9.56
40,98,1984,20.24,967,9.87,59928,611.51,61415,626.68,242,2.47
41,1207,21956,18.19,11114,9.21,958613,794.21,509712,422.30,4882,4.04
42,31,502,16.19,140,4.52,17091,551.32,18053,582.35,747,24.10
43,183,1460,7.98,443,2.42,189281,1034.32,23445,128.11,1484,8.11
44,217,1188,5.47,765,3.53,141243,650.89,26232,120.88,60,0.28
45,175,1769,10.11,368,2.10,133440,762.51,30414,173.79,3395,19.40
46,268,8713,32.51,4439,16.56,263346,982.63,212425,792.63,620,2.31
47,62,629,10.15,295,4.76,36067,581.73,21263,342.95,124,2.00
48,185,1161,6.28,606,3.28,227036,1227.22,29701,160.55,4360,23.57
49,380,2570,6.76,715,1.88,498438,1311.68,57380,151.00,2271,5.98
50,21,286,13.62,37,1.76,24197,1152.24,3932,187.24,499,23.76
51,510,17588,34.49,9480,18.59,604596,1185.48,464529,910.84,2278,4.47
52,79,857,10.85,199,2.52,69841,884.06,22194,280.94,578,7.32
53,7527,52688,7.00,7619,1.01,16407906,2179.87,1129002,149.99,7488,0.99
54,51,217,4.25,161,3.16,46869,919.00,4176,81.88,524,10.27
55,420,12425,29.58,5763,13.72,339673,808.75,142977,340.42,14394,34.27
56,358,5385,15.04,2910,8.13,539226,1506.22,168754,471.38,562,1.57
