tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,32346,39517,1.22,32535,1.01,103196,3.19,0,0.00,0,0.00
2,3734,4138,1.11,6801,1.82,33232,8.90,238,0.06,0,0.00
3,4121,6313,1.53,5467,1.33,64410,15.63,3250,0.79,14,0.00
4,123,167,1.36,123,1.00,2688,21.85,193,1.57,18,0.15
5,894,1485,1.66,742,0.83,25143,28.12,2102,2.35,20,0.02
6,29,82,2.83,115,3.97,1504,51.86,450,15.52,10,0.34
7,184,655,3.56,241,1.31,8840,48.04,2710,14.73,18,0.10
8,18,25,1.39,18,1.00,1254,69.67,35,1.94,9,0.50
9,36,99,2.75,25,0.69,2478,68.83,332,9.22,24,0.67
10,10,22,2.20,10,1.00,1113,111.30,33,3.30,9,0.90
11,75,139,1.85,62,0.83,9539,127.19,142,1.89,27,0.36
12,15,35,2.33,11,0.73,1257,83.80,163,10.87,13,0.87
13,17,78,4.59,30,1.76,2587,152.18,371,21.82,29,1.71
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,15,57,3.80,19,1.27,2120,141.33,362,24.13,54,3.60
16,7,22,3.14,10,1.43,1109,158.43,141,20.14,18,2.57
17,152,468,3.08,301,1.98,37878,249.20,4689,30.85,16,0.11
18,58,64,1.10,58,1.00,10103,174.19,304,5.24,798,13.76
19,8,48,6.00,17,2.12,2219,277.38,505,63.12,18,2.25
20,4,13,3.25,4,1.00,841,210.25,151,37.75,0,0.00
21,10,60,6.00,34,3.40,2520,252.00,796,79.60,30,3.00
22,11,12,1.09,7,0.64,2208,200.73,125,11.36,21,1.91
23,21,103,4.90,31,1.48,6941,330.52,1624,77.33,0,0.00
24,25,100,4.00,25,1.00,9871,394.84,1677,67.08,0,0.00
25,2,36,18.00,12,6.00,683,341.50,728,364.00,0,0.00
26,6,17,2.83,6,1.00,2710,451.67,244,40.67,22,3.67
27,2,39,19.50,13,6.50,735,367.50,775,387.50,2,1.00
28,4,35,8.75,13,3.25,1657,414.25,650,162.50,22,5.50
29,2,42,21.00,14,7.00,797,398.50,906,453.00,6,3.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,28272,706.80,1751,43.77,963,24.07
32,3,29,9.67,4,1.33,1796,598.67,452,150.67,39,13.00
33,27,201,7.44,67,2.48,17355,642.78,3139,116.26,48,1.78
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,66,13.20
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,2,21,10.50,1,0.50,444,222.00,481,240.50,14,7.00
37,3,65,21.67,22,7.33,1601,533.67,1971,657.00,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,6,56,9.33,6,1.00,4102,683.67,1247,207.83,0,0.00
41,9,83,9.22,45,5.00,7148,794.22,3019,335.44,32,3.56
42,22,317,14.41,3,0.14,9315,423.41,7026,319.36,861,39.14
43,25,281,11.24,44,1.76,22230,889.20,3739,149.56,229,9.16
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,5,93,18.60,25,5.00,3862,772.40,2261,452.20,85,17.00
46,4,42,10.50,9,2.25,2356,589.00,786,196.50,64,16.00
47,13,215,16.54,40,3.08,12539,964.54,4192,322.46,45,3.46
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,6,104,17.33,27,4.50,4776,796.00,4471,745.17,48,8.00
50,2,24,12.00,1,0.50,2080,1040.00,1023,511.50,0,0.00
51,3,68,22.67,30,10.00,2946,982.00,2671,890.33,0,0.00
52,4,102,25.50,36,9.00,3994,998.50,4178,1044.50,0,0.00
53,2,58,29.00,26,13.00,2007,1003.50,2724,1362.00,0,0.00
54,1,5,5.00,1,1.00,1338,1338.00,20,20.00,41,41.00
55,3,21,7.00,1,0.33,6314,2104.67,496,165.33,54,18.00
57,2,2,1.00,0,0.00,4256,2128.00,70,35.00,112,56.00
59,2,72,36.00,46,23.00,8202,4101.00,508,254.00,43,21.50
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
61,1,0,0.00,0,0.00,0,0.00,0,0.00,50,50.00
62,19,7,0.37,5,0.26,26997,1420.89,91,4.79,1042,54.84
63,1,8,8.00,1,1.00,204,204.00,21,21.00,35,35.00
65,2,5,2.50,2,1.00,1600,800.00,279,139.50,64,32.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,2,53,26.50,4,2.00,3294,1647.00,2342,1171.00,0,0.00
68,3,15,5.00,1,0.33,4201,1400.33,336,112.00,134,44.67
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
70,2,20,10.00,5,2.50,3356,1678.00,651,325.50,0,0.00
72,2,1,0.50,0,0.00,3096,1548.00,49,24.50,0,0.00
76,3,14,4.67,1,0.33,5032,1677.33,360,120.00,144,48.00
77,2,26,13.00,1,0.50,2863,1431.50,1809,904.50,51,25.50
81,2,31,15.50,8,4.00,3783,1891.50,1565,782.50,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,76,76.00,82,82.00
87,17,51,3.00,5,0.29,33960,1997.65,1950,114.71,1376,80.94
88,1,2,2.00,1,1.00,1341,1341.00,188,188.00,0,0.00
89,5,10,2.00,0,0.00,10180,2036.00,414,82.80,440,88.00
90,1,30,30.00,1,1.00,1550,1550.00,3728,3728.00,87,87.00
94,2,6,3.00,6,3.00,7214,3607.00,339,169.50,113,56.50
95,1,4,4.00,7,7.00,1034,1034.00,9,9.00,18,18.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,1,17,17.00,0,0.00,2617,2617.00,164,164.00,98,98.00
100,2,23,11.50,6,3.00,8527,4263.50,712,356.00,43,21.50
101,1,2,2.00,1,1.00,4603,4603.00,115,115.00,0,0.00
102,1,2,2.00,4,4.00,5826,5826.00,363,363.00,0,0.00
105,1,33,33.00,3,3.00,4531,4531.00,922,922.00,0,0.00
106,1,3,3.00,1,1.00,5635,5635.00,325,325.00,0,0.00
108,1,2,2.00,1,1.00,1527,1527.00,80,80.00,104,104.00
109,2,74,37.00,6,3.00,9401,4700.50,1862,931.00,53,26.50
110,1,20,20.00,6,6.00,5070,5070.00,498,498.00,0,0.00
111,1,7,7.00,5,5.00,1212,1212.00,101,101.00,109,109.00
113,2,43,21.50,3,1.50,9523,4761.50,1379,689.50,112,56.00
122,1,64,64.00,20,20.00,2462,2462.00,5194,5194.00,0,0.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
130,1,3,3.00,1,1.00,1878,1878.00,84,84.00,126,126.00
133,1,6,6.00,0,0.00,4508,4508.00,2229,2229.00,0,0.00
135,1,9,9.00,10,10.00,2685,2685.00,654,654.00,81,81.00
141,2,110,55.00,22,11.00,5196,2598.00,4805,2402.50,266,133.00
142,1,23,23.00,7,7.00,6839,6839.00,871,871.00,0,0.00
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1986,1986.00,100,100.00,142,142.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
153,4,66,16.50,20,5.00,25272,6318.00,4142,1035.50,103,25.75
166,3,78,26.00,2,0.67,9724,3241.33,3737,1245.67,323,107.67
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
185,1,2,2.00,0,0.00,5872,5872.00,142,142.00,169,169.00
188,1,2,2.00,1,1.00,2607,2607.00,152,152.00,184,184.00
191,1,2,2.00,17,17.00,8618,8618.00,1229,1229.00,178,178.00
196,1,34,34.00,1,1.00,10963,10963.00,2725,2725.00,0,0.00
201,2,169,84.50,49,24.50,8949,4474.50,10181,5090.50,0,0.00
208,1,2,2.00,1,1.00,3081,3081.00,1168,1168.00,0,0.00
210,2,18,9.00,3,1.50,21215,10607.50,1592,796.00,398,199.00
217,1,4,4.00,7,7.00,12370,12370.00,561,561.00,0,0.00
218,1,17,17.00,8,8.00,11735,11735.00,610,610.00,58,58.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1636,818.00,222,111.00
235,1,59,59.00,20,20.00,5835,5835.00,8654,8654.00,0,0.00
246,1,1,1.00,1,1.00,3578,3578.00,1680,1680.00,0,0.00
248,1,2,2.00,1,1.00,3417,3417.00,304,304.00,244,244.00
249,1,40,40.00,9,9.00,9997,9997.00,2942,2942.00,0,0.00
250,1,9,9.00,3,3.00,20753,20753.00,1994,1994.00,0,0.00
251,1,2,2.00,5,5.00,18793,18793.00,1623,1623.00,0,0.00
253,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
266,1,1,1.00,1,1.00,3606,3606.00,320,320.00,262,262.00
268,1,46,46.00,1,1.00,15466,15466.00,5308,5308.00,0,0.00
272,1,4,4.00,1,1.00,4117,4117.00,2060,2060.00,0,0.00
288,2,4,2.00,2,1.00,8138,4069.00,1836,918.00,344,172.00
292,1,50,50.00,1,1.00,16967,16967.00,6363,6363.00,0,0.00
295,2,148,74.00,50,25.00,14014,7007.00,17611,8805.50,240,120.00
310,1,3,3.00,1,1.00,4614,4614.00,2720,2720.00,0,0.00
316,1,54,54.00,1,1.00,18134,18134.00,7458,7458.00,2,2.00
328,1,2,2.00,1,1.00,4497,4497.00,396,396.00,324,324.00
332,1,4,4.00,1,1.00,4987,4987.00,3148,3148.00,0,0.00
340,1,58,58.00,1,1.00,19969,19969.00,8764,8764.00,0,0.00
346,1,1,1.00,1,1.00,5028,5028.00,3400,3400.00,0,0.00
350,1,3,3.00,1,1.00,4848,4848.00,488,488.00,346,346.00
364,1,62,62.00,1,1.00,20788,20788.00,6940,6940.00,74,74.00
366,1,1,1.00,1,1.00,4956,4956.00,3744,3744.00,362,362.00
370,1,3,3.00,1,1.00,5118,5118.00,584,584.00,366,366.00
372,1,4,4.00,1,1.00,5199,5199.00,592,592.00,368,368.00
386,1,1,1.00,1,1.00,5128,5128.00,662,662.00,382,382.00
388,2,68,34.00,2,1.00,28662,14331.00,15881,7940.50,0,0.00
408,1,2,2.00,1,1.00,5577,5577.00,684,684.00,404,404.00
410,1,3,3.00,1,1.00,5864,5864.00,2308,2308.00,200,200.00
