tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,31571,38617,1.22,31734,1.01,100729,3.19,0,0.00,0,0.00
2,3446,3834,1.11,6267,1.82,30678,8.90,21,0.01,0,0.00
3,4084,6220,1.52,5338,1.31,63582,15.57,3110,0.76,10,0.00
4,116,149,1.28,115,0.99,2458,21.19,153,1.32,24,0.21
5,870,1442,1.66,719,0.83,24346,27.98,2091,2.40,20,0.02
6,28,81,2.89,114,4.07,1467,52.39,450,16.07,15,0.54
7,180,563,3.13,178,0.99,8049,44.72,2573,14.29,23,0.13
8,18,25,1.39,18,1.00,1264,70.22,35,1.94,10,0.56
9,34,93,2.74,24,0.71,2376,69.88,311,9.15,24,0.71
10,8,14,1.75,7,0.88,894,111.75,23,2.88,9,1.12
11,66,124,1.88,59,0.89,8274,125.36,92,1.39,36,0.55
12,14,34,2.43,11,0.79,1252,89.43,163,11.64,11,0.79
13,12,36,3.00,12,1.00,1779,148.25,205,17.08,29,2.42
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,12,53,4.42,16,1.33,1520,126.67,340,28.33,42,3.50
16,6,21,3.50,6,1.00,1068,178.00,126,21.00,12,2.00
17,146,456,3.12,295,2.02,37045,253.73,4420,30.27,26,0.18
18,58,64,1.10,58,1.00,10151,175.02,312,5.38,798,13.76
19,7,46,6.57,16,2.29,1911,273.00,481,68.71,18,2.57
20,4,13,3.25,4,1.00,841,210.25,151,37.75,0,0.00
21,11,62,5.64,35,3.18,2508,228.00,786,71.45,72,6.55
22,10,10,1.00,6,0.60,1958,195.80,109,10.90,21,2.10
23,22,114,5.18,31,1.41,7083,321.95,1834,83.36,0,0.00
24,24,98,4.08,24,1.00,9396,391.50,1676,69.83,2,0.08
25,2,36,18.00,12,6.00,675,337.50,612,306.00,8,4.00
26,7,30,4.29,8,1.14,4020,574.29,374,53.43,22,3.14
27,2,39,19.50,13,6.50,727,363.50,555,277.50,10,5.00
28,2,30,15.00,11,5.50,608,304.00,528,264.00,10,5.00
29,2,42,21.00,14,7.00,789,394.50,838,419.00,12,6.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,28292,707.30,1719,42.98,967,24.18
32,4,32,8.00,5,1.25,3038,759.50,387,96.75,45,11.25
33,27,201,7.44,67,2.48,17505,648.33,3167,117.30,32,1.19
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,66,13.20
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,3,22,7.33,9,3.00,656,218.67,592,197.33,56,18.67
37,3,65,21.67,22,7.33,1601,533.67,1971,657.00,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1101,550.50,1940,970.00,2,1.00
40,6,56,9.33,6,1.00,4102,683.67,1247,207.83,0,0.00
41,7,81,11.57,36,5.14,5445,777.86,2470,352.86,36,5.14
42,18,257,14.28,3,0.17,7579,421.06,5629,312.72,701,38.94
43,25,281,11.24,44,1.76,22025,881.00,3689,147.56,261,10.44
44,2,21,10.50,4,2.00,1819,909.50,764,382.00,0,0.00
45,5,93,18.60,25,5.00,3842,768.40,2296,459.20,89,17.80
46,3,23,7.67,3,1.00,1718,572.67,488,162.67,68,22.67
47,12,191,15.92,35,2.92,10829,902.42,3849,320.75,123,10.25
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4124,824.80,4438,887.60,0,0.00
50,1,23,23.00,1,1.00,544,544.00,1012,1012.00,0,0.00
51,4,54,13.50,27,6.75,3360,840.00,2479,619.75,50,12.50
52,4,102,25.50,36,9.00,3994,998.50,4178,1044.50,0,0.00
53,2,58,29.00,26,13.00,1961,980.50,2701,1350.50,31,15.50
54,1,5,5.00,1,1.00,1571,1571.00,54,54.00,50,50.00
55,2,20,10.00,1,0.50,3274,1637.00,402,201.00,101,50.50
57,2,2,1.00,0,0.00,4256,2128.00,70,35.00,112,56.00
59,1,10,10.00,2,2.00,1159,1159.00,95,95.00,43,43.00
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
61,1,15,15.00,0,0.00,636,636.00,1037,1037.00,0,0.00
62,14,6,0.43,3,0.21,19040,1360.00,86,6.14,836,59.71
63,1,8,8.00,1,1.00,204,204.00,21,21.00,44,44.00
64,1,12,12.00,1,1.00,2244,2244.00,427,427.00,0,0.00
65,2,5,2.50,2,1.00,1600,800.00,279,139.50,64,32.00
66,3,4,1.33,2,0.67,2957,985.67,157,52.33,127,42.33
67,4,82,20.50,14,3.50,7390,1847.50,2799,699.75,3,0.75
68,3,15,5.00,1,0.33,4201,1400.33,336,112.00,134,44.67
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
76,3,14,4.67,1,0.33,5032,1677.33,360,120.00,144,48.00
77,1,7,7.00,1,1.00,2055,2055.00,116,116.00,51,51.00
81,2,52,26.00,4,2.00,5057,2528.50,1833,916.50,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,76,76.00,82,82.00
87,17,51,3.00,5,0.29,33960,1997.65,1950,114.71,1376,80.94
88,1,2,2.00,1,1.00,1341,1341.00,188,188.00,0,0.00
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,1,30,30.00,1,1.00,1821,1821.00,3731,3731.00,0,0.00
93,2,16,8.00,14,7.00,2906,1453.00,636,318.00,184,92.00
94,2,6,3.00,6,3.00,8166,4083.00,196,98.00,152,76.00
95,1,4,4.00,7,7.00,1034,1034.00,9,9.00,18,18.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,2,19,9.50,0,0.00,5689,2844.50,248,124.00,98,49.00
100,2,23,11.50,6,3.00,8527,4263.50,712,356.00,43,21.50
102,2,54,27.00,20,10.00,7904,3952.00,3881,1940.50,0,0.00
105,1,0,0.00,0,0.00,2130,2130.00,107,107.00,102,102.00
106,2,6,3.00,2,1.00,11270,5635.00,650,325.00,0,0.00
108,2,69,34.50,4,2.00,8201,4100.50,1123,561.50,104,52.00
109,2,74,37.00,6,3.00,9371,4685.50,1957,978.50,45,22.50
111,1,7,7.00,5,5.00,1212,1212.00,101,101.00,109,109.00
113,1,2,2.00,0,0.00,4134,4134.00,143,143.00,112,112.00
117,1,48,48.00,12,12.00,2541,2541.00,1859,1859.00,0,0.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
125,2,38,19.00,10,5.00,12034,6017.00,1520,760.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
127,1,24,24.00,8,8.00,5837,5837.00,583,583.00,0,0.00
130,1,3,3.00,1,1.00,1878,1878.00,84,84.00,126,126.00
134,1,60,60.00,0,0.00,4014,4014.00,1803,1803.00,129,129.00
141,1,92,92.00,16,16.00,4532,4532.00,5400,5400.00,0,0.00
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1986,1986.00,100,100.00,142,142.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
153,4,66,16.50,20,5.00,25400,6350.00,4158,1039.50,152,38.00
166,2,2,1.00,2,1.00,4674,2337.00,884,442.00,162,81.00
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
177,1,79,79.00,20,20.00,5422,5422.00,2374,2374.00,0,0.00
185,1,2,2.00,0,0.00,8313,8313.00,142,142.00,169,169.00
187,1,47,47.00,16,16.00,4619,4619.00,5540,5540.00,0,0.00
188,1,2,2.00,1,1.00,2607,2607.00,152,152.00,184,184.00
191,1,2,2.00,17,17.00,11766,11766.00,1779,1779.00,0,0.00
196,1,34,34.00,1,1.00,10963,10963.00,2725,2725.00,0,0.00
197,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
201,1,74,74.00,25,25.00,2975,2975.00,6871,6871.00,0,0.00
208,1,2,2.00,1,1.00,3081,3081.00,1168,1168.00,0,0.00
210,2,18,9.00,3,1.50,23838,11919.00,1779,889.50,414,207.00
218,1,17,17.00,8,8.00,11635,11635.00,956,956.00,155,155.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6339,3169.50,1659,829.50,222,111.00
228,1,4,4.00,0,0.00,16140,16140.00,557,557.00,0,0.00
234,1,4,4.00,0,0.00,17931,17931.00,557,557.00,0,0.00
246,1,1,1.00,1,1.00,3478,3478.00,800,800.00,100,100.00
248,1,2,2.00,1,1.00,3417,3417.00,276,276.00,244,244.00
251,1,2,2.00,5,5.00,18793,18793.00,1623,1623.00,0,0.00
266,1,1,1.00,1,1.00,3606,3606.00,296,296.00,262,262.00
268,1,46,46.00,1,1.00,15466,15466.00,5308,5308.00,0,0.00
272,1,4,4.00,1,1.00,4117,4117.00,2060,2060.00,0,0.00
288,2,4,2.00,2,1.00,8076,4038.00,1464,732.00,406,203.00
292,1,50,50.00,1,1.00,16967,16967.00,6363,6363.00,0,0.00
295,2,148,74.00,50,25.00,14014,7007.00,17611,8805.50,240,120.00
310,1,3,3.00,1,1.00,4614,4614.00,2720,2720.00,0,0.00
316,1,54,54.00,1,1.00,17880,17880.00,4751,4751.00,117,117.00
328,1,2,2.00,1,1.00,4497,4497.00,396,396.00,324,324.00
332,1,4,4.00,1,1.00,4987,4987.00,3148,3148.00,0,0.00
337,1,93,93.00,39,39.00,9285,9285.00,8167,8167.00,336,336.00
340,1,58,58.00,1,1.00,19969,19969.00,8764,8764.00,0,0.00
346,1,1,1.00,1,1.00,5028,5028.00,3400,3400.00,0,0.00
350,1,3,3.00,1,1.00,4848,4848.00,488,488.00,346,346.00
364,1,62,62.00,1,1.00,20813,20813.00,5439,5439.00,144,144.00
366,1,1,1.00,1,1.00,5318,5318.00,3816,3816.00,0,0.00
370,1,3,3.00,1,1.00,5118,5118.00,528,528.00,366,366.00
372,1,4,4.00,1,1.00,5199,5199.00,544,544.00,368,368.00
386,1,1,1.00,1,1.00,5226,5226.00,580,580.00,382,382.00
388,2,68,34.00,2,1.00,28662,14331.00,15881,7940.50,0,0.00
406,1,22,22.00,2,2.00,63227,63227.00,6420,6420.00,0,0.00
408,1,2,2.00,1,1.00,5577,5577.00,684,684.00,404,404.00
410,1,3,3.00,1,1.00,5779,5779.00,2636,2636.00,255,255.00
412,1,70,70.00,1,1.00,24472,24472.00,13093,13093.00,0,0.00
414,1,39,39.00,10,10.00,1776,1776.00,255,255.00,413,413.00
430,2,6,3.00,2,1.00,12282,6141.00,6040,3020.00,426,213.00
436,1,74,74.00,1,1.00,25973,25973.00,14730,14730.00,0,0.00
443,1,0,0.00,0,0.00,0,0.00,0,0.00,442,442.00
446,1,1,1.00,1,1.00,6036,6036.00,852,852.00,442,442.00
448,1,2,2.00,1,1.00,6561,6561.00,5768,5768.00,0,0.00
460,1,78,78.00,1,1.00,27474,27474.00,16464,16464.00,0,0.00
468,1,2,2.00,1,1.00,6851,6851.00,6288,6288.00,0,0.00
487,1,83,83.00,1,1.00,29054,29054.00,18626,18626.00,0,0.00
494,1,5,5.00,1,1.00,6900,6900.00,1561,1561.00,490,490.00
511,1,87,87.00,1,1.00,29356,29356.00,12197,12197.00,304,304.00
514,1,47,47.00,30,30.00,31477,31477.00,10337,10337.00,507,507.00
535,1,91,91.00,1,1.00,32056,32056.00,22773,22773.00,0,0.00
557,1,88,88.00,32,32.00,55412,55412.00,6739,6739.00,431,431.00
559,1,95,95.00,1,1.00,33557,33557.00,24992,24992.00,0,0.00
583,1,99,99.00,1,1.00,35058,35058.00,27308,27308.00,0,0.00
733,1,0,0.00,0,0.00,15610,15610.00,9150,9150.00,705,705.00
817,1,103,103.00,1,1.00,29851,29851.00,7972,7972.00,761,761.00
881,1,0,0.00,0,0.00,0,0.00,0,0.00,880,880.00
900,1,73,73.00,40,40.00,35298,35298.00,6070,6070.00,897,897.00
1745,1,141,141.00,24,24.00,82520,82520.00,24333,24333.00,1309,1309.00
