tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,134623,171274,1.27,134745,1.00,432989,3.22,0,0.00,0,0.00
2,21642,24704,1.14,40069,1.85,194827,9.00,144,0.01,26,0.00
3,12119,18294,1.51,15465,1.28,186656,15.40,8873,0.73,142,0.01
4,685,767,1.12,596,0.87,11413,16.66,294,0.43,88,0.13
5,2843,5093,1.79,2412,0.85,85996,30.25,6736,2.37,118,0.04
6,279,701,2.51,775,2.78,13984,50.12,2833,10.15,57,0.20
7,807,2592,3.21,783,0.97,37703,46.72,8671,10.74,318,0.39
8,187,476,2.55,219,1.17,13693,73.22,900,4.81,246,1.32
9,473,1397,2.95,258,0.55,35537,75.13,3833,8.10,501,1.06
10,124,288,2.32,164,1.32,13403,108.09,884,7.13,65,0.52
11,306,759,2.48,372,1.22,34466,112.63,1914,6.25,263,0.86
12,163,682,4.18,154,0.94,17954,110.15,3872,23.75,19,0.12
13,111,376,3.39,86,0.77,14885,134.10,1683,15.16,443,3.99
14,59,147,2.49,72,1.22,11382,192.92,419,7.10,111,1.88
15,79,385,4.87,71,0.90,10757,136.16,3070,38.86,188,2.38
16,109,319,2.93,120,1.10,21016,192.81,1477,13.55,224,2.06
17,349,1100,3.15,682,1.95,86474,247.78,10314,29.55,248,0.71
18,126,205,1.63,131,1.04,22888,181.65,1210,9.60,1684,13.37
19,76,357,4.70,118,1.55,18755,246.78,2856,37.58,129,1.70
20,29,59,2.03,27,0.93,6016,207.45,757,26.10,38,1.31
21,54,380,7.04,102,1.89,17832,330.22,3195,59.17,307,5.69
22,103,194,1.88,94,0.91,21929,212.90,2055,19.95,161,1.56
23,100,339,3.39,129,1.29,30226,302.26,3550,35.50,165,1.65
24,74,234,3.16,66,0.89,26169,353.64,4307,58.20,219,2.96
25,24,185,7.71,79,3.29,7467,311.12,2936,122.33,238,9.92
26,25,59,2.36,26,1.04,10180,407.20,767,30.68,44,1.76
27,27,318,11.78,81,3.00,11788,436.59,3360,124.44,110,4.07
28,5,84,16.80,28,5.60,1986,397.20,1241,248.20,34,6.80
29,9,133,14.78,28,3.11,2304,256.00,2986,331.78,90,10.00
30,17,116,6.82,16,0.94,3806,223.88,1453,85.47,103,6.06
31,81,286,3.53,48,0.59,56226,694.15,3382,41.75,1953,24.11
32,18,178,9.89,32,1.78,12336,685.33,2804,155.78,134,7.44
33,53,393,7.42,131,2.47,34412,649.28,6109,115.26,32,0.60
34,25,241,9.64,78,3.12,26329,1053.16,6774,270.96,131,5.24
35,12,132,11.00,44,3.67,8014,667.83,3568,297.33,32,2.67
36,8,48,6.00,39,4.88,4611,576.38,1059,132.38,47,5.88
37,26,269,10.35,65,2.50,14577,560.65,7630,293.46,368,14.15
38,2,34,17.00,2,1.00,812,406.00,1088,544.00,0,0.00
39,7,178,25.43,50,7.14,4125,589.29,4117,588.14,94,13.43
40,32,249,7.78,27,0.84,21449,670.28,3672,114.75,243,7.59
41,31,238,7.68,110,3.55,14976,483.10,4938,159.29,337,10.87
42,24,350,14.58,5,0.21,10767,448.62,7290,303.75,952,39.67
43,53,581,10.96,86,1.62,45830,864.72,7968,150.34,550,10.38
44,3,53,17.67,8,2.67,1113,371.00,1575,525.00,25,8.33
45,36,466,12.94,74,2.06,27045,751.25,10353,287.58,850,23.61
46,22,258,11.73,84,3.82,14121,641.86,5525,251.14,195,8.86
47,29,473,16.31,93,3.21,27359,943.41,9227,318.17,107,3.69
48,16,184,11.50,58,3.62,15196,949.75,3542,221.38,0,0.00
49,36,276,7.67,77,2.14,38020,1056.11,9595,266.53,220,6.11
50,4,62,15.50,4,1.00,3177,794.25,2508,627.00,46,11.50
51,5,103,20.60,52,10.40,2699,539.80,4913,982.60,149,29.80
52,22,347,15.77,85,3.86,15976,726.18,9072,412.36,69,3.14
53,6,149,24.83,51,8.50,4128,688.00,6121,1020.17,149,24.83
54,15,75,5.00,17,1.13,22185,1479.00,640,42.67,185,12.33
55,16,268,16.75,14,0.88,30876,1929.75,5680,355.00,390,24.38
57,9,157,17.44,26,2.89,13733,1525.89,2396,266.22,278,30.89
58,1,9,9.00,1,1.00,1683,1683.00,291,291.00,0,0.00
59,15,124,8.27,17,1.13,15284,1018.93,1646,109.73,446,29.73
60,36,108,3.00,36,1.00,33228,923.00,6552,182.00,0,0.00
61,4,27,6.75,12,3.00,1385,346.25,221,55.25,60,15.00
62,7,39,5.57,4,0.57,9987,1426.71,789,112.71,353,50.43
63,1,8,8.00,1,1.00,213,213.00,52,52.00,62,62.00
64,1,12,12.00,1,1.00,2244,2244.00,427,427.00,0,0.00
65,15,57,3.80,15,1.00,9907,660.47,1631,108.73,64,4.27
66,8,32,4.00,5,0.62,8612,1076.50,811,101.38,319,39.88
67,6,141,23.50,20,3.33,10822,1803.67,4327,721.17,69,11.50
68,18,98,5.44,54,3.00,18316,1017.56,1696,94.22,575,31.94
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
71,2,14,7.00,0,0.00,434,217.00,0,0.00,70,35.00
73,1,30,30.00,8,8.00,1523,1523.00,440,440.00,36,36.00
76,4,28,7.00,2,0.50,8490,2122.50,720,180.00,149,37.25
77,13,270,20.77,63,4.85,24571,1890.08,6777,521.31,254,19.54
78,2,30,15.00,6,3.00,6249,3124.50,1062,531.00,0,0.00
79,5,61,12.20,7,1.40,3918,783.60,1807,361.40,312,62.40
80,3,54,18.00,3,1.00,8742,2914.00,2395,798.33,0,0.00
81,7,113,16.14,20,2.86,7431,1061.57,3500,500.00,80,11.43
83,17,34,2.00,51,3.00,42160,2480.00,5899,347.00,0,0.00
84,2,42,21.00,2,1.00,6122,3061.00,1877,938.50,0,0.00
85,2,6,3.00,0,0.00,492,246.00,414,207.00,168,84.00
86,4,44,11.00,4,1.00,8584,2146.00,2175,543.75,164,41.00
87,41,150,3.66,37,0.90,87701,2139.05,5956,145.27,2752,67.12
88,2,4,2.00,2,1.00,2682,1341.00,376,188.00,0,0.00
89,11,39,3.55,4,0.36,22030,2002.73,2125,193.18,880,80.00
90,2,60,30.00,2,1.00,3642,1821.00,7462,3731.00,0,0.00
91,12,348,29.00,120,10.00,17283,1440.25,13445,1120.42,57,4.75
92,1,46,46.00,14,14.00,1886,1886.00,2800,2800.00,0,0.00
93,2,88,44.00,9,4.50,5313,2656.50,1087,543.50,143,71.50
94,2,6,3.00,6,3.00,9188,4594.00,339,169.50,181,90.50
95,4,15,3.75,8,2.00,9635,2408.75,712,178.00,339,84.75
97,2,48,24.00,0,0.00,912,456.00,3312,1656.00,192,96.00
99,4,49,12.25,1,0.25,8425,2106.25,412,103.00,294,73.50
100,3,41,13.67,7,2.33,14531,4843.67,1449,483.00,95,31.67
102,2,4,2.00,8,4.00,11652,5826.00,726,363.00,0,0.00
105,4,33,8.25,4,1.00,5456,1364.00,352,88.00,310,77.50
106,2,6,3.00,5,2.50,11487,5743.50,656,328.00,0,0.00
107,1,44,44.00,11,11.00,2317,2317.00,1550,1550.00,0,0.00
108,2,4,2.00,2,1.00,3054,1527.00,160,80.00,208,104.00
109,4,111,27.75,9,2.25,18187,4546.75,3342,835.50,104,26.00
110,6,120,20.00,36,6.00,30420,5070.00,2988,498.00,0,0.00
111,1,7,7.00,5,5.00,1212,1212.00,101,101.00,109,109.00
112,2,78,39.00,4,2.00,10350,5175.00,2610,1305.00,68,34.00
113,4,47,11.75,3,0.75,14253,3563.25,1955,488.75,336,84.00
115,2,23,11.50,5,2.50,2444,1222.00,3042,1521.00,114,57.00
117,13,364,28.00,13,1.00,61138,4702.92,12517,962.85,623,47.92
118,2,52,26.00,0,0.00,3501,1750.50,1368,684.00,230,115.00
119,1,25,25.00,5,5.00,2015,2015.00,2628,2628.00,0,0.00
120,1,42,42.00,18,18.00,4875,4875.00,1249,1249.00,75,75.00
121,3,26,8.67,7,2.33,5616,1872.00,472,157.33,240,80.00
