tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,71255,82674,1.16,76246,1.07,228534,3.21,0,0.00,0,0.00
2,11058,11548,1.04,21055,1.90,98844,8.94,23,0.00,0,0.00
3,8376,15636,1.87,17700,2.11,145671,17.39,15991,1.91,36,0.00
4,543,1854,3.41,968,1.78,21171,38.99,4403,8.11,38,0.07
5,1722,2729,1.58,1570,0.91,48175,27.98,2569,1.49,29,0.02
6,31,96,3.10,144,4.65,1710,55.16,570,18.39,20,0.65
7,203,683,3.36,201,0.99,10152,50.01,2751,13.55,29,0.14
8,18,25,1.39,18,1.00,1264,70.22,35,1.94,17,0.94
9,34,93,2.74,24,0.71,2357,69.32,301,8.85,61,1.79
10,8,14,1.75,7,0.88,894,111.75,23,2.88,9,1.12
11,916,1399,1.53,59,0.06,127268,138.94,974,1.06,62,0.07
12,13,34,2.62,11,0.85,1142,87.85,92,7.08,6,0.46
13,10,29,2.90,11,1.10,1511,151.10,166,16.60,59,5.90
14,7,14,2.00,14,2.00,1382,197.43,33,4.71,12,1.71
15,12,53,4.42,16,1.33,1520,126.67,340,28.33,42,3.50
16,6,21,3.50,6,1.00,1080,180.00,126,21.00,12,2.00
17,145,453,3.12,293,2.02,36825,253.97,4402,30.36,16,0.11
18,74,64,0.86,58,0.78,10100,136.49,304,4.11,811,10.96
19,7,46,6.57,16,2.29,1911,273.00,481,68.71,18,2.57
20,3,10,3.33,3,1.00,473,157.67,134,44.67,0,0.00
21,11,62,5.64,35,3.18,2529,229.91,809,73.55,81,7.36
22,10,10,1.00,6,0.60,1958,195.80,109,10.90,21,2.10
23,21,103,4.90,31,1.48,6907,328.90,1601,76.24,12,0.57
24,25,103,4.12,25,1.00,9876,395.04,1695,67.80,0,0.00
25,2,36,18.00,12,6.00,683,341.50,728,364.00,0,0.00
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,3,51,17.00,16,5.33,1268,422.67,958,319.33,0,0.00
28,2,30,15.00,11,5.50,578,289.00,644,322.00,2,1.00
29,2,42,21.00,14,7.00,795,397.50,881,440.50,8,4.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,41,158,3.85,22,0.54,28139,686.32,1952,47.61,965,23.54
32,3,29,9.67,4,1.33,1811,603.67,425,141.67,41,13.67
33,28,202,7.21,67,2.39,18154,648.36,3204,114.43,64,2.29
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,98,19.60
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,3,26,8.67,3,1.00,542,180.67,482,160.67,70,23.33
37,3,65,21.67,22,7.33,1565,521.67,1971,657.00,36,12.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1065,532.50,1992,996.00,36,18.00
40,6,56,9.33,6,1.00,4009,668.17,1191,198.50,54,9.00
41,8,82,10.25,45,5.62,5848,731.00,3003,375.38,64,8.00
42,444,6644,14.96,6,0.01,177796,400.44,146889,330.83,18163,40.91
43,24,275,11.46,42,1.75,22108,921.17,3740,155.83,230,9.58
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,5,93,18.60,25,5.00,3783,756.60,2255,451.00,107,21.40
46,3,23,7.67,3,1.00,1712,570.67,477,159.00,66,22.00
47,12,191,15.92,35,2.92,10996,916.33,3901,325.08,100,8.33
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4079,815.80,4434,886.80,45,9.00
50,1,23,23.00,1,1.00,544,544.00,1012,1012.00,0,0.00
51,3,53,17.67,27,9.00,1560,520.00,2475,825.00,99,33.00
52,7,102,14.57,36,5.14,5959,851.29,4178,596.86,150,21.43
53,9,58,6.44,26,2.89,6725,747.22,2724,302.67,402,44.67
54,1,5,5.00,1,1.00,1675,1675.00,54,54.00,0,0.00
55,2,20,10.00,1,0.50,3274,1637.00,402,201.00,101,50.50
57,2,2,1.00,0,0.00,4256,2128.00,70,35.00,112,56.00
59,1,10,10.00,2,2.00,1159,1159.00,95,95.00,43,43.00
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
62,439,6,0.01,3,0.01,399188,909.31,86,0.20,26336,59.99
63,1,8,8.00,1,1.00,213,213.00,50,50.00,62,62.00
64,1,10,10.00,1,1.00,2070,2070.00,453,453.00,0,0.00
65,2,5,2.50,2,1.00,1600,800.00,237,118.50,64,32.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,2,53,26.50,4,2.00,3294,1647.00,2342,1171.00,0,0.00
68,3,15,5.00,1,0.33,4201,1400.33,336,112.00,134,44.67
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
76,3,14,4.67,1,0.33,4522,1507.33,360,120.00,149,49.67
77,1,7,7.00,1,1.00,2055,2055.00,116,116.00,51,51.00
81,2,26,13.00,18,9.00,2422,1211.00,2312,1156.00,0,0.00
