tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,52208,63816,1.22,53094,1.02,164649,3.15,0,0.00,0,0.00
2,8465,9384,1.11,16303,1.93,76636,9.05,302,0.04,0,0.00
3,4997,7166,1.43,6243,1.25,76527,15.31,3013,0.60,16,0.00
4,304,393,1.29,510,1.68,7842,25.80,26,0.09,6,0.02
5,1152,1913,1.66,1027,0.89,33227,28.84,2486,2.16,28,0.02
6,71,125,1.76,124,1.75,2939,41.39,370,5.21,10,0.14
7,319,878,2.75,454,1.42,15978,50.09,2857,8.96,34,0.11
8,296,106,0.36,289,0.98,5117,17.29,26,0.09,14,0.05
9,236,427,1.81,297,1.26,14713,62.34,719,3.05,21,0.09
10,15,27,1.80,16,1.07,1444,96.27,52,3.47,18,1.20
11,65,158,2.43,96,1.48,7049,108.45,337,5.18,0,0.00
12,68,126,1.85,61,0.90,5168,76.00,625,9.19,0,0.00
13,25,120,4.80,39,1.56,4328,173.12,679,27.16,12,0.48
14,25,30,1.20,8,0.32,2048,81.92,102,4.08,9,0.36
15,103,181,1.76,78,0.76,10006,97.15,927,9.00,28,0.27
16,11,17,1.55,12,1.09,2196,199.64,75,6.82,0,0.00
17,237,683,2.88,416,1.76,49184,207.53,5564,23.48,0,0.00
18,61,77,1.26,61,1.00,10779,176.70,371,6.08,818,13.41
19,12,71,5.92,29,2.42,3147,262.25,889,74.08,18,1.50
20,3,14,4.67,3,1.00,808,269.33,131,43.67,0,0.00
21,6,46,7.67,23,3.83,1845,307.50,625,104.17,0,0.00
22,83,225,2.71,72,0.87,7959,95.89,187,2.25,42,0.51
23,20,108,5.40,31,1.55,6927,346.35,1647,82.35,0,0.00
24,23,98,4.26,23,1.00,9199,399.96,1610,70.00,0,0.00
25,59,130,2.20,117,1.98,26298,445.73,1256,21.29,24,0.41
26,13,24,1.85,9,0.69,5510,423.85,330,25.38,22,1.69
27,11,130,11.82,62,5.64,3823,347.55,2189,199.00,0,0.00
28,20,164,8.20,49,2.45,10576,528.80,2462,123.10,0,0.00
29,2,42,21.00,14,7.00,803,401.50,1029,514.50,0,0.00
30,5,17,3.40,1,0.20,2710,542.00,368,73.60,0,0.00
31,47,195,4.15,35,0.74,31693,674.32,3829,81.47,936,19.91
32,8,29,3.62,4,0.50,5013,626.62,538,67.25,31,3.88
33,26,192,7.38,64,2.46,16861,648.50,2942,113.15,23,0.88
34,4,28,7.00,5,1.25,2216,554.00,565,141.25,33,8.25
35,95,326,3.43,197,2.07,67747,713.13,6157,64.81,16,0.17
36,7,67,9.57,18,2.57,4471,638.71,942,134.57,57,8.14
37,73,820,11.23,291,3.99,41576,569.53,14504,198.68,72,0.99
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,3,58,19.33,21,7.00,2050,683.33,2017,672.33,0,0.00
40,10,69,6.90,9,0.90,6946,694.60,1440,144.00,0,0.00
41,15,107,7.13,46,3.07,7319,487.93,2824,188.27,112,7.47
42,5,41,8.20,4,0.80,4393,878.60,883,176.60,41,8.20
43,22,270,12.27,38,1.73,19338,879.00,4020,182.73,200,9.09
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,4,72,18.00,23,5.75,3463,865.75,2858,714.50,19,4.75
46,9,53,5.89,10,1.11,8984,998.22,1293,143.67,42,4.67
47,27,269,9.96,61,2.26,15945,590.56,4179,154.78,46,1.70
48,9,48,5.33,4,0.44,11579,1286.56,1172,130.22,0,0.00
49,15,108,7.20,24,1.60,20194,1346.27,4443,296.20,0,0.00
50,11,38,3.45,9,0.82,13954,1268.55,1395,126.82,46,4.18
51,2,65,32.50,28,14.00,2525,1262.50,2634,1317.00,0,0.00
52,10,128,12.80,39,3.90,13459,1345.90,4710,471.00,0,0.00
53,7,95,13.57,36,5.14,2981,425.86,2808,401.14,0,0.00
54,3,7,2.33,0,0.00,6324,2108.00,238,79.33,0,0.00
55,9,57,6.33,16,1.78,14688,1632.00,915,101.67,0,0.00
56,6,9,1.50,0,0.00,12534,2089.00,176,29.33,0,0.00
57,3,26,8.67,6,2.00,5453,1817.67,495,165.00,112,37.33
58,3,13,4.33,1,0.33,5674,1891.33,324,108.00,0,0.00
59,4,83,20.75,51,12.75,9618,2404.50,554,138.50,64,16.00
60,14,39,2.79,11,0.79,17333,1238.07,2200,157.14,0,0.00
62,1,2,2.00,0,0.00,2918,2918.00,78,78.00,0,0.00
63,1,2,2.00,0,0.00,1792,1792.00,48,48.00,0,0.00
64,3,32,10.67,10,3.33,12461,4153.67,1801,600.33,0,0.00
65,6,15,2.50,7,1.17,12229,2038.17,115,19.17,0,0.00
66,5,4,0.80,2,0.40,4413,882.60,175,35.00,127,25.40
67,4,87,21.75,14,3.50,7579,1894.75,2989,747.25,25,6.25
68,20,503,25.15,51,2.55,38721,1936.05,9729,486.45,67,3.35
69,1,2,2.00,0,0.00,2166,2166.00,41,41.00,0,0.00
70,21,27,1.29,4,0.19,60787,2894.62,674,32.10,0,0.00
