tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,45814311,59602842,1.30,48166549,1.05,152817688,3.34,0,0.00,0,0.00
2,6958972,7978412,1.15,13560411,1.95,63255256,9.09,4441357,0.64,728,0.00
3,4082477,6566121,1.61,6032490,1.48,63344538,15.52,3957275,0.97,22182,0.01
4,308260,410302,1.33,420771,1.36,6282404,20.38,46350,0.15,3851,0.01
5,687812,1182554,1.72,588434,0.86,19923736,28.97,1402251,2.04,14551,0.02
6,90922,157120,1.73,140729,1.55,4053765,44.59,271804,2.99,3794,0.04
7,227004,2654131,11.69,1536894,6.77,24746353,109.01,4409666,19.43,12824,0.06
8,54857,99826,1.82,52216,0.95,3432027,62.56,48556,0.89,11472,0.21
9,77302,275461,3.56,85760,1.11,6567191,84.95,1139789,14.74,14280,0.18
10,11757,36686,3.12,18084,1.54,1433681,121.94,96182,8.18,2297,0.20
11,35854,173122,4.83,64572,1.80,5259113,146.68,721203,20.11,9955,0.28
12,37676,248329,6.59,77992,2.07,8536895,226.59,848805,22.53,25271,0.67
13,12114,70729,5.84,31516,2.60,2298316,189.72,346626,28.61,3975,0.33
14,19759,66028,3.34,30835,1.56,3622701,183.34,227801,11.53,9190,0.47
15,44518,76657,1.72,52530,1.18,7800562,175.22,570577,12.82,5442,0.12
16,5699,23934,4.20,10974,1.93,1203235,211.13,149964,26.31,10965,1.92
17,62209,201252,3.24,122956,1.98,15631382,251.27,1862787,29.94,15554,0.25
18,15246,73457,4.82,42216,2.77,5426000,355.90,380987,24.99,41850,2.74
19,4450,28153,6.33,13751,3.09,1141518,256.52,256253,57.58,10393,2.34
20,2232,13838,6.20,5427,2.43,1020267,457.11,137655,61.67,3514,1.57
21,15337,86469,5.64,20458,1.33,2492593,162.52,989484,64.52,24088,1.57
22,14309,141148,9.86,54386,3.80,10431085,728.99,836435,58.46,7483,0.52
23,3499,21688,6.20,6870,1.96,1180923,337.50,267386,76.42,5742,1.64
24,1786,8686,4.86,3565,2.00,730715,409.13,109170,61.13,3335,1.87
25,2891,32878,11.37,12047,4.17,1198245,414.47,424688,146.90,12214,4.22
26,10420,41492,3.98,14775,1.42,3967239,380.73,551406,52.92,11241,1.08
27,3163,43699,13.82,9544,3.02,3846171,1215.99,743038,234.92,5245,1.66
28,6740,24093,3.57,9599,1.42,4128040,612.47,417090,61.88,8848,1.31
29,3657,49748,13.60,12743,3.48,1518460,415.22,1595370,436.25,6894,1.89
30,13445,144670,10.76,90343,6.72,14743571,1096.58,993791,73.92,20558,1.53
31,4445,57462,12.93,12068,2.71,2055872,462.51,1174915,264.32,29703,6.68
32,535,5110,9.55,1119,2.09,355381,664.26,80928,151.27,2877,5.38
33,10904,117801,10.80,58481,5.36,5734504,525.91,1850650,169.72,8696,0.80
34,5784,39868,6.89,31753,5.49,2264304,391.48,816071,141.09,22261,3.85
35,2780,51301,18.45,21978,7.91,1863434,670.30,1346427,484.33,12466,4.48
36,4382,26432,6.03,13281,3.03,4543823,1036.93,457755,104.46,6823,1.56
37,2656,41823,15.75,10783,4.06,1489389,560.76,1355082,510.20,10385,3.91
38,305,2157,7.07,412,1.35,230365,755.30,37245,122.11,2063,6.76
39,9552,81123,8.49,20704,2.17,8268192,865.60,903782,94.62,9106,0.95
40,1181,12409,10.51,2790,2.36,801616,678.76,289355,245.01,3164,2.68
41,3296,29677,9.00,15604,4.73,2559611,776.58,567870,172.29,30034,9.11
42,1202,15744,13.10,3621,3.01,1149852,956.62,263385,219.12,19816,16.49
43,5189,34005,6.55,14502,2.79,5007418,965.01,1016272,195.85,7709,1.49
44,625,5249,8.40,1660,2.66,458898,734.24,65401,104.64,12081,19.33
45,2005,23403,11.67,3474,1.73,1692728,844.25,834332,416.13,20385,10.17
46,2537,34682,13.67,13322,5.25,1990035,784.40,886210,349.31,8398,3.31
47,1016,23533,23.16,9024,8.88,1011067,995.14,800059,787.46,2962,2.92
48,539,5101,9.46,1750,3.25,499315,926.37,87594,162.51,1936,3.59
49,8228,90078,10.95,14469,1.76,9329059,1133.82,3712419,451.19,13657,1.66
50,169,2282,13.50,837,4.95,202321,1197.17,58957,348.86,2433,14.40
51,11998,127128,10.60,40683,3.39,14635355,1219.82,2875378,239.65,59559,4.96
52,930,15778,16.97,3780,4.06,605117,650.66,486227,522.82,4067,4.37
53,824,9453,11.47,4713,5.72,1150547,1396.29,296461,359.78,3083,3.74
54,610,3814,6.25,1242,2.04,847457,1389.27,87613,143.63,5881,9.64
55,1165,23144,19.87,5088,4.37,1360715,1168.00,667901,573.31,12798,10.99
56,444,13357,30.08,6306,14.20,550150,1239.08,406851,916.33,2733,6.16
57,360,5963,16.56,1555,4.32,493969,1372.14,141318,392.55,5489,15.25
58,8932,17131,1.92,12016,1.35,14928163,1671.31,666891,74.66,446068,49.94
59,792,11344,14.32,2317,2.93,904232,1141.71,246531,311.28,22840,28.84
60,6726,21192,3.15,8932,1.33,7246680,1077.41,1214409,180.55,4057,0.60
61,1411,31261,22.16,10969,7.77,1715850,1216.05,1237323,876.91,4507,3.19
62,79,813,10.29,185,2.34,159043,2013.20,27188,344.15,873,11.05
63,8597,103900,12.09,51811,6.03,5496933,639.40,2029179,236.03,36274,4.22
64,1837,20928,11.39,10137,5.52,2267868,1234.55,960362,522.79,13907,7.57
65,832,14167,17.03,5755,6.92,925726,1112.65,706599,849.28,4562,5.48
66,428,15324,35.80,7585,17.72,598544,1398.47,555996,1299.06,5342,12.48
67,1156,36142,31.26,8242,7.13,2977789,2575.94,1406240,1216.47,5711,4.94
68,698,7159,10.26,2134,3.06,1044677,1496.67,225266,322.73,19847,28.43
69,405,12154,30.01,2101,5.19,503020,1242.02,564044,1392.70,4685,11.57
70,311,9454,30.40,3031,9.75,303052,974.44,493580,1587.07,1739,5.59
71,566,20094,35.50,8800,15.55,999081,1765.16,807114,1426.00,3619,6.39
72,89,1045,11.74,724,8.13,124301,1396.64,56180,631.24,2977,33.45
73,983,30939,31.47,10355,10.53,1444463,1469.44,1710361,1739.94,7469,7.60
74,211,2720,12.89,1207,5.72,592038,2805.87,73146,346.66,3309,15.68
75,50982,106928,2.10,153886,3.02,128915417,2528.65,6279111,123.16,76598,1.50
76,531,23448,44.16,10671,20.10,797446,1501.78,1038020,1954.84,3663,6.90
77,373,11367,30.47,2587,6.94,680489,1824.37,335405,899.21,4587,12.30
