tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,763783,943327,1.24,739203,0.97,2402471,3.15,0,0.00,0,0.00
2,123895,137950,1.11,223263,1.80,1106556,8.93,994,0.01,73,0.00
3,76065,114080,1.50,96012,1.26,1154127,15.17,55156,0.73,809,0.01
4,2940,3876,1.32,2427,0.83,47998,16.33,1347,0.46,198,0.07
5,14671,27209,1.85,12042,0.82,446117,30.41,36886,2.51,788,0.05
6,1349,3387,2.51,3688,2.73,71872,53.28,13499,10.01,149,0.11
7,4303,13593,3.16,4229,0.98,210568,48.94,42697,9.92,774,0.18
8,1479,3734,2.52,2109,1.43,120659,81.58,5427,3.67,888,0.60
9,3147,9850,3.13,1283,0.41,217711,69.18,32452,10.31,1353,0.43
10,534,933,1.75,565,1.06,62763,117.53,1316,2.46,100,0.19
11,1673,3988,2.38,1890,1.13,187321,111.97,9296,5.56,1154,0.69
12,727,3294,4.53,629,0.87,77968,107.25,18605,25.59,90,0.12
13,584,2108,3.61,473,0.81,92203,157.88,8394,14.37,317,0.54
14,690,2669,3.87,1359,1.97,152394,220.86,9430,13.67,917,1.33
15,373,1941,5.20,480,1.29,57768,154.87,13952,37.40,359,0.96
16,598,1724,2.88,721,1.21,118779,198.63,7576,12.67,1308,2.19
17,1491,4965,3.33,2931,1.97,369999,248.15,47610,31.93,1301,0.87
18,578,772,1.34,560,0.97,105667,182.81,3479,6.02,5801,10.04
19,363,1556,4.29,561,1.55,90124,248.28,11419,31.46,1064,2.93
20,140,335,2.39,135,0.96,32711,233.65,2882,20.59,36,0.26
21,365,2689,7.37,548,1.50,118279,324.05,27604,75.63,1081,2.96
22,552,655,1.19,402,0.73,117572,212.99,7108,12.88,899,1.63
23,359,1505,4.19,518,1.44,94367,262.86,15817,44.06,558,1.55
24,378,1610,4.26,318,0.84,133074,352.05,27594,73.00,802,2.12
25,192,2136,11.12,1026,5.34,78352,408.08,36908,192.23,1367,7.12
26,125,389,3.11,175,1.40,44375,355.00,3549,28.39,328,2.62
27,327,4259,13.02,966,2.95,319311,976.49,62861,192.24,916,2.80
28,111,929,8.37,191,1.72,67605,609.05,6910,62.25,243,2.19
29,59,707,11.98,192,3.25,35779,606.42,11634,197.19,326,5.53
30,88,592,6.73,90,1.02,23547,267.58,5163,58.67,643,7.31
31,360,1433,3.98,256,0.71,233921,649.78,21384,59.40,6774,18.82
32,104,883,8.49,177,1.70,71036,683.04,15583,149.84,299,2.88
33,209,1574,7.53,516,2.47,134374,642.94,24048,115.06,146,0.70
34,30,277,9.23,29,0.97,17422,580.73,5035,167.83,388,12.93
35,60,710,11.83,249,4.15,41892,698.20,15039,250.65,199,3.32
36,149,376,2.52,183,1.23,109264,733.32,6254,41.97,370,2.48
37,166,1549,9.33,344,2.07,101923,613.99,37599,226.50,1397,8.42
38,13,173,13.31,13,1.00,7555,581.15,4852,373.23,48,3.69
39,23,478,20.78,149,6.48,13560,589.57,14067,611.61,106,4.61
40,163,1246,7.64,165,1.01,113392,695.66,17170,105.34,462,2.83
41,160,1320,8.25,553,3.46,82176,513.60,28808,180.05,1747,10.92
42,92,1386,15.07,31,0.34,47097,511.92,31863,346.34,3116,33.87
43,505,3708,7.34,1162,2.30,503708,997.44,62902,124.56,1351,2.68
44,12,220,18.33,12,1.00,7395,616.25,8055,671.25,0,0.00
45,199,2290,11.51,374,1.88,157154,789.72,52965,266.16,4235,21.28
46,207,2069,10.00,823,3.98,254596,1229.93,36737,177.47,611,2.95
47,136,2039,14.99,406,2.99,139841,1028.24,39754,292.31,449,3.30
