tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,68321,78772,1.15,73004,1.07,218432,3.20,0,0.00,0,0.00
2,10467,10870,1.04,19867,1.90,93420,8.93,26,0.00,0,0.00
3,8099,15040,1.86,16931,2.09,140508,17.35,15249,1.88,24,0.00
4,528,1757,3.33,920,1.74,20214,38.28,4129,7.82,33,0.06
5,1676,2661,1.59,1525,0.91,46894,27.98,2562,1.53,38,0.02
6,32,92,2.88,136,4.25,1671,52.22,532,16.62,17,0.53
7,186,586,3.15,185,0.99,8339,44.83,2652,14.26,27,0.15
8,21,27,1.29,21,1.00,1439,68.52,33,1.57,17,0.81
9,38,96,2.53,25,0.66,2440,64.21,306,8.05,42,1.11
10,9,14,1.56,9,1.00,950,105.56,17,1.89,15,1.67
11,867,1326,1.53,65,0.07,120211,138.65,919,1.06,46,0.05
12,16,37,2.31,13,0.81,1507,94.19,175,10.94,0,0.00
13,12,35,2.92,11,0.92,1682,140.17,205,17.08,41,3.42
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,14,56,4.00,18,1.29,1708,122.00,356,25.43,42,3.00
16,7,23,3.29,7,1.00,1261,180.14,129,18.43,12,1.71
17,144,450,3.12,291,2.02,36570,253.96,4373,30.37,16,0.11
18,58,64,1.10,58,1.00,10124,174.55,308,5.31,801,13.81
19,7,46,6.57,16,2.29,1911,273.00,481,68.71,18,2.57
20,3,10,3.33,3,1.00,473,157.67,134,44.67,0,0.00
21,11,62,5.64,35,3.18,2607,237.00,847,77.00,56,5.09
22,12,12,1.00,8,0.67,2304,192.00,129,10.75,21,1.75
23,23,103,4.48,33,1.43,9031,392.65,1624,70.61,0,0.00
24,25,103,4.12,25,1.00,9876,395.04,1695,67.80,0,0.00
25,2,36,18.00,12,6.00,683,341.50,728,364.00,0,0.00
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,2,39,19.50,13,6.50,743,371.50,872,436.00,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,3,49,16.33,16,5.33,1543,514.33,1098,366.00,0,0.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,41,158,3.85,22,0.54,27981,682.46,2339,57.05,978,23.85
32,3,29,9.67,4,1.33,1923,641.00,578,192.67,31,10.33
33,28,202,7.21,67,2.39,18146,648.07,3080,110.00,66,2.36
34,5,29,5.80,7,1.40,4380,876.00,565,113.00,68,13.60
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,2,21,10.50,1,0.50,305,152.50,480,240.00,30,15.00
37,3,65,21.67,22,7.33,1601,533.67,1971,657.00,0,0.00
