tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,70979,87305,1.23,75268,1.06,230921,3.25,0,0.00,0,0.00
2,57787,58455,1.01,114430,1.98,519789,8.99,73769,1.28,8,0.00
3,10609,15111,1.42,17604,1.66,187913,17.71,3501,0.33,32,0.00
4,3525,3579,1.02,3522,1.00,64767,18.37,78,0.02,6,0.00
5,2748,3570,1.30,2468,0.90,79002,28.75,2639,0.96,346,0.13
6,846,963,1.14,945,1.12,33043,39.06,719,0.85,22,0.03
7,1300,50057,38.51,31483,24.22,379314,291.78,63637,48.95,137,0.11
8,71,161,2.27,83,1.17,4605,64.86,280,3.94,58,0.82
9,159,491,3.09,83,0.52,11835,74.43,1326,8.34,122,0.77
10,29,45,1.55,25,0.86,3059,105.48,58,2.00,36,1.24
11,82,171,2.09,115,1.40,9303,113.45,331,4.04,39,0.48
12,40,196,4.90,35,0.88,3966,99.15,1313,32.83,0,0.00
13,33,122,3.70,28,0.85,4752,144.00,492,14.91,80,2.42
14,19,51,2.68,23,1.21,3652,192.21,136,7.16,45,2.37
15,24,111,4.62,25,1.04,3036,126.50,835,34.79,28,1.17
16,37,99,2.68,42,1.14,7318,197.78,447,12.08,74,2.00
17,163,511,3.13,315,1.93,40047,245.69,4826,29.61,80,0.49
18,575,608,1.06,580,1.01,129562,225.33,5590,9.72,823,1.43
19,276,1373,4.97,1055,3.82,136495,494.55,8290,30.04,201,0.73
20,7,16,2.29,7,1.00,1252,178.86,184,26.29,0,0.00
21,271,1417,5.23,1055,3.89,162092,598.13,8499,31.36,265,0.98
22,32,34,1.06,20,0.62,6250,195.31,322,10.06,81,2.53
23,34,167,4.91,44,1.29,9398,276.41,2224,65.41,32,0.94
24,30,113,3.77,30,1.00,11469,382.30,1847,61.57,16,0.53
25,8,50,6.25,28,3.50,3016,377.00,777,97.12,75,9.38
26,9,23,2.56,8,0.89,2957,328.56,276,30.67,47,5.22
27,7,99,14.14,28,4.00,3354,479.14,1009,144.14,12,1.71
28,2,30,15.00,11,5.50,614,307.00,500,250.00,14,7.00
29,3,56,18.67,14,4.67,930,310.00,1234,411.33,50,16.67
30,5,37,7.40,5,1.00,1104,220.80,455,91.00,22,4.40
31,41,148,3.61,26,0.63,27990,682.68,2317,56.51,956,23.32
32,6,59,9.83,10,1.67,4087,681.17,1042,173.67,59,9.83
33,29,214,7.38,68,2.34,18054,622.55,3111,107.28,68,2.34
34,3,25,8.33,3,1.00,1992,664.00,548,182.67,33,11.00
35,8,67,8.38,24,3.00,5907,738.38,1802,225.25,16,2.00
36,260,1819,7.00,259,1.00,57565,221.40,39490,151.88,1363,5.24
37,12,140,11.67,38,3.17,7698,641.50,3518,293.17,35,2.92
38,2,24,12.00,2,1.00,1632,816.00,688,344.00,0,0.00
39,3,61,20.33,23,7.67,1224,408.00,2043,681.00,20,6.67
40,11,91,8.27,11,1.00,8026,729.64,1515,137.73,32,2.91
41,11,97,8.82,44,4.00,6417,583.36,2835,257.73,92,8.36
42,6,85,14.17,2,0.33,3210,535.00,2040,340.00,205,34.17
43,23,270,11.74,38,1.65,19864,863.65,4080,177.39,166,7.22
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,11,162,14.73,31,2.82,8252,750.18,4484,407.64,277,25.18
46,9,109,12.11,28,3.11,6466,718.44,2472,274.67,125,13.89
47,16,233,14.56,48,3.00,13706,856.62,4752,297.00,0,0.00
48,5,62,12.40,17,3.40,4528,905.60,1403,280.60,47,9.40
49,12,117,9.75,33,2.75,11412,951.00,4563,380.25,138,11.50
50,3,43,14.33,3,1.00,2089,696.33,1214,404.67,46,15.33
51,2,50,25.00,25,12.50,1139,569.50,2438,1219.00,50,25.00
52,9,163,18.11,40,4.44,6644,738.22,4670,518.89,51,5.67
53,2,52,26.00,25,12.50,1181,590.50,2628,1314.00,52,26.00
54,5,25,5.00,7,1.40,7034,1406.80,238,47.60,33,6.60
55,8,120,15.00,11,1.38,10941,1367.62,2150,268.75,269,33.62
57,4,34,8.50,6,1.50,5962,1490.50,561,140.25,168,42.00
58,1,7,7.00,1,1.00,1653,1653.00,285,285.00,0,0.00
59,5,42,8.40,6,1.20,5117,1023.40,528,105.60,178,35.60
60,15,45,3.00,15,1.00,13845,923.00,2730,182.00,0,0.00
61,2,0,0.00,0,0.00,400,200.00,176,88.00,114,57.00
65,4,16,4.00,4,1.00,2556,639.00,416,104.00,0,0.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
