tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,34345,41893,1.22,34092,0.99,108877,3.17,0,0.00,0,0.00
2,4109,4561,1.11,7453,1.81,36609,8.91,26,0.01,1,0.00
3,4205,6394,1.52,5452,1.30,65381,15.55,3145,0.75,18,0.00
4,134,164,1.22,123,0.92,2597,19.38,116,0.87,17,0.13
5,919,1540,1.68,757,0.82,25955,28.24,2221,2.42,36,0.04
6,35,98,2.80,124,3.54,1843,52.66,485,13.86,10,0.29
7,201,620,3.08,193,0.96,9009,44.82,2673,13.30,14,0.07
8,27,54,2.00,31,1.15,1974,73.11,93,3.44,24,0.89
9,62,182,2.94,38,0.61,4486,72.35,556,8.97,40,0.65
10,13,22,1.69,12,0.92,1455,111.92,33,2.54,6,0.46
11,69,145,2.10,68,0.99,8222,119.16,214,3.10,47,0.68
12,20,66,3.30,17,0.85,1844,92.20,371,18.55,0,0.00
13,14,44,3.14,12,0.86,2006,143.29,162,11.57,24,1.71
14,8,18,2.25,8,1.00,1513,189.12,28,3.50,30,3.75
15,14,67,4.79,18,1.29,1927,137.64,448,32.00,28,2.00
16,15,44,2.93,21,1.40,2585,172.33,240,16.00,37,2.47
17,149,463,3.11,298,2.00,37574,252.17,4473,30.02,24,0.16
18,58,64,1.10,58,1.00,10127,174.60,308,5.31,798,13.76
19,14,75,5.36,20,1.43,3060,218.57,751,53.64,51,3.64
20,5,14,2.80,5,1.00,978,195.60,162,32.40,0,0.00
21,14,87,6.21,38,2.71,3787,270.50,889,63.50,66,4.71
22,17,18,1.06,11,0.65,3279,192.88,178,10.47,35,2.06
23,25,115,4.60,35,1.40,7752,310.08,1500,60.00,26,1.04
24,26,103,3.96,26,1.00,10091,388.12,1703,65.50,6,0.23
25,3,39,13.00,15,5.00,1009,336.33,649,216.33,27,9.00
26,7,29,4.14,8,1.14,3496,499.43,384,54.86,22,3.14
27,4,63,15.75,19,4.75,1773,443.25,725,181.25,14,3.50
28,3,30,10.00,11,3.67,710,236.67,558,186.00,29,9.67
29,3,45,15.00,15,5.00,883,294.33,865,288.33,34,11.33
30,2,19,9.50,2,1.00,517,258.50,363,181.50,0,0.00
31,39,118,3.03,21,0.54,27172,696.72,1452,37.23,948,24.31
32,4,39,9.75,6,1.50,2595,648.75,582,145.50,49,12.25
33,27,221,8.19,65,2.41,18128,671.41,3200,118.52,25,0.93
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,66,13.20
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,1,16,16.00,1,1.00,383,383.00,480,480.00,0,0.00
