tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,31268,38328,1.23,31309,1.00,99714,3.19,0,0.00,0,0.00
2,3511,3911,1.11,6369,1.81,31237,8.90,236,0.07,1,0.00
3,4011,6058,1.51,5138,1.28,62267,15.52,2870,0.72,36,0.01
4,113,123,1.09,104,0.92,2198,19.45,73,0.65,23,0.20
5,870,1446,1.66,716,0.82,24458,28.11,2071,2.38,18,0.02
6,27,72,2.67,95,3.52,1342,49.70,370,13.70,20,0.74
7,180,650,3.61,237,1.32,8675,48.19,2668,14.82,29,0.16
8,18,25,1.39,18,1.00,1264,70.22,35,1.94,17,0.94
9,35,95,2.71,25,0.71,2427,69.34,311,8.89,55,1.57
10,10,22,2.20,10,1.00,1113,111.30,33,3.30,9,0.90
11,51,103,2.02,62,1.22,6203,121.63,118,2.31,42,0.82
12,14,35,2.50,11,0.79,1176,84.00,163,11.64,10,0.71
13,17,78,4.59,30,1.76,2632,154.82,412,24.24,47,2.76
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,15,57,3.80,19,1.27,2120,141.33,362,24.13,42,2.80
16,7,22,3.14,10,1.43,1145,163.57,144,20.57,27,3.86
17,152,468,3.08,301,1.98,37878,249.20,4689,30.85,16,0.11
18,58,64,1.10,58,1.00,10087,173.91,303,5.22,801,13.81
19,8,48,6.00,17,2.12,2219,277.38,505,63.12,18,2.25
20,3,10,3.33,3,1.00,473,157.67,134,44.67,0,0.00
21,9,59,6.56,29,3.22,2215,246.11,662,73.56,76,8.44
22,11,12,1.09,7,0.64,2208,200.73,125,11.36,21,1.91
23,21,103,4.90,31,1.48,6929,329.95,1425,67.86,10,0.48
24,26,105,4.04,26,1.00,10213,392.81,1596,61.38,12,0.46
25,3,48,16.00,12,4.00,818,272.67,931,310.33,20,6.67
26,6,17,2.83,6,1.00,2710,451.67,244,40.67,22,3.67
27,3,51,17.00,16,5.33,1240,413.33,851,283.67,22,7.33
28,4,35,8.75,13,3.25,1717,429.25,600,150.00,42,10.50
29,3,49,16.33,14,4.67,1071,357.00,1103,367.67,22,7.33
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,28304,707.60,1889,47.23,977,24.43
32,3,29,9.67,4,1.33,1873,624.33,446,148.67,55,18.33
33,28,202,7.21,67,2.39,18154,648.36,3204,114.43,64,2.29
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,98,19.60
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,2,21,10.50,1,0.50,444,222.00,481,240.50,35,17.50
37,3,65,21.67,22,7.33,1601,533.67,1971,657.00,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1065,532.50,1938,969.00,36,18.00
40,6,56,9.33,6,1.00,4049,674.83,1191,198.50,16,2.67
41,8,82,10.25,36,4.50,6573,821.62,2725,340.62,68,8.50
42,10,137,13.70,3,0.30,4491,449.10,2970,297.00,407,40.70
43,24,275,11.46,42,1.75,22096,920.67,3926,163.58,242,10.08
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,5,93,18.60,25,5.00,3771,754.20,2735,547.00,119,23.80
46,4,42,10.50,9,2.25,2398,599.50,975,243.75,78,19.50
47,13,198,15.23,36,2.77,12313,947.15,3967,305.15,91,7.00
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4079,815.80,4434,886.80,45,9.00
50,2,24,12.00,1,0.50,2080,1040.00,1023,511.50,0,0.00
51,3,68,22.67,30,10.00,2662,887.33,2621,873.67,57,19.00
52,4,102,25.50,36,9.00,3967,991.75,3467,866.75,27,6.75
53,2,58,29.00,26,13.00,2007,1003.50,2724,1362.00,45,22.50
54,1,5,5.00,1,1.00,1675,1675.00,54,54.00,0,0.00
55,3,21,7.00,1,0.33,5142,1714.00,436,145.33,146,48.67
57,2,2,1.00,0,0.00,4256,2128.00,70,35.00,112,56.00
59,2,72,36.00,46,23.00,8202,4101.00,508,254.00,43,21.50
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
61,1,0,0.00,0,0.00,0,0.00,0,0.00,52,52.00
62,8,35,4.38,13,1.62,11282,1410.25,1246,155.75,356,44.50
63,1,8,8.00,1,1.00,213,213.00,50,50.00,62,62.00
65,2,5,2.50,2,1.00,1600,800.00,279,139.50,64,32.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,2,53,26.50,4,2.00,3117,1558.50,1982,991.00,54,27.00
68,3,15,5.00,1,0.33,4201,1400.33,336,112.00,134,44.67
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
70,2,35,17.50,4,2.00,2745,1372.50,537,268.50,65,32.50
72,2,1,0.50,0,0.00,1479,739.50,49,24.50,66,33.00
76,3,14,4.67,1,0.33,5032,1677.33,360,120.00,149,49.67
77,1,7,7.00,1,1.00,2055,2055.00,116,116.00,51,51.00
78,1,11,11.00,2,2.00,230,230.00,22,22.00,77,77.00
81,3,58,19.33,11,3.67,8210,2736.67,2086,695.33,0,0.00
85,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,76,76.00,82,82.00
87,18,53,2.94,8,0.44,36912,2050.67,2110,117.22,1376,76.44
