tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,530655,657291,1.24,523442,0.99,1680765,3.17,0,0.00,0,0.00
2,88642,96430,1.09,164403,1.85,794278,8.96,28112,0.32,55,0.00
3,51292,77933,1.52,65634,1.28,793277,15.47,37241,0.73,472,0.01
4,3023,4101,1.36,3224,1.07,53256,17.62,1037,0.34,163,0.05
5,12089,22056,1.82,10043,0.83,361768,29.93,28543,2.36,750,0.06
6,771,2012,2.61,1907,2.47,39572,51.33,7741,10.04,113,0.15
7,3078,9602,3.12,2634,0.86,139314,45.26,33838,10.99,1767,0.57
8,649,1671,2.57,804,1.24,46748,72.03,2992,4.61,442,0.68
9,1601,5181,3.24,791,0.49,120629,75.35,14237,8.89,917,0.57
10,1144,2194,1.92,1141,1.00,124702,109.01,4874,4.26,35,0.03
11,879,1806,2.05,1023,1.16,98853,112.46,3665,4.17,502,0.57
12,851,2968,3.49,1686,1.98,94836,111.44,19353,22.74,101,0.12
13,296,1167,3.94,267,0.90,45423,153.46,5413,18.29,211,0.71
14,196,505,2.58,237,1.21,36545,186.45,1246,6.36,450,2.30
15,291,1873,6.44,252,0.87,37732,129.66,13682,47.02,366,1.26
16,403,1071,2.66,451,1.12,78138,193.89,4774,11.85,1022,2.54
17,1692,5331,3.15,3346,1.98,423525,250.31,49977,29.54,780,0.46
18,546,686,1.26,546,1.00,98914,181.16,3291,6.03,7234,13.25
19,257,1191,4.63,385,1.50,60160,234.09,10081,39.23,822,3.20
20,88,222,2.52,85,0.97,19196,218.14,2117,24.06,0,0.00
21,171,1312,7.67,380,2.22,61334,358.68,11507,67.29,665,3.89
22,320,341,1.07,201,0.63,66001,206.25,3476,10.86,615,1.92
23,310,1362,4.39,432,1.39,87303,281.62,16465,53.11,359,1.16
24,471,1244,2.64,286,0.61,180624,383.49,18292,38.84,4487,9.53
25,86,582,6.77,252,2.93,27737,322.52,9941,115.59,1051,12.22
26,81,175,2.16,80,0.99,27837,343.67,2572,31.75,223,2.75
27,84,1129,13.44,301,3.58,39692,472.52,12788,152.24,154,1.83
28,38,400,10.53,141,3.71,12048,317.05,6690,176.05,292,7.68
29,31,512,16.52,139,4.48,10883,351.06,10561,340.68,244,7.87
30,59,416,7.05,68,1.15,14621,247.81,4597,77.92,376,6.37
31,574,1903,3.32,446,0.78,346552,603.75,23735,41.35,8773,15.28
32,64,631,9.86,110,1.72,43760,683.75,10762,168.16,516,8.06
33,237,1750,7.38,580,2.45,153186,646.35,26619,112.32,126,0.53
34,42,385,9.17,32,0.76,21468,511.14,6721,160.02,591,14.07
35,63,619,9.83,208,3.30,42216,670.10,16390,260.16,212,3.37
36,254,480,1.89,235,0.93,176595,695.26,8701,34.26,921,3.63
37,141,1566,11.11,406,2.88,87967,623.88,37122,263.28,1136,8.06
38,11,179,16.27,11,1.00,5012,455.64,5630,511.82,0,0.00
39,24,562,23.42,188,7.83,12442,518.42,17329,722.04,154,6.42
40,113,938,8.30,113,1.00,83484,738.80,15964,141.27,224,1.98
41,136,1084,7.97,486,3.57,66479,488.82,24100,177.21,1547,11.38
42,64,977,15.27,20,0.31,33296,520.25,20903,326.61,2261,35.33
43,412,3937,9.56,560,1.36,376178,913.05,51734,125.57,1503,3.65
44,13,244,18.77,13,1.00,7427,571.31,8823,678.69,28,2.15
45,125,1755,14.04,298,2.38,92131,737.05,42513,340.10,2848,22.78
46,88,1058,12.02,322,3.66,58478,664.52,22936,260.64,983,11.17
47,339,2291,6.76,2303,6.79,415748,1226.40,62894,185.53,1046,3.09
48,58,786,13.55,188,3.24,51819,893.43,15414,265.76,255,4.40
49,128,1088,8.50,308,2.41,129043,1008.15,42840,334.69,1060,8.28
50,11,216,19.64,11,1.00,5582,507.45,9131,830.09,95,8.64
51,17,460,27.06,225,13.24,10561,621.24,21942,1290.71,400,23.53
52,92,1555,16.90,379,4.12,73415,797.99,43086,468.33,516,5.61
53,19,621,32.68,241,12.68,12761,671.63,23926,1259.26,152,8.00
54,53,265,5.00,67,1.26,75202,1418.91,2904,54.79,459,8.66
55,56,920,16.43,63,1.12,104809,1871.59,19418,346.75,1251,22.34
56,3,28,9.33,1,0.33,2396,798.67,301,100.33,110,36.67
57,37,458,12.38,106,2.86,61750,1668.92,8666,234.22,1072,28.97
58,7,90,12.86,8,1.14,11944,1706.29,2126,303.71,150,21.43
59,57,469,8.23,73,1.28,57257,1004.51,5861,102.82,2005,35.18
60,143,429,3.00,143,1.00,131711,921.06,25826,180.60,57,0.40
61,13,96,7.38,32,2.46,4264,328.00,700,53.85,382,29.38
62,3,32,10.67,6,2.00,33405,11135.00,1108,369.33,109,36.33
63,3,60,20.00,15,5.00,2903,967.67,1104,368.00,62,20.67
64,26,520,20.00,182,7.00,25392,976.62,12936,497.54,480,18.46
65,46,208,4.52,58,1.26,30978,673.43,4956,107.74,92,2.00
66,31,80,2.58,22,0.71,36231,1168.74,3435,110.81,1143,36.87
67,43,934,21.72,181,4.21,76570,1780.70,29608,688.56,470,10.93
68,64,329,5.14,185,2.89,61972,968.31,5639,88.11,2510,39.22
69,3,72,24.00,3,1.00,4158,1386.00,881,293.67,122,40.67
