tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,31213,38266,1.23,31343,1.00,99635,3.19,0,0.00,0,0.00
2,3404,3795,1.11,6181,1.82,30299,8.90,22,0.01,1,0.00
3,4015,6086,1.52,5165,1.29,62363,15.53,2937,0.73,15,0.00
4,110,126,1.15,103,0.94,2219,20.17,93,0.85,17,0.15
5,868,1438,1.66,715,0.82,24263,27.95,2107,2.43,24,0.03
6,29,82,2.83,116,4.00,1485,51.21,451,15.55,25,0.86
7,183,557,3.04,180,0.98,8115,44.34,2601,14.21,26,0.14
8,20,27,1.35,19,0.95,1278,63.90,33,1.65,15,0.75
9,35,97,2.77,24,0.69,2427,69.34,332,9.49,48,1.37
10,9,17,1.89,9,1.00,1004,111.56,32,3.56,9,1.00
11,54,106,1.96,59,1.09,6609,122.39,96,1.78,55,1.02
12,14,34,2.43,11,0.79,1252,89.43,163,11.64,11,0.79
13,10,29,2.90,11,1.10,1610,161.00,166,16.60,35,3.50
14,5,12,2.40,4,0.80,1026,205.20,23,4.60,12,2.40
15,12,53,4.42,16,1.33,1520,126.67,340,28.33,42,3.50
16,6,21,3.50,6,1.00,1068,178.00,126,21.00,12,2.00
17,149,470,3.15,301,2.02,37875,254.19,4501,30.21,24,0.16
18,58,64,1.10,58,1.00,10119,174.47,308,5.31,798,13.76
19,7,46,6.57,16,2.29,1911,273.00,481,68.71,18,2.57
20,4,13,3.25,4,1.00,841,210.25,151,37.75,0,0.00
21,11,62,5.64,35,3.18,2522,229.27,747,67.91,92,8.36
22,10,10,1.00,6,0.60,1958,195.80,109,10.90,21,2.10
23,21,103,4.90,31,1.48,6927,329.86,1407,67.00,8,0.38
24,26,102,3.92,26,1.00,10840,416.92,1603,61.65,8,0.31
25,2,36,18.00,12,6.00,669,334.50,608,304.00,13,6.50
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,2,39,19.50,13,6.50,723,361.50,553,276.50,14,7.00
28,2,30,15.00,11,5.50,620,310.00,504,252.00,16,8.00
29,2,42,21.00,14,7.00,785,392.50,876,438.00,18,9.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,28300,707.50,1753,43.83,975,24.38
32,3,29,9.67,4,1.33,1867,622.33,425,141.67,51,17.00
33,27,201,7.44,67,2.48,17505,648.33,3167,117.30,32,1.19
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,98,19.60
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,3,26,8.67,3,1.00,542,180.67,482,160.67,70,23.33
37,4,74,18.50,22,5.50,1979,494.75,2324,581.00,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1073,536.50,1730,865.00,28,14.00
40,6,56,9.33,6,1.00,4102,683.67,1247,207.83,0,0.00
41,8,82,10.25,36,4.50,6579,822.38,2220,277.50,60,7.50
42,12,167,13.92,3,0.25,5263,438.58,3426,285.50,481,40.08
43,24,275,11.46,42,1.75,22072,919.67,3865,161.04,240,10.00
44,3,28,9.33,3,1.00,2821,940.33,840,280.00,0,0.00
45,5,93,18.60,25,5.00,3775,755.00,2610,522.00,116,23.20
46,3,23,7.67,3,1.00,1742,580.67,612,204.00,76,25.33
47,14,212,15.14,42,3.00,13437,959.79,4159,297.07,91,6.50
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,6,107,17.83,27,4.50,5388,898.00,4520,753.33,45,7.50
50,1,23,23.00,1,1.00,544,544.00,1012,1012.00,0,0.00
51,3,68,22.67,30,10.00,2812,937.33,2667,889.00,94,31.33
52,4,102,25.50,36,9.00,3994,998.50,4178,1044.50,0,0.00
53,2,58,29.00,26,13.00,1961,980.50,2701,1350.50,31,15.50
54,1,5,5.00,1,1.00,1675,1675.00,54,54.00,0,0.00
55,3,21,7.00,1,0.33,5142,1714.00,436,145.33,146,48.67
57,2,2,1.00,0,0.00,4256,2128.00,70,35.00,112,56.00
59,1,10,10.00,2,2.00,1159,1159.00,95,95.00,43,43.00
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
61,1,0,0.00,0,0.00,0,0.00,0,0.00,52,52.00
62,9,33,3.67,6,0.67,13208,1467.56,405,45.00,476,52.89
63,1,8,8.00,1,1.00,213,213.00,52,52.00,62,62.00
65,2,5,2.50,2,1.00,1600,800.00,279,139.50,64,32.00
66,4,5,1.25,5,1.25,5648,1412.00,209,52.25,127,31.75
67,2,53,26.50,4,2.00,3153,1576.50,1558,779.00,42,21.00
68,3,15,5.00,1,0.33,4035,1345.00,316,105.33,134,44.67
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
72,2,48,24.00,11,5.50,3928,1964.00,2273,1136.50,0,0.00
75,1,2,2.00,3,3.00,2542,2542.00,120,120.00,0,0.00
76,3,14,4.67,1,0.33,5032,1677.33,360,120.00,149,49.67
77,2,30,15.00,4,2.00,6077,3038.50,573,286.50,51,25.50
81,1,25,25.00,1,1.00,707,707.00,1320,1320.00,0,0.00
86,2,37,18.50,1,0.50,3636,1818.00,754,377.00,163,81.50
87,18,53,2.94,8,0.44,36952,2052.89,2087,115.94,1376,76.44
88,1,2,2.00,1,1.00,1341,1341.00,188,188.00,0,0.00
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,1,30,30.00,1,1.00,1821,1821.00,3731,3731.00,0,0.00
93,1,6,6.00,8,8.00,2088,2088.00,587,587.00,92,92.00
94,2,6,3.00,6,3.00,8166,4083.00,196,98.00,152,76.00
95,1,4,4.00,7,7.00,1034,1034.00,9,9.00,18,18.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,2,19,9.50,0,0.00,5689,2844.50,248,124.00,98,49.00
100,2,23,11.50,6,3.00,9572,4786.00,810,405.00,95,47.50
106,2,6,3.00,2,1.00,11270,5635.00,650,325.00,0,0.00
108,1,2,2.00,1,1.00,1527,1527.00,80,80.00,104,104.00
109,1,37,37.00,3,3.00,5137,5137.00,1087,1087.00,0,0.00
110,1,20,20.00,6,6.00,4972,4972.00,341,341.00,75,75.00
111,1,7,7.00,5,5.00,1212,1212.00,101,101.00,109,109.00
113,3,45,15.00,3,1.00,9643,3214.33,1362,454.00,112,37.33
115,1,29,29.00,10,10.00,2795,2795.00,2159,2159.00,0,0.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
125,1,19,19.00,5,5.00,6017,6017.00,760,760.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
130,1,3,3.00,1,1.00,1878,1878.00,84,84.00,126,126.00
141,2,147,73.50,30,15.00,9126,4563.00,6730,3365.00,0,0.00
142,1,23,23.00,7,7.00,6839,6839.00,871,871.00,0,0.00
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1911,1911.00,119,119.00,142,142.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
153,4,66,16.50,20,5.00,24437,6109.25,3719,929.75,309,77.25
166,2,2,1.00,2,1.00,4674,2337.00,860,430.00,162,81.00
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
185,1,2,2.00,0,0.00,8529,8529.00,154,154.00,179,179.00
188,1,2,2.00,1,1.00,2607,2607.00,128,128.00,184,184.00
191,1,2,2.00,17,17.00,11766,11766.00,1779,1779.00,0,0.00
195,1,26,26.00,6,6.00,1284,1284.00,181,181.00,194,194.00
196,1,34,34.00,1,1.00,10963,10963.00,2725,2725.00,0,0.00
201,1,74,74.00,25,25.00,2975,2975.00,6871,6871.00,0,0.00
208,1,2,2.00,1,1.00,2929,2929.00,697,697.00,77,77.00
210,2,18,9.00,3,1.50,23838,11919.00,1755,877.50,414,207.00
218,1,17,17.00,8,8.00,11635,11635.00,949,949.00,158,158.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1612,806.00,222,111.00
