tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,523284,674020,1.29,520044,0.99,1696893,3.24,0,0.00,0,0.00
2,82133,90010,1.10,156665,1.91,740304,9.01,1534,0.02,35,0.00
3,43247,63526,1.47,52644,1.22,650584,15.04,27392,0.63,388,0.01
4,2273,3075,1.35,2818,1.24,45154,19.87,574,0.25,148,0.07
5,9368,19048,2.03,8496,0.91,315032,33.63,22897,2.44,431,0.05
6,2287,3591,1.57,4010,1.75,98241,42.96,9446,4.13,109,0.05
7,2578,9435,3.66,2912,1.13,142876,55.42,28661,11.12,362,0.14
8,1703,3411,2.00,1098,0.64,110011,64.60,2677,1.57,512,0.30
9,1920,5190,2.70,1374,0.72,103209,53.75,11291,5.88,834,0.43
10,398,1050,2.64,462,1.16,43039,108.14,3169,7.96,69,0.17
11,844,1932,2.29,1014,1.20,102310,121.22,2527,2.99,536,0.64
12,896,4794,5.35,1400,1.56,129039,144.02,25458,28.41,102,0.11
13,251,1049,4.18,298,1.19,40735,162.29,5008,19.95,130,0.52
14,198,562,2.84,232,1.17,38684,195.37,1694,8.56,376,1.90
15,200,859,4.29,220,1.10,29276,146.38,5822,29.11,222,1.11
16,413,1416,3.43,558,1.35,89075,215.68,6923,16.76,855,2.07
17,947,2891,3.05,1777,1.88,234283,247.39,25600,27.03,642,0.68
18,309,402,1.30,307,0.99,56255,182.06,1979,6.40,4037,13.06
19,206,939,4.56,308,1.50,46242,224.48,8084,39.24,598,2.90
20,67,123,1.84,66,0.99,13487,201.30,1113,16.61,19,0.28
21,146,1258,8.62,336,2.30,72267,494.98,12629,86.50,424,2.90
22,276,620,2.25,241,0.87,85880,311.16,8722,31.60,373,1.35
23,215,893,4.15,278,1.29,58407,271.66,10683,49.69,494,2.30
24,244,934,3.83,241,0.99,91832,376.36,11985,49.12,159,0.65
25,59,376,6.37,195,3.31,19143,324.46,5929,100.49,720,12.20
26,97,231,2.38,105,1.08,39085,402.94,1786,18.41,351,3.62
27,108,906,8.39,219,2.03,53583,496.14,10100,93.52,1082,10.02
28,20,213,10.65,62,3.10,6892,344.60,4113,205.65,96,4.80
29,18,275,15.28,75,4.17,4973,276.28,6029,334.94,166,9.22
30,64,378,5.91,52,0.81,18028,281.69,3494,54.59,674,10.53
31,218,741,3.40,136,0.62,146061,670.00,10311,47.30,5167,23.70
32,52,477,9.17,86,1.65,34390,661.35,7939,152.67,308,5.92
33,132,976,7.39,325,2.46,85255,645.87,14846,112.47,37,0.28
34,27,222,8.22,28,1.04,15828,586.22,4833,179.00,222,8.22
35,71,579,8.15,152,2.14,41798,588.70,11001,154.94,130,1.83
36,82,195,2.38,222,2.71,58693,715.77,3412,41.61,210,2.56
37,101,881,8.72,199,1.97,60949,603.46,21915,216.98,1402,13.88
38,18,178,9.89,17,0.94,10052,558.44,4493,249.61,37,2.06
39,71,722,10.17,159,2.24,49601,698.61,14158,199.41,393,5.54
40,76,611,8.04,75,0.99,55372,728.58,9766,128.50,201,2.64
41,160,908,5.67,363,2.27,81351,508.44,18702,116.89,1099,6.87
42,51,773,15.16,24,0.47,27718,543.49,16486,323.25,1619,31.75
43,790,3080,3.90,2087,2.64,844416,1068.88,78722,99.65,844,1.07
44,36,280,7.78,19,0.53,25527,709.08,7602,211.17,731,20.31
45,147,1303,8.86,355,2.41,135452,921.44,32251,219.39,2100,14.29
46,71,772,10.87,227,3.20,55010,774.79,15612,219.89,438,6.17
47,246,1381,5.61,734,2.98,295839,1202.60,40307,163.85,336,1.37
48,151,1261,8.35,542,3.59,161772,1071.34,22373,148.17,90,0.60
49,88,652,7.41,189,2.15,91310,1037.61,23583,267.99,789,8.97
50,8,128,16.00,7,0.88,5045,630.62,5209,651.12,46,5.75
51,214,701,3.28,704,3.29,327857,1532.04,36881,172.34,800,3.74
52,83,1076,12.96,242,2.92,60516,729.11,25973,312.93,307,3.70
53,1161,2597,2.24,3589,3.09,2042576,1759.32,160539,138.28,380,0.33
54,53,329,6.21,61,1.15,70982,1339.28,3124,58.94,335,6.32
55,39,667,17.10,40,1.03,74877,1919.92,14235,365.00,877,22.49
56,5,31,6.20,2,0.40,4669,933.80,302,60.40,110,22.00
57,30,288,9.60,45,1.50,41796,1393.20,5566,185.53,956,31.87
58,13,112,8.62,37,2.85,17131,1317.77,1556,119.69,54,4.15
59,50,422,8.44,66,1.32,50281,1005.62,4746,94.92,1710,34.20
60,102,372,3.65,101,0.99,94269,924.21,17442,171.00,152,1.49
61,1146,2407,2.10,3416,2.98,2412893,2105.49,178565,155.82,881,0.77
62,10,80,8.00,28,2.80,23680,2368.00,877,87.70,132,13.20
63,7,69,9.86,11,1.57,7144,1020.57,946,135.14,186,26.57
64,16,188,11.75,50,3.12,42044,2627.75,3596,224.75,63,3.94
65,52,258,4.96,62,1.19,38328,737.08,4863,93.52,125,2.40
66,18,44,2.44,13,0.72,18944,1052.44,1342,74.56,676,37.56
