tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,72182,90150,1.25,71846,1.00,229434,3.18,0,0.00,0,0.00
2,9423,10366,1.10,18305,1.94,86031,9.13,70,0.01,1,0.00
3,6301,9875,1.57,8885,1.41,102558,16.28,5619,0.89,30,0.00
4,300,393,1.31,484,1.61,7584,25.28,37,0.12,18,0.06
5,1970,3143,1.60,1546,0.78,52577,26.69,4977,2.53,38,0.02
6,551,610,1.11,586,1.06,19200,34.85,334,0.61,30,0.05
7,551,1538,2.79,637,1.16,25636,46.53,6458,11.72,35,0.06
8,222,117,0.53,224,1.01,4114,18.53,94,0.42,30,0.14
9,211,464,2.20,267,1.27,13863,65.70,965,4.57,58,0.27
10,13,24,1.85,13,1.00,1439,110.69,37,2.85,0,0.00
11,46,105,2.28,63,1.37,5195,112.93,171,3.72,25,0.54
12,69,148,2.14,65,0.94,5369,77.81,824,11.94,11,0.16
13,16,64,4.00,19,1.19,2628,164.25,287,17.94,21,1.31
14,12,35,2.92,13,1.08,2256,188.00,106,8.83,45,3.75
15,317,318,1.00,273,0.86,33998,107.25,2496,7.87,115,0.36
16,17,36,2.12,18,1.06,3184,187.29,183,10.76,50,2.94
17,450,1332,2.96,855,1.90,106968,237.71,12053,26.78,32,0.07
18,61,77,1.26,61,1.00,11102,182.00,362,5.93,801,13.13
19,12,68,5.67,20,1.67,2848,237.33,768,64.00,48,4.00
20,4,13,3.25,4,1.00,841,210.25,151,37.75,0,0.00
21,9,72,8.00,26,2.89,2470,274.44,867,96.33,36,4.00
22,59,155,2.63,53,0.90,5467,92.66,174,2.95,38,0.64
23,22,107,4.86,32,1.45,7081,321.86,1543,70.14,24,1.09
24,25,99,3.96,25,1.00,9490,379.60,1637,65.48,23,0.92
25,53,100,1.89,111,2.09,24735,466.70,803,15.15,53,1.00
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,4,63,15.75,19,4.75,1793,448.25,1044,261.00,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,2,42,21.00,14,7.00,803,401.50,1029,514.50,0,0.00
30,2,19,9.50,2,1.00,509,254.50,336,168.00,8,4.00
31,42,142,3.38,29,0.69,28635,681.79,1983,47.21,974,23.19
32,4,39,9.75,6,1.50,2637,659.25,746,186.50,35,8.75
33,282,704,2.50,1234,4.38,182735,648.00,19494,69.13,232,0.82
34,3,24,8.00,3,1.00,1369,456.33,573,191.00,27,9.00
35,53,112,2.11,69,1.30,46137,870.51,1802,34.00,16,0.30
36,259,1815,7.01,258,1.00,166650,643.44,19883,76.77,119,0.46
37,56,633,11.30,219,3.91,31547,563.34,11232,200.57,31,0.55
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,8,70,8.75,8,1.00,5714,714.25,1399,174.88,0,0.00
41,9,91,10.11,41,4.56,5949,661.00,2824,313.78,52,5.78
42,3,40,13.33,2,0.67,2016,672.00,1044,348.00,82,27.33
43,22,275,12.50,40,1.82,19169,871.32,4059,184.50,126,5.73
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,5,93,18.60,25,5.00,3891,778.20,3259,651.80,63,12.60
46,3,23,7.67,3,1.00,1812,604.00,884,294.67,42,14.00
47,57,452,7.93,124,2.18,18849,330.68,4511,79.14,0,0.00
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4124,824.80,4438,887.60,0,0.00
50,2,26,13.00,2,1.00,1167,583.50,1035,517.50,46,23.00
51,2,50,25.00,25,12.50,1139,569.50,2438,1219.00,50,25.00
52,5,113,22.60,37,7.40,4597,919.40,4271,854.20,0,0.00
53,2,74,37.00,31,15.50,2302,1151.00,2997,1498.50,0,0.00
54,2,10,5.00,4,2.00,2009,1004.50,76,38.00,33,16.50
55,2,20,10.00,1,0.50,4350,2175.00,461,230.50,54,27.00
57,3,25,8.33,3,1.00,6872,2290.67,333,111.00,112,37.33
58,1,6,6.00,1,1.00,1521,1521.00,125,125.00,54,54.00
59,2,18,9.00,3,1.50,2131,1065.50,192,96.00,88,44.00
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
61,1,27,27.00,3,3.00,2868,2868.00,321,321.00,0,0.00
62,1,4,4.00,3,3.00,15928,15928.00,9,9.00,55,55.00
63,1,8,8.00,1,1.00,213,213.00,50,50.00,62,62.00
65,2,20,10.00,8,4.00,2054,1027.00,253,126.50,46,23.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,3,60,20.00,9,3.00,6407,2135.67,2654,884.67,0,0.00
68,4,21,5.25,5,1.25,4989,1247.25,396,99.00,175,43.75
69,1,34,34.00,1,1.00,1844,1844.00,335,335.00,27,27.00
70,1,13,13.00,1,1.00,1852,1852.00,339,339.00,11,11.00
71,1,10,10.00,2,2.00,262,262.00,44,44.00,0,0.00
73,1,16,16.00,3,3.00,1428,1428.00,323,323.00,34,34.00
75,10,20,2.00,30,3.00,25076,2507.60,1188,118.80,53,5.30
76,2,14,7.00,1,0.50,3458,1729.00,360,180.00,75,37.50
77,2,9,4.50,1,0.50,3688,1844.00,170,85.00,127,63.50
78,1,11,11.00,0,0.00,137,137.00,7,7.00,70,70.00
79,1,5,5.00,2,2.00,6204,6204.00,254,254.00,75,75.00
81,1,25,25.00,1,1.00,707,707.00,1320,1320.00,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,28,28.00,82,82.00
87,23,63,2.74,23,1.00,51912,2257.04,3006,130.70,1376,59.83
88,1,2,2.00,1,1.00,1341,1341.00,188,188.00,0,0.00
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,91,210,2.31,361,3.97,445836,4899.30,26221,288.14,23,0.25
93,1,23,23.00,6,6.00,3490,3490.00,610,610.00,0,0.00
95,3,35,11.67,5,1.67,2765,921.67,310,103.33,65,21.67
97,2,64,32.00,10,5.00,2549,1274.50,2925,1462.50,96,48.00
99,1,17,17.00,0,0.00,2617,2617.00,164,164.00,98,98.00
100,1,18,18.00,1,1.00,4959,4959.00,639,639.00,0,0.00
105,1,7,7.00,4,4.00,1053,1053.00,82,82.00,49,49.00
107,157,356,2.27,791,5.04,1128434,7187.48,71371,454.59,377,2.40
108,2,14,7.00,6,3.00,2766,1383.00,192,96.00,174,87.00
109,1,37,37.00,3,3.00,5209,5209.00,1037,1037.00,0,0.00
110,1,20,20.00,6,6.00,5070,5070.00,498,498.00,0,0.00
113,1,2,2.00,0,0.00,4256,4256.00,70,70.00,112,112.00
114,45,270,6.00,135,3.00,115380,2564.00,7110,158.00,0,0.00
117,2,50,25.00,2,1.00,6333,3166.50,1055,527.50,91,45.50
122,1,21,21.00,5,5.00,5759,5759.00,762,762.00,0,0.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
130,1,3,3.00,1,1.00,1878,1878.00,64,64.00,126,126.00
136,1,10,10.00,7,7.00,1564,1564.00,123,123.00,109,109.00
141,2,99,49.50,21,10.50,9126,4563.00,5543,2771.50,103,51.50
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1986,1986.00,76,76.00,142,142.00
147,1,9,9.00,8,8.00,3792,3792.00,222,222.00,95,95.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
150,2,24,12.00,6,3.00,5488,2744.00,430,215.00,0,0.00
151,1,13,13.00,11,11.00,2631,2631.00,701,701.00,92,92.00
153,2,32,16.00,4,2.00,17980,8990.00,3460,1730.00,0,0.00
166,2,2,1.00,2,1.00,4674,2337.00,860,430.00,162,81.00
170,1,12,12.00,7,7.00,5830,5830.00,527,527.00,32,32.00
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
179,1,0,0.00,0,0.00,5809,5809.00,124,124.00,177,177.00
183,1,39,39.00,1,1.00,3704,3704.00,495,495.00,138,138.00
186,1,40,40.00,8,8.00,6205,6205.00,1773,1773.00,89,89.00
188,1,2,2.00,1,1.00,2607,2607.00,128,128.00,184,184.00
191,1,2,2.00,17,17.00,11766,11766.00,1779,1779.00,0,0.00
192,2,44,22.00,10,5.00,9623,4811.50,1633,816.50,232,116.00
196,1,34,34.00,1,1.00,10963,10963.00,2725,2725.00,0,0.00
198,2,4,2.00,0,0.00,14631,7315.50,1395,697.50,197,98.50
201,1,74,74.00,25,25.00,2975,2975.00,6871,6871.00,0,0.00
202,1,25,25.00,9,9.00,1476,1476.00,138,138.00,92,92.00
203,1,11,11.00,8,8.00,6052,6052.00,552,552.00,157,157.00
204,1,5,5.00,5,5.00,23978,23978.00,2574,2574.00,0,0.00
208,1,2,2.00,1,1.00,2899,2899.00,880,880.00,182,182.00
210,1,3,3.00,1,1.00,2958,2958.00,188,188.00,206,206.00
217,1,15,15.00,3,3.00,20950,20950.00,1595,1595.00,208,208.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1608,804.00,222,111.00
232,1,10,10.00,12,12.00,2319,2319.00,256,256.00,184,184.00
233,1,6,6.00,0,0.00,9081,9081.00,958,958.00,232,232.00
238,1,6,6.00,4,4.00,18138,18138.00,1750,1750.00,0,0.00
246,1,1,1.00,1,1.00,3333,3333.00,1680,1680.00,245,245.00
248,1,2,2.00,1,1.00,3417,3417.00,232,232.00,244,244.00
250,1,9,9.00,3,3.00,24492,24492.00,2480,2480.00,0,0.00
251,1,2,2.00,5,5.00,18793,18793.00,1623,1623.00,0,0.00
266,1,1,1.00,1,1.00,3606,3606.00,272,272.00,262,262.00
268,1,46,46.00,1,1.00,14576,14576.00,4445,4445.00,210,210.00
272,2,6,3.00,1,0.50,14913,7456.50,2349,1174.50,270,135.00
288,2,4,2.00,2,1.00,7914,3957.00,2608,1304.00,568,284.00
292,1,50,50.00,1,1.00,16967,16967.00,6363,6363.00,0,0.00
295,2,148,74.00,50,25.00,13990,6995.00,17632,8816.00,252,126.00
310,1,3,3.00,1,1.00,4614,4614.00,2720,2720.00,0,0.00
316,1,54,54.00,1,1.00,17554,17554.00,7515,7515.00,299,299.00
325,1,56,56.00,12,12.00,15937,15937.00,5445,5445.00,0,0.00
328,1,2,2.00,1,1.00,4497,4497.00,368,368.00,324,324.00
332,1,4,4.00,1,1.00,4987,4987.00,3148,3148.00,0,0.00
334,1,18,18.00,11,11.00,46140,46140.00,4854,4854.00,0,0.00
340,1,58,58.00,1,1.00,19969,19969.00,8764,8764.00,0,0.00
346,1,1,1.00,1,1.00,5028,5028.00,3400,3400.00,0,0.00
350,1,3,3.00,1,1.00,4848,4848.00,456,456.00,346,346.00
364,1,62,62.00,1,1.00,20258,20258.00,10076,10076.00,338,338.00
366,1,1,1.00,1,1.00,5318,5318.00,3816,3816.00,0,0.00
370,1,3,3.00,1,1.00,5178,5178.00,564,564.00,306,306.00
372,1,4,4.00,1,1.00,5261,5261.00,576,576.00,306,306.00
377,1,6,6.00,6,6.00,8142,8142.00,2992,2992.00,309,309.00
386,1,1,1.00,1,1.00,5286,5286.00,616,616.00,322,322.00
388,2,68,34.00,2,1.00,28662,14331.00,15881,7940.50,0,0.00
391,2,94,47.00,34,17.00,20165,10082.50,2394,1197.00,304,152.00
396,1,36,36.00,10,10.00,1773,1773.00,264,264.00,395,395.00
408,1,2,2.00,1,1.00,5637,5637.00,720,720.00,344,344.00
410,1,3,3.00,1,1.00,5658,5658.00,4788,4788.00,406,406.00
412,1,70,70.00,1,1.00,24472,24472.00,13093,13093.00,0,0.00
419,1,16,16.00,0,0.00,67216,67216.00,9276,9276.00,418,418.00
430,2,6,3.00,2,1.00,12342,6171.00,6064,3032.00,366,183.00
436,1,74,74.00,1,1.00,25973,25973.00,14730,14730.00,0,0.00
443,1,0,0.00,0,0.00,0,0.00,0,0.00,442,442.00
446,1,1,1.00,1,1.00,6096,6096.00,864,864.00,382,382.00
448,1,2,2.00,1,1.00,6561,6561.00,5768,5768.00,0,0.00
460,1,78,78.00,1,1.00,27474,27474.00,16464,16464.00,0,0.00
468,1,2,2.00,1,1.00,6851,6851.00,6288,6288.00,0,0.00
487,1,83,83.00,1,1.00,29054,29054.00,18626,18626.00,0,0.00
493,1,492,492.00,0,0.00,9544,9544.00,184111,184111.00,492,492.00
494,1,5,5.00,1,1.00,6900,6900.00,1533,1533.00,490,490.00
511,1,87,87.00,1,1.00,28902,28902.00,20617,20617.00,485,485.00
535,1,91,91.00,1,1.00,32056,32056.00,22773,22773.00,0,0.00
557,1,88,88.00,32,32.00,57788,57788.00,7320,7320.00,451,451.00
559,1,95,95.00,1,1.00,33557,33557.00,24992,24992.00,0,0.00
583,1,99,99.00,1,1.00,35058,35058.00,27308,27308.00,0,0.00
665,1,664,664.00,0,0.00,1992,1992.00,27496,27496.00,664,664.00
817,1,103,103.00,1,1.00,29399,29399.00,8422,8422.00,761,761.00
833,1,73,73.00,26,26.00,38584,38584.00,7655,7655.00,623,623.00
881,1,0,0.00,0,0.00,0,0.00,0,0.00,880,880.00
1025,1,767,767.00,256,256.00,7652,7652.00,20043,20043.00,1008,1008.00
