tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,3992,5924,1.48,4472,1.12,14018,3.51,0,0.00,0,0.00
2,2896,2946,1.02,5784,2.00,26138,9.03,2930,1.01,0,0.00
3,40,46,1.15,38,0.95,564,14.10,6,0.15,2,0.05
4,14,16,1.14,20,1.43,308,22.00,0,0.00,0,0.00
5,6,16,2.67,6,1.00,264,44.00,6,1.00,0,0.00
6,2,2,1.00,4,2.00,120,60.00,0,0.00,0,0.00
7,4,6,1.50,8,2.00,222,55.50,0,0.00,0,0.00
8,8,2,0.25,8,1.00,80,10.00,0,0.00,42,5.25
9,6,10,1.67,10,1.67,304,50.67,6,1.00,32,5.33
11,12,12,1.00,12,1.00,1224,102.00,40,3.33,0,0.00
12,2,2,1.00,2,1.00,132,66.00,6,3.00,0,0.00
13,2,2,1.00,0,0.00,236,118.00,0,0.00,0,0.00
15,2,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
17,2,4,2.00,2,1.00,180,90.00,10,5.00,32,16.00
19,4,10,2.50,6,1.50,644,161.00,132,33.00,50,12.50
22,2,6,3.00,2,1.00,120,60.00,2,1.00,42,21.00
25,2,2,1.00,4,2.00,980,490.00,0,0.00,0,0.00
33,2,198,99.00,36,18.00,1130,565.00,3184,1592.00,0,0.00
34,1,2,2.00,3,3.00,586,586.00,155,155.00,33,33.00
35,4,4,1.00,2,0.50,3224,806.00,40,10.00,99,24.75
36,1,2,2.00,3,3.00,729,729.00,155,155.00,35,35.00
37,2,22,11.00,8,4.00,1116,558.00,368,184.00,0,0.00
41,4,286,71.50,44,11.00,1928,482.00,6502,1625.50,0,0.00
46,2,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
47,2,12,6.00,4,2.00,332,166.00,28,14.00,0,0.00
51,2,84,42.00,12,6.00,3484,1742.00,1350,675.00,0,0.00
52,2,2,1.00,4,2.00,3832,1916.00,96,48.00,0,0.00
64,2,30,15.00,12,6.00,2858,1429.00,390,195.00,6,3.00
65,2,32,16.00,0,0.00,986,493.00,1650,825.00,0,0.00
82,2,2,1.00,6,3.00,6514,3257.00,496,248.00,156,78.00
98,2,12,6.00,6,3.00,5150,2575.00,1098,549.00,134,67.00
126,1,8,8.00,3,3.00,2624,2624.00,173,173.00,0,0.00
129,4,902,225.50,132,33.00,6152,1538.00,68674,17168.50,0,0.00
134,2,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
138,1,10,10.00,3,3.00,2684,2684.00,192,192.00,0,0.00
204,2,2,1.00,12,6.00,26696,13348.00,2148,1074.00,0,0.00
400,2,4,2.00,36,18.00,49076,24538.00,60914,30457.00,0,0.00
517,2,2,1.00,42,21.00,158148,79074.00,107902,53951.00,0,0.00
969,2,32,16.00,2,1.00,350524,175262.00,74508,37254.00,1920,960.00
1573,2,2,1.00,130,65.00,1166232,583116.00,2544578,1272289.00,0,0.00
