tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,129158,164236,1.27,127739,0.99,416851,3.23,0,0.00,0,0.00
2,18873,21269,1.13,34245,1.81,168933,8.95,85,0.00,10,0.00
3,11942,18526,1.55,15519,1.30,183670,15.38,9518,0.80,102,0.01
4,282,371,1.32,238,0.84,4752,16.85,139,0.49,34,0.12
5,2681,4931,1.84,2236,0.83,77458,28.89,7447,2.78,86,0.03
6,147,396,2.69,468,3.18,7828,53.25,1788,12.16,19,0.13
7,735,3199,4.35,902,1.23,49303,67.08,9672,13.16,81,0.11
8,373,1369,3.67,399,1.07,28023,75.13,1572,4.21,72,0.19
9,262,801,3.06,150,0.57,19697,75.18,2167,8.27,136,0.52
10,52,105,2.02,65,1.25,5968,114.77,248,4.77,0,0.00
11,121,241,1.99,144,1.19,13666,112.94,497,4.11,66,0.55
12,184,995,5.41,301,1.64,26350,143.21,5240,28.48,10,0.05
13,42,152,3.62,37,0.88,6405,152.50,629,14.98,36,0.86
14,29,69,2.38,35,1.21,5013,172.86,157,5.41,82,2.83
15,32,156,4.88,34,1.06,4310,134.69,1099,34.34,32,1.00
16,58,162,2.79,66,1.14,11297,194.78,711,12.26,144,2.48
17,311,970,3.12,615,1.98,78115,251.17,9098,29.25,112,0.36
18,61,78,1.28,61,1.00,11111,182.15,363,5.95,801,13.13
19,125,572,4.58,215,1.72,34782,278.26,4879,39.03,105,0.84
20,114,821,7.20,212,1.86,42274,370.82,7053,61.87,5,0.04
21,23,182,7.91,46,2.00,8564,372.35,1632,70.96,88,3.83
22,61,110,1.80,51,0.84,13079,214.41,1320,21.64,170,2.79
23,95,396,4.17,127,1.34,31638,333.03,3808,40.08,464,4.88
24,32,98,3.06,38,1.19,11592,362.25,2172,67.88,12,0.38
25,12,71,5.92,36,3.00,4105,342.08,1293,107.75,113,9.42
26,28,38,1.36,28,1.00,10212,364.71,441,15.75,48,1.71
