tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,31278,38222,1.22,31286,1.00,99571,3.18,0,0.00,0,0.00
2,3423,3802,1.11,6196,1.81,30454,8.90,18,0.01,1,0.00
3,4026,6118,1.52,5215,1.30,62583,15.54,2998,0.74,12,0.00
4,118,140,1.19,116,0.98,2422,20.53,113,0.96,23,0.19
5,853,1415,1.66,703,0.82,23867,27.98,2071,2.43,24,0.03
6,28,74,2.64,96,3.43,1388,49.57,371,13.25,18,0.64
7,180,552,3.07,179,0.99,8052,44.73,2515,13.97,23,0.13
8,18,25,1.39,18,1.00,1254,69.67,33,1.83,22,1.22
9,37,104,2.81,26,0.70,2563,69.27,336,9.08,39,1.05
10,9,16,1.78,8,0.89,953,105.89,24,2.67,9,1.00
11,59,117,1.98,59,1.00,7205,122.12,147,2.49,41,0.69
12,16,37,2.31,14,0.88,1461,91.31,163,10.19,0,0.00
13,12,38,3.17,12,1.00,1861,155.08,211,17.58,29,2.42
14,5,12,2.40,5,1.00,1136,227.20,23,4.60,12,2.40
15,14,67,4.79,23,1.64,1833,130.93,460,32.86,42,3.00
16,7,22,3.14,10,1.43,1145,163.57,144,20.57,27,3.86
17,145,454,3.13,293,2.02,36931,254.70,4374,30.17,16,0.11
18,58,64,1.10,58,1.00,10124,174.55,308,5.31,801,13.81
19,7,46,6.57,16,2.29,1911,273.00,481,68.71,18,2.57
20,3,10,3.33,3,1.00,473,157.67,134,44.67,0,0.00
21,11,62,5.64,35,3.18,2509,228.09,763,69.36,80,7.27
22,12,12,1.00,8,0.67,2304,192.00,129,10.75,21,1.75
23,22,103,4.68,32,1.45,7974,362.45,1435,65.23,6,0.27
24,25,103,4.12,25,1.00,9810,392.40,1637,65.48,6,0.24
25,2,36,18.00,12,6.00,669,334.50,609,304.50,14,7.00
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,2,39,19.50,13,6.50,721,360.50,579,289.50,16,8.00
28,2,30,15.00,11,5.50,626,313.00,525,262.50,16,8.00
29,2,42,21.00,14,7.00,787,393.50,861,430.50,16,8.00
30,2,18,9.00,2,1.00,710,355.00,358,179.00,0,0.00
31,40,143,3.58,22,0.55,28302,707.55,1709,42.73,973,24.32
32,3,29,9.67,4,1.33,1861,620.33,410,136.67,49,16.33
33,29,208,7.17,69,2.38,18820,648.97,3269,112.72,64,2.21
34,6,30,5.00,9,1.50,6084,1014.00,565,94.17,66,11.00
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,1,16,16.00,1,1.00,383,383.00,480,480.00,0,0.00
37,3,65,21.67,22,7.33,1601,533.67,1971,657.00,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1081,540.50,1650,825.00,20,10.00
40,6,56,9.33,6,1.00,4102,683.67,1247,207.83,0,0.00
41,8,86,10.75,38,4.75,5575,696.88,2025,253.12,52,6.50
42,14,197,14.07,3,0.21,6035,431.07,4010,286.43,555,39.64
43,24,275,11.46,42,1.75,22004,916.83,3804,158.50,217,9.04
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,6,104,17.33,25,4.17,4140,690.00,3050,508.33,99,16.50
46,3,23,7.67,3,1.00,1736,578.67,569,189.67,74,24.67
47,13,211,16.23,40,3.08,12037,925.92,4151,319.31,91,7.00
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4124,824.80,4438,887.60,0,0.00
50,2,30,15.00,1,0.50,628,314.00,1013,506.50,28,14.00
51,3,53,17.67,27,9.00,1560,520.00,2475,825.00,50,16.67
52,4,102,25.50,36,9.00,3994,998.50,4178,1044.50,0,0.00
53,2,58,29.00,26,13.00,2001,1000.50,2715,1357.50,39,19.50
54,2,8,4.00,2,1.00,3596,1798.00,95,47.50,0,0.00
55,2,20,10.00,1,0.50,3274,1637.00,402,201.00,101,50.50
57,3,10,3.33,2,0.67,4420,1473.33,77,25.67,168,56.00
59,1,10,10.00,2,2.00,1159,1159.00,95,95.00,43,43.00
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
62,10,6,0.60,3,0.30,13356,1335.60,86,8.60,596,59.60
63,1,8,8.00,1,1.00,204,204.00,31,31.00,53,53.00
65,2,5,2.50,2,1.00,1600,800.00,279,139.50,64,32.00
66,3,4,1.33,2,0.67,3027,1009.00,175,58.33,127,42.33
67,3,81,27.00,11,3.67,4610,1536.67,2016,672.00,30,10.00
68,3,15,5.00,1,0.33,3865,1288.33,336,112.00,134,44.67
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
76,2,14,7.00,1,0.50,5032,2516.00,360,180.00,74,37.00
77,1,7,7.00,1,1.00,2055,2055.00,116,116.00,51,51.00
81,1,25,25.00,1,1.00,707,707.00,1320,1320.00,0,0.00
82,1,40,40.00,12,12.00,1694,1694.00,2162,2162.00,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,76,76.00,82,82.00
87,17,51,3.00,5,0.29,33960,1997.65,1950,114.71,1376,80.94
88,1,2,2.00,1,1.00,1341,1341.00,188,188.00,0,0.00
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,1,30,30.00,1,1.00,1821,1821.00,3731,3731.00,0,0.00
93,1,6,6.00,8,8.00,2088,2088.00,587,587.00,92,92.00
94,2,6,3.00,6,3.00,8537,4268.50,215,107.50,166,83.00
95,1,4,4.00,7,7.00,1034,1034.00,9,9.00,18,18.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,1,17,17.00,0,0.00,2617,2617.00,164,164.00,98,98.00
100,2,23,11.50,6,3.00,8527,4263.50,712,356.00,43,21.50
101,1,0,0.00,0,0.00,0,0.00,0,0.00,70,70.00
102,2,46,23.00,4,2.00,8804,4402.00,1356,678.00,97,48.50
105,1,0,0.00,0,0.00,2130,2130.00,107,107.00,102,102.00
106,1,5,5.00,0,0.00,3221,3221.00,547,547.00,0,0.00
108,1,2,2.00,1,1.00,1527,1527.00,80,80.00,104,104.00
109,3,74,24.67,6,2.00,12068,4022.67,2140,713.33,192,64.00
111,1,7,7.00,5,5.00,1212,1212.00,101,101.00,109,109.00
113,2,43,21.50,3,1.50,9595,4797.50,1318,659.00,112,56.00
119,1,25,25.00,5,5.00,2015,2015.00,2628,2628.00,0,0.00
121,1,6,6.00,3,3.00,3677,3677.00,162,162.00,0,0.00
123,1,14,14.00,6,6.00,948,948.00,67,67.00,122,122.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
127,1,24,24.00,8,8.00,5837,5837.00,583,583.00,0,0.00
130,1,3,3.00,1,1.00,1878,1878.00,84,84.00,126,126.00
139,1,35,35.00,12,12.00,3403,3403.00,3114,3114.00,0,0.00
141,2,92,46.00,16,8.00,4532,2266.00,5400,2700.00,0,0.00
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1986,1986.00,100,100.00,142,142.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
153,5,129,25.80,36,7.20,29936,5987.20,5674,1134.80,237,47.40
157,1,0,0.00,0,0.00,3195,3195.00,321,321.00,153,153.00
166,2,2,1.00,2,1.00,4674,2337.00,884,442.00,162,81.00
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
185,1,2,2.00,0,0.00,8313,8313.00,142,142.00,169,169.00
188,1,2,2.00,1,1.00,2607,2607.00,128,128.00,184,184.00
191,1,2,2.00,17,17.00,11766,11766.00,1779,1779.00,0,0.00
196,1,34,34.00,1,1.00,10963,10963.00,2725,2725.00,0,0.00
201,1,74,74.00,25,25.00,2975,2975.00,6871,6871.00,0,0.00
208,1,2,2.00,1,1.00,3039,3039.00,768,768.00,42,42.00
210,2,18,9.00,3,1.50,23838,11919.00,1755,877.50,414,207.00
218,1,17,17.00,8,8.00,12748,12748.00,1086,1086.00,208,208.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1612,806.00,222,111.00
246,1,1,1.00,1,1.00,3438,3438.00,784,784.00,140,140.00
248,1,2,2.00,1,1.00,3417,3417.00,276,276.00,244,244.00
261,1,0,0.00,0,0.00,5325,5325.00,1070,1070.00,255,255.00
265,1,73,73.00,31,31.00,7317,7317.00,4801,4801.00,264,264.00
266,1,1,1.00,1,1.00,3606,3606.00,296,296.00,262,262.00
268,1,46,46.00,1,1.00,14856,14856.00,3755,3755.00,50,50.00
272,1,4,4.00,1,1.00,4117,4117.00,2060,2060.00,0,0.00
274,1,4,4.00,5,5.00,20891,20891.00,1824,1824.00,0,0.00
288,2,4,2.00,2,1.00,8036,4018.00,1448,724.00,446,223.00
292,1,50,50.00,1,1.00,16967,16967.00,6363,6363.00,0,0.00
295,2,148,74.00,50,25.00,13954,6977.00,17584,8792.00,252,126.00
310,1,3,3.00,1,1.00,4614,4614.00,2720,2720.00,0,0.00
316,1,54,54.00,1,1.00,17747,17747.00,4126,4126.00,168,168.00
322,1,15,15.00,2,2.00,40659,40659.00,3956,3956.00,0,0.00
328,1,2,2.00,1,1.00,4497,4497.00,396,396.00,324,324.00
332,1,4,4.00,1,1.00,4987,4987.00,3148,3148.00,0,0.00
340,1,58,58.00,1,1.00,19969,19969.00,8764,8764.00,0,0.00
346,1,1,1.00,1,1.00,5028,5028.00,3400,3400.00,0,0.00
350,1,3,3.00,1,1.00,4848,4848.00,456,456.00,346,346.00
364,1,62,62.00,1,1.00,20722,20722.00,5879,5879.00,194,194.00
366,1,1,1.00,1,1.00,5318,5318.00,3816,3816.00,0,0.00
370,1,3,3.00,1,1.00,5118,5118.00,528,528.00,366,366.00
372,2,38,19.00,11,5.50,6784,3392.00,778,389.00,739,369.50
386,1,1,1.00,1,1.00,5226,5226.00,580,580.00,382,382.00
388,2,68,34.00,2,1.00,28662,14331.00,15881,7940.50,0,0.00
390,1,35,35.00,22,22.00,24053,24053.00,6035,6035.00,383,383.00
408,1,2,2.00,1,1.00,5525,5525.00,728,728.00,404,404.00
410,1,3,3.00,1,1.00,5764,5764.00,2828,2828.00,300,300.00
412,1,70,70.00,1,1.00,24472,24472.00,13093,13093.00,0,0.00
430,2,6,3.00,2,1.00,12279,6139.50,6064,3032.00,429,214.50
436,1,74,74.00,1,1.00,25973,25973.00,14730,14730.00,0,0.00
443,1,0,0.00,0,0.00,0,0.00,0,0.00,442,442.00
446,1,1,1.00,1,1.00,6096,6096.00,864,864.00,382,382.00
448,1,2,2.00,1,1.00,6561,6561.00,5768,5768.00,0,0.00
460,1,78,78.00,1,1.00,27474,27474.00,16464,16464.00,0,0.00
468,1,2,2.00,1,1.00,6851,6851.00,6288,6288.00,0,0.00
487,1,83,83.00,1,1.00,29054,29054.00,18626,18626.00,0,0.00
494,1,5,5.00,1,1.00,6825,6825.00,1599,1599.00,490,490.00
511,1,87,87.00,1,1.00,29009,29009.00,13596,13596.00,362,362.00
535,1,91,91.00,1,1.00,32056,32056.00,22773,22773.00,0,0.00
557,1,88,88.00,32,32.00,56480,56480.00,6996,6996.00,435,435.00
559,1,95,95.00,1,1.00,33557,33557.00,24992,24992.00,0,0.00
583,1,99,99.00,1,1.00,35058,35058.00,27308,27308.00,0,0.00
817,1,103,103.00,1,1.00,29851,29851.00,7972,7972.00,761,761.00
876,1,69,69.00,40,40.00,35178,35178.00,6032,6032.00,873,873.00
881,1,0,0.00,0,0.00,0,0.00,0,0.00,880,880.00
1745,1,141,141.00,24,24.00,82520,82520.00,24333,24333.00,1309,1309.00
5613,1,642,642.00,9,9.00,392449,392449.00,86911,86911.00,4330,4330.00
12327,1,1453,1453.00,24,24.00,1690243,1690243.00,596397,596397.00,11358,11358.00
