tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,31313,38262,1.22,31395,1.00,99765,3.19,0,0.00,0,0.00
2,3447,3822,1.11,6254,1.81,30683,8.90,17,0.00,1,0.00
3,4032,6129,1.52,5253,1.30,62708,15.55,3044,0.75,16,0.00
4,120,149,1.24,121,1.01,2506,20.88,133,1.11,27,0.23
5,853,1412,1.66,703,0.82,23854,27.96,2051,2.40,24,0.03
6,27,69,2.56,86,3.19,1315,48.70,331,12.26,15,0.56
7,176,543,3.09,175,0.99,7865,44.69,2486,14.12,27,0.15
8,18,25,1.39,18,1.00,1264,70.22,35,1.94,10,0.56
9,35,94,2.69,25,0.71,2410,68.86,314,8.97,24,0.69
10,8,14,1.75,7,0.88,894,111.75,23,2.88,9,1.12
11,62,118,1.90,59,0.95,7714,124.42,88,1.42,36,0.58
12,16,37,2.31,14,0.88,1461,91.31,163,10.19,0,0.00
13,10,29,2.90,11,1.10,1610,161.00,150,15.00,29,2.90
14,5,12,2.40,5,1.00,1136,227.20,23,4.60,12,2.40
15,15,69,4.60,17,1.13,1731,115.40,496,33.07,42,2.80
16,6,21,3.50,6,1.00,1068,178.00,126,21.00,12,2.00
17,145,454,3.13,293,2.02,36931,254.70,4374,30.17,16,0.11
18,58,64,1.10,58,1.00,10148,174.97,312,5.38,801,13.81
19,7,46,6.57,16,2.29,1911,273.00,481,68.71,18,2.57
20,3,10,3.33,3,1.00,473,157.67,134,44.67,0,0.00
21,11,62,5.64,35,3.18,2506,227.82,753,68.45,74,6.73
22,11,11,1.00,7,0.64,2131,193.73,119,10.82,21,1.91
23,22,103,4.68,32,1.45,7628,346.73,1481,67.32,4,0.18
24,25,103,4.12,25,1.00,9747,389.88,1615,64.60,25,1.00
25,2,36,18.00,12,6.00,673,336.50,603,301.50,10,5.00
26,6,16,2.67,11,1.83,2010,335.00,298,49.67,47,7.83
27,2,39,19.50,13,6.50,725,362.50,545,272.50,12,6.00
28,2,30,15.00,11,5.50,614,307.00,519,259.50,12,6.00
29,2,42,21.00,14,7.00,789,394.50,854,427.00,14,7.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,28264,706.60,1679,41.98,971,24.27
32,3,29,9.67,4,1.33,1855,618.33,403,134.33,47,15.67
33,29,208,7.17,69,2.38,18714,645.31,3252,112.14,64,2.21
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,66,13.20
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,1,16,16.00,1,1.00,383,383.00,480,480.00,0,0.00
