tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,94106,114357,1.22,93077,0.99,294324,3.13,0,0.00,0,0.00
2,82606,83933,1.02,162720,1.97,741484,8.98,132841,1.61,22,0.00
3,7698,12781,1.66,13289,1.73,144084,18.72,5588,0.73,110,0.01
4,1558,1719,1.10,1470,0.94,23751,15.24,195,0.13,164,0.11
5,1820,3275,1.80,1530,0.84,55581,30.54,4350,2.39,48,0.03
6,447,786,1.76,855,1.91,20143,45.06,2350,5.26,42,0.09
7,1186,52255,44.06,32359,27.28,380360,320.71,63903,53.88,261,0.22
8,162,432,2.67,212,1.31,11801,72.85,812,5.01,136,0.84
9,394,1250,3.17,213,0.54,29956,76.03,3375,8.57,256,0.65
10,90,2914,32.38,1818,20.20,27911,310.12,6166,68.51,0,0.00
11,221,415,1.88,235,1.06,24170,109.37,1027,4.65,164,0.74
12,146,687,4.71,272,1.86,20226,138.53,4033,27.62,15,0.10
13,68,282,4.15,83,1.22,11101,163.25,1250,18.38,22,0.32
14,46,105,2.28,59,1.28,7838,170.39,192,4.17,132,2.87
15,91,1562,17.16,920,10.11,45246,497.21,3207,35.24,88,0.97
16,214,402,1.88,228,1.07,39834,186.14,2425,11.33,249,1.16
17,199,610,3.07,384,1.93,48228,242.35,5570,27.99,208,1.05
18,122,2593,21.25,1727,14.16,83723,686.25,4378,35.89,854,7.00
19,51,216,4.24,64,1.25,11894,233.22,1529,29.98,177,3.47
20,30,65,2.17,30,1.00,7261,242.03,511,17.03,0,0.00
21,94,4927,52.41,3114,33.13,146314,1556.53,11436,121.66,220,2.34
22,95,108,1.14,58,0.61,20708,217.98,1330,14.00,189,1.99
23,60,236,3.93,83,1.38,15222,253.70,2350,39.17,70,1.17
24,74,4754,64.24,3114,42.08,128287,1733.61,17437,235.64,125,1.69
25,19,101,5.32,55,2.89,6279,330.47,1706,89.79,214,11.26
26,17,27,1.59,17,1.00,5574,327.88,375,22.06,22,1.29
27,50,5991,119.82,3869,77.38,147521,2950.42,24729,494.58,82,1.64
28,2,30,15.00,11,5.50,614,307.00,519,259.50,12,6.00
29,4,64,16.00,15,3.75,1220,305.00,1281,320.25,14,3.50
30,46,6971,151.54,4558,99.09,166257,3614.28,34942,759.61,231,5.02
31,42,140,3.33,28,0.67,28935,688.93,1669,39.74,1006,23.95
