tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,30733,37742,1.23,30712,1.00,97973,3.19,0,0.00,0,0.00
2,3417,3819,1.12,6189,1.81,30387,8.89,237,0.07,1,0.00
3,3951,5917,1.50,4958,1.25,61089,15.46,2662,0.67,20,0.01
4,107,97,0.91,89,0.83,1923,17.97,11,0.10,23,0.21
5,854,1418,1.66,700,0.82,23993,28.09,2052,2.40,30,0.04
6,30,77,2.57,97,3.23,1441,48.03,373,12.43,29,0.97
7,179,651,3.64,236,1.32,8644,48.29,2642,14.76,35,0.20
8,19,26,1.37,19,1.00,1308,68.84,25,1.32,28,1.47
9,34,93,2.74,24,0.71,2376,69.88,311,9.15,55,1.62
10,9,17,1.89,9,1.00,1004,111.56,32,3.56,9,1.00
11,39,85,2.18,62,1.59,4523,115.97,106,2.72,42,1.08
12,15,35,2.33,11,0.73,1264,84.27,163,10.87,22,1.47
13,18,79,4.39,31,1.72,2702,150.11,425,23.61,47,2.61
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,16,64,4.00,19,1.19,2210,138.12,440,27.50,42,2.62
16,6,21,3.50,6,1.00,985,164.17,126,21.00,27,4.50
17,152,468,3.08,301,1.98,37862,249.09,4675,30.76,24,0.16
18,58,64,1.10,58,1.00,10092,174.00,304,5.24,801,13.81
19,9,53,5.89,19,2.11,2582,286.89,564,62.67,18,2.00
20,4,13,3.25,4,1.00,841,210.25,151,37.75,0,0.00
21,8,58,7.25,25,3.12,2201,275.12,676,84.50,71,8.88
22,12,16,1.33,7,0.58,2596,216.33,143,11.92,38,3.17
23,22,114,5.18,31,1.41,7059,320.86,1747,79.41,18,0.82
24,25,100,4.00,25,1.00,9841,393.64,1637,65.48,18,0.72
25,3,38,12.67,13,4.33,1449,483.00,729,243.00,0,0.00
26,6,17,2.83,6,1.00,2710,451.67,244,40.67,47,7.83
27,2,39,19.50,13,6.50,743,371.50,872,436.00,0,0.00
28,3,33,11.00,12,4.00,809,269.67,650,216.67,27,9.00
29,2,42,21.00,14,7.00,803,401.50,1029,514.50,0,0.00
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,27917,697.92,1926,48.15,964,24.10
32,4,39,9.75,6,1.50,2637,659.25,746,186.50,35,8.75
33,27,201,7.44,67,2.48,17505,648.33,3167,117.30,32,1.19
34,4,28,7.00,7,1.75,3765,941.25,554,138.50,65,16.25
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
36,2,21,10.50,1,0.50,444,222.00,481,240.50,35,17.50
37,3,65,21.67,22,7.33,1601,533.67,1971,657.00,0,0.00
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,2,57,28.50,19,9.50,1103,551.50,2009,1004.50,0,0.00
40,6,56,9.33,6,1.00,4102,683.67,1247,207.83,0,0.00
41,8,82,10.25,36,4.50,6609,826.12,2779,347.38,72,9.00
42,4,47,11.75,3,0.75,2151,537.75,1052,263.00,123,30.75
43,23,274,11.91,42,1.83,21275,925.00,4104,178.43,166,7.22
44,1,20,20.00,1,1.00,475,475.00,760,760.00,0,0.00
45,5,93,18.60,25,5.00,3890,778.00,3259,651.80,63,12.60
46,5,52,10.40,13,2.60,8261,1652.20,2014,402.80,81,16.20
47,14,211,15.07,43,3.07,13300,950.00,4130,295.00,137,9.79
48,2,32,16.00,5,2.50,1532,766.00,1045,522.50,0,0.00
49,5,100,20.00,26,5.20,4124,824.80,4438,887.60,0,0.00
50,3,31,10.33,3,1.00,2222,740.67,1027,342.33,49,16.33
51,3,68,22.67,30,10.00,2946,982.00,2671,890.33,49,16.33
52,5,113,22.60,39,7.80,5531,1106.20,4334,866.80,0,0.00
53,2,58,29.00,26,13.00,2007,1003.50,2724,1362.00,45,22.50
54,1,5,5.00,1,1.00,1675,1675.00,54,54.00,0,0.00
55,3,21,7.00,1,0.33,6314,2104.67,496,165.33,108,36.00
56,1,10,10.00,5,5.00,4425,4425.00,700,700.00,0,0.00
57,3,25,8.33,3,1.00,6872,2290.67,333,111.00,112,37.33
59,2,72,36.00,46,23.00,8202,4101.00,508,254.00,43,21.50
60,12,36,3.00,12,1.00,11076,923.00,2184,182.00,0,0.00
61,2,27,13.50,3,1.50,2868,1434.00,321,160.50,60,30.00
62,1,6,6.00,3,3.00,567,567.00,86,86.00,56,56.00
63,1,8,8.00,1,1.00,213,213.00,50,50.00,62,62.00
65,2,5,2.50,2,1.00,1600,800.00,279,139.50,64,32.00
66,4,17,4.25,3,0.75,5360,1340.00,634,158.50,127,31.75
67,2,53,26.50,4,2.00,3294,1647.00,2342,1171.00,0,0.00
68,5,16,3.20,1,0.20,5655,1131.00,385,77.00,190,38.00
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
70,1,7,7.00,4,4.00,791,791.00,54,54.00,8,8.00
76,2,14,7.00,1,0.50,3458,1729.00,360,180.00,75,37.50
77,3,41,13.67,9,3.00,5333,1777.67,961,320.33,127,42.33
79,1,5,5.00,2,2.00,6204,6204.00,254,254.00,75,75.00
81,2,31,15.50,8,4.00,3783,1891.50,1565,782.50,0,0.00
86,1,1,1.00,1,1.00,1176,1176.00,28,28.00,82,82.00
87,18,53,2.94,8,0.44,36952,2052.89,2126,118.11,1376,76.44
88,1,2,2.00,1,1.00,1341,1341.00,188,188.00,0,0.00
89,5,10,2.00,0,0.00,10220,2044.00,430,86.00,440,88.00
90,2,65,32.50,4,2.00,5099,2549.50,4651,2325.50,0,0.00
93,2,33,16.50,12,6.00,4308,2154.00,659,329.50,92,46.00
94,2,6,3.00,6,3.00,9188,4594.00,339,169.50,181,90.50
95,1,4,4.00,7,7.00,1052,1052.00,119,119.00,88,88.00
97,1,24,24.00,0,0.00,456,456.00,1656,1656.00,96,96.00
99,1,17,17.00,0,0.00,2617,2617.00,164,164.00,98,98.00
100,2,23,11.50,6,3.00,9572,4786.00,810,405.00,95,47.50
106,1,3,3.00,1,1.00,5635,5635.00,325,325.00,0,0.00
108,1,2,2.00,1,1.00,1527,1527.00,60,60.00,104,104.00
109,2,37,18.50,3,1.50,7445,3722.50,1073,536.50,103,51.50
111,1,7,7.00,5,5.00,1212,1212.00,101,101.00,109,109.00
113,1,2,2.00,0,0.00,4256,4256.00,70,70.00,112,112.00
117,1,48,48.00,12,12.00,2541,2541.00,1859,1859.00,0,0.00
123,1,2,2.00,2,2.00,5846,5846.00,168,168.00,0,0.00
124,1,22,22.00,1,1.00,6460,6460.00,1015,1015.00,0,0.00
126,1,1,1.00,1,1.00,1838,1838.00,408,408.00,0,0.00
127,1,24,24.00,8,8.00,5837,5837.00,583,583.00,0,0.00
130,1,3,3.00,1,1.00,1878,1878.00,64,64.00,126,126.00
133,1,6,6.00,0,0.00,4920,4920.00,2536,2536.00,0,0.00
135,1,9,9.00,10,10.00,3027,3027.00,1290,1290.00,134,134.00
141,1,92,92.00,16,16.00,4532,4532.00,5400,5400.00,0,0.00
142,1,23,23.00,7,7.00,6839,6839.00,871,871.00,0,0.00
145,1,24,24.00,0,0.00,912,912.00,2484,2484.00,144,144.00
146,1,1,1.00,1,1.00,1986,1986.00,76,76.00,142,142.00
148,1,2,2.00,1,1.00,2211,2211.00,580,580.00,0,0.00
152,1,3,3.00,1,1.00,7770,7770.00,198,198.00,121,121.00
153,4,66,16.50,20,5.00,25400,6350.00,4158,1039.50,304,76.00
166,2,2,1.00,2,1.00,4674,2337.00,860,430.00,162,81.00
172,2,60,30.00,8,4.00,17675,8837.50,3579,1789.50,0,0.00
188,1,2,2.00,1,1.00,2607,2607.00,128,128.00,184,184.00
191,1,2,2.00,17,17.00,11766,11766.00,1779,1779.00,0,0.00
196,1,34,34.00,1,1.00,10963,10963.00,2725,2725.00,0,0.00
199,1,2,2.00,0,0.00,6664,6664.00,194,194.00,193,193.00
201,1,74,74.00,25,25.00,2975,2975.00,6871,6871.00,0,0.00
208,1,2,2.00,1,1.00,2899,2899.00,880,880.00,182,182.00
210,2,18,9.00,3,1.50,23838,11919.00,1783,891.50,414,207.00
217,1,4,4.00,7,7.00,12370,12370.00,561,561.00,0,0.00
218,1,17,17.00,8,8.00,12857,12857.00,775,775.00,208,208.00
220,1,38,38.00,1,1.00,12464,12464.00,3489,3489.00,0,0.00
222,1,146,146.00,25,25.00,7196,7196.00,13716,13716.00,0,0.00
226,2,2,1.00,2,1.00,6354,3177.00,1608,804.00,222,111.00
246,1,1,1.00,1,1.00,3333,3333.00,1680,1680.00,245,245.00
248,1,2,2.00,1,1.00,3417,3417.00,232,232.00,244,244.00
249,1,40,40.00,9,9.00,9997,9997.00,2942,2942.00,0,0.00
251,1,2,2.00,5,5.00,18793,18793.00,1623,1623.00,0,0.00
266,1,1,1.00,1,1.00,3606,3606.00,272,272.00,262,262.00
