tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,60102,73703,1.23,60221,1.00,191765,3.19,0,0.00,0,0.00
2,6294,7043,1.12,11456,1.82,56225,8.93,30,0.00,1,0.00
3,7880,11722,1.49,9814,1.25,121278,15.39,5219,0.66,42,0.01
4,189,163,0.86,180,0.95,3581,18.95,38,0.20,26,0.14
5,1644,2732,1.66,1336,0.81,46172,28.09,3914,2.38,56,0.03
6,48,123,2.56,115,2.40,2202,45.88,501,10.44,35,0.73
7,345,1067,3.09,339,0.98,15473,44.85,4808,13.94,73,0.21
8,42,58,1.38,38,0.90,2667,63.50,51,1.21,36,0.86
9,79,237,3.00,46,0.58,5730,72.53,678,8.58,76,0.96
10,19,32,1.68,15,0.79,1874,98.63,55,2.89,27,1.42
11,76,169,2.22,110,1.45,8758,115.24,219,2.88,42,0.55
12,28,103,3.68,22,0.79,2852,101.86,638,22.79,11,0.39
13,22,79,3.59,23,1.05,3449,156.77,460,20.91,71,3.23
14,12,39,3.25,11,0.92,2806,233.83,122,10.17,21,1.75
15,22,103,4.68,30,1.36,3046,138.45,690,31.36,70,3.18
16,15,36,2.40,16,1.07,2831,188.73,201,13.40,27,1.80
17,288,912,3.17,583,2.02,73449,255.03,8741,30.35,24,0.08
18,118,138,1.17,118,1.00,20789,176.18,670,5.68,1619,13.72
19,14,92,6.57,32,2.29,3876,276.86,1044,74.57,36,2.57
20,6,26,4.33,6,1.00,1512,252.00,271,45.17,0,0.00
21,15,106,7.07,49,3.27,4156,277.07,1306,87.07,91,6.07
22,24,35,1.46,12,0.50,4854,202.25,314,13.08,80,3.33
23,41,214,5.22,62,1.51,13852,337.85,3233,78.85,18,0.44
24,47,196,4.17,47,1.00,18649,396.79,3246,69.06,18,0.38
25,6,84,14.00,24,4.00,1601,266.83,1745,290.83,24,4.00
26,13,33,2.54,13,1.00,4680,360.00,519,39.92,44,3.38
27,10,127,12.70,39,3.90,5337,533.70,2179,217.90,0,0.00
28,4,60,15.00,22,5.50,1356,339.00,1288,322.00,0,0.00
29,5,98,19.60,28,5.60,1787,357.40,2409,481.80,0,0.00
30,2,26,13.00,2,1.00,628,314.00,624,312.00,0,0.00
31,81,284,3.51,51,0.63,55950,690.74,3988,49.23,1899,23.44
32,6,58,9.67,8,1.33,3846,641.00,1156,192.67,62,10.33
33,56,414,7.39,137,2.45,36439,650.70,6364,113.64,55,0.98
34,8,54,6.75,13,1.62,6346,793.25,1195,149.38,98,12.25
35,11,131,11.91,43,3.91,7793,708.45,3640,330.91,32,2.91
36,5,44,8.80,3,0.60,1387,277.40,1015,203.00,92,18.40
37,9,148,16.44,45,5.00,5791,643.44,4147,460.78,72,8.00
38,2,34,17.00,2,1.00,812,406.00,1088,544.00,0,0.00
39,5,114,22.80,39,7.80,3205,641.00,4018,803.60,37,7.40
40,13,119,9.15,13,1.00,9010,693.08,2570,197.69,0,0.00
41,16,162,10.12,72,4.50,10910,681.88,5550,346.88,144,9.00
42,6,73,12.17,5,0.83,3770,628.33,1764,294.00,164,27.33
43,46,546,11.87,83,1.80,41733,907.24,8212,178.52,366,7.96
44,2,40,20.00,2,1.00,950,475.00,1520,760.00,0,0.00
45,9,164,18.22,50,5.56,8177,908.56,6198,688.67,125,13.89
46,6,46,7.67,6,1.00,3624,604.00,1768,294.67,84,14.00
47,25,387,15.48,76,3.04,23531,941.24,7973,318.92,183,7.32
48,3,54,18.00,6,2.00,2053,684.33,1969,656.33,0,0.00
49,8,196,24.50,50,6.25,5838,729.75,8833,1104.12,0,0.00
50,3,49,16.33,3,1.00,1711,570.33,2047,682.33,46,15.33
51,4,103,25.75,52,13.00,2699,674.75,4913,1228.25,99,24.75
52,8,204,25.50,72,9.00,7988,998.50,8356,1044.50,0,0.00
53,6,117,19.50,57,9.50,7619,1269.83,5558,926.33,76,12.67
54,1,5,5.00,1,1.00,1675,1675.00,54,54.00,0,0.00
55,2,20,10.00,1,0.50,4350,2175.00,461,230.50,54,27.00
57,6,28,4.67,11,1.83,11011,1835.17,826,137.67,224,37.33
59,3,23,7.67,7,2.33,3520,1173.33,209,69.67,107,35.67
60,24,77,3.21,24,1.00,23005,958.54,4507,187.79,0,0.00
61,1,27,27.00,3,3.00,2868,2868.00,321,321.00,0,0.00
62,1,6,6.00,3,3.00,567,567.00,86,86.00,56,56.00
63,1,8,8.00,1,1.00,213,213.00,50,50.00,62,62.00
65,2,5,2.50,2,1.00,1600,800.00,279,139.50,64,32.00
66,6,8,1.33,4,0.67,6054,1009.00,350,58.33,254,42.33
67,6,140,23.33,18,3.00,10873,1812.17,5331,888.50,25,4.17
68,5,20,4.00,2,0.40,6659,1331.80,606,121.20,201,40.20
69,1,2,2.00,1,1.00,1440,1440.00,55,55.00,65,65.00
74,1,2,2.00,0,0.00,1732,1732.00,153,153.00,73,73.00
76,3,28,9.33,2,0.67,6916,2305.33,720,240.00,75,25.00
77,3,16,5.33,2,0.67,5743,1914.33,286,95.33,178,59.33
79,1,5,5.00,2,2.00,5901,5901.00,246,246.00,72,72.00
81,3,77,25.67,5,1.67,5764,1921.33,3153,1051.00,0,0.00
82,1,15,15.00,1,1.00,218,218.00,25,25.00,76,76.00
86,2,2,1.00,2,1.00,2352,1176.00,56,28.00,164,82.00
87,42,135,3.21,36,0.86,90917,2164.69,5542,131.95,2881,68.60
88,3,11,3.67,7,2.33,3738,1246.00,461,153.67,61,20.33
89,10,20,2.00,0,0.00,20440,2044.00,860,86.00,880,88.00
90,2,60,30.00,2,1.00,3642,1821.00,7462,3731.00,0,0.00
93,2,29,14.50,14,7.00,5578,2789.00,1197,598.50,92,46.00
94,2,6,3.00,6,3.00,9188,4594.00,339,169.50,181,90.50
95,2,11,5.50,8,4.00,3012,1506.00,249,124.50,182,91.00
97,2,48,24.00,0,0.00,912,456.00,3312,1656.00,192,96.00
99,3,48,16.00,2,0.67,5530,1843.33,374,124.67,294,98.00
100,3,41,13.67,7,2.33,14531,4843.67,1449,483.00,95,31.67
107,1,5,5.00,0,0.00,7305,7305.00,155,155.00,97,97.00
108,2,4,2.00,2,1.00,3054,1527.00,120,60.00,208,104.00
109,5,150,30.00,12,2.40,23863,4772.60,4417,883.40,103,20.60
