tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,76562,88588,1.16,75898,0.99,237166,3.10,0,0.00,0,0.00
2,11368,12200,1.07,21286,1.87,106985,9.41,616,0.05,3,0.00
3,5092,7783,1.53,6833,1.34,80230,15.76,4233,0.83,34,0.01
4,228,229,1.00,182,0.80,3427,15.03,65,0.29,24,0.11
5,1285,2179,1.70,1076,0.84,38139,29.68,3025,2.35,26,0.02
6,70,177,2.53,173,2.47,3520,50.29,684,9.77,10,0.14
7,331,1397,4.22,543,1.64,19436,58.72,3714,11.22,97,0.29
8,74,200,2.70,98,1.32,5625,76.01,395,5.34,43,0.58
9,224,714,3.19,125,0.56,16634,74.26,1735,7.75,85,0.38
10,40,76,1.90,30,0.75,3974,99.35,125,3.12,45,1.12
11,92,223,2.42,105,1.14,10029,109.01,613,6.66,111,1.21
12,46,175,3.80,37,0.80,4510,98.04,1080,23.48,32,0.70
13,31,183,5.90,41,1.32,4547,146.68,532,17.16,74,2.39
14,22,61,2.77,21,0.95,4403,200.14,141,6.41,10,0.45
15,27,111,4.11,30,1.11,3488,129.19,833,30.85,68,2.52
16,33,89,2.70,36,1.09,6548,198.42,389,11.79,51,1.55
17,161,514,3.19,313,1.94,40604,252.20,4675,29.04,78,0.48
18,67,103,1.54,81,1.21,13269,198.04,493,7.36,809,12.07
19,22,86,3.91,26,1.18,4082,185.55,859,39.05,123,5.59
20,11,37,3.36,14,1.27,2524,229.45,207,18.82,0,0.00
21,14,109,7.79,30,2.14,5358,382.71,930,66.43,65,4.64
22,93,99,1.06,81,0.87,18053,194.12,992,10.67,33,0.35
23,71,262,3.69,82,1.15,20247,285.17,2762,38.90,46,0.65
24,38,142,3.74,48,1.26,14354,377.74,1917,50.45,51,1.34
25,10,54,5.40,21,2.10,2368,236.80,931,93.10,121,12.10
26,12,22,1.83,12,1.00,4238,353.17,298,24.83,22,1.83
27,11,138,12.55,33,3.00,5315,483.18,1735,157.73,20,1.82
28,9,45,5.00,18,2.00,4402,489.11,819,91.00,0,0.00
29,5,49,9.80,19,3.80,880,176.00,1016,203.20,82,16.40
30,6,35,5.83,4,0.67,1571,261.83,469,78.17,16,2.67
31,41,139,3.39,26,0.63,27966,682.10,1994,48.63,988,24.10
32,6,49,8.17,9,1.50,4105,684.17,905,150.83,63,10.50
