tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,452882,542326,1.20,423409,0.93,1386810,3.06,0,0.00,0,0.00
2,81778,88126,1.08,148665,1.82,732377,8.96,4878,0.06,64,0.00
3,33807,53788,1.59,43589,1.29,517500,15.31,27865,0.82,533,0.02
4,2322,3186,1.37,1884,0.81,35094,15.11,1003,0.43,236,0.10
5,7591,14102,1.86,6533,0.86,236066,31.10,18919,2.49,355,0.05
6,1096,2593,2.37,3110,2.84,56763,51.79,10765,9.82,66,0.06
7,2051,9452,4.61,3464,1.69,115356,56.24,22367,10.91,533,0.26
8,740,2193,2.96,993,1.34,57153,77.23,4374,5.91,780,1.05
9,2068,6457,3.12,1167,0.56,171876,83.11,16532,7.99,1106,0.53
10,353,601,1.70,339,0.96,39373,111.54,1044,2.96,81,0.23
11,1001,2187,2.18,978,0.98,115372,115.26,5534,5.53,728,0.73
12,539,2072,3.84,376,0.70,52751,97.87,12785,23.72,57,0.11
13,285,1072,3.76,231,0.81,42012,147.41,4689,16.45,144,0.51
14,267,630,2.36,312,1.17,47705,178.67,996,3.73,573,2.15
15,300,1412,4.71,280,0.93,48350,161.17,10201,34.00,181,0.60
16,476,1700,3.57,683,1.43,93452,196.33,8964,18.83,1346,2.83
17,516,1607,3.11,920,1.78,123339,239.03,13462,26.09,1208,2.34
18,94,220,2.34,153,1.63,22047,234.54,1149,12.22,830,8.83
19,301,1427,4.74,452,1.50,82795,275.07,10735,35.66,820,2.72
20,191,650,3.40,493,2.58,46818,245.12,8750,45.81,61,0.32
21,168,1301,7.74,229,1.36,70067,417.07,9172,54.60,476,2.83
22,763,1159,1.52,555,0.73,169175,221.72,14165,18.56,659,0.86
23,211,700,3.32,279,1.32,49133,232.86,5131,24.32,448,2.12
24,259,840,3.24,378,1.46,92631,357.65,9883,38.16,356,1.37
25,105,577,5.50,253,2.41,41686,397.01,8340,79.43,1091,10.39
26,289,958,3.31,632,2.19,104474,361.50,10674,36.93,79,0.27
27,117,1213,10.37,282,2.41,61538,525.97,9827,83.99,48,0.41
28,163,2555,15.67,1257,7.71,65786,403.60,51301,314.73,224,1.37
29,62,508,8.19,158,2.55,34082,549.71,7071,114.05,29,0.47
30,86,464,5.40,93,1.08,23231,270.13,2695,31.34,624,7.26
31,93,250,2.69,93,1.00,58469,628.70,5027,54.05,1177,12.66
32,67,640,9.55,127,1.90,48020,716.72,10970,163.73,95,1.42
33,51,327,6.41,108,2.12,31997,627.39,4579,89.78,31,0.61
34,31,510,16.45,244,7.87,24579,792.87,12053,388.81,216,6.97
35,20,280,14.00,145,7.25,27169,1358.45,2603,130.15,91,4.55
36,47,578,12.30,275,5.85,32446,690.34,9870,210.00,193,4.11
37,157,1504,9.58,560,3.57,109454,697.16,35956,229.02,638,4.06
38,6,109,18.17,7,1.17,3692,615.33,1992,332.00,74,12.33
39,23,167,7.26,100,4.35,20562,894.00,4152,180.52,127,5.52
40,101,1286,12.73,440,4.36,71859,711.48,29876,295.80,253,2.50
41,113,593,5.25,231,2.04,49067,434.22,6851,60.63,1523,13.48
42,84,1177,14.01,15,0.18,38449,457.73,26402,314.31,3198,38.07
43,39,404,10.36,69,1.77,35813,918.28,5779,148.18,308,7.90
44,6,58,9.67,5,0.83,5229,871.50,1116,186.00,45,7.50
45,171,1790,10.47,217,1.27,146910,859.12,33147,193.84,3179,18.59
46,214,1715,8.01,559,2.61,188841,882.43,40341,188.51,210,0.98
47,25,441,17.64,103,4.12,29607,1184.28,9070,362.80,102,4.08
48,76,713,9.38,259,3.41,80634,1060.97,9656,127.05,62,0.82
49,128,361,2.82,151,1.18,150480,1175.62,6133,47.91,1158,9.05
50,3,41,13.67,3,1.00,2633,877.67,1328,442.67,14,4.67
51,17,161,9.47,90,5.29,23282,1369.53,6551,385.35,204,12.00
52,98,929,9.48,118,1.20,80509,821.52,15738,160.59,798,8.14
53,5,91,18.20,29,5.80,6972,1394.40,3441,688.20,45,9.00
54,61,305,5.00,61,1.00,99124,1624.98,3117,51.10,188,3.08
55,74,1382,18.68,165,2.23,123048,1662.81,32601,440.55,1608,21.73
