tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,119063,143668,1.21,111907,0.94,367380,3.09,0,0.00,0,0.00
2,21720,23690,1.09,38741,1.78,193155,8.89,191,0.01,21,0.00
3,9568,15034,1.57,12545,1.31,149951,15.67,7545,0.79,95,0.01
4,626,858,1.37,462,0.74,9586,15.31,305,0.49,59,0.09
5,2617,4831,1.85,2206,0.84,81485,31.14,6172,2.36,88,0.03
6,365,960,2.63,1060,2.90,19101,52.33,4047,11.09,48,0.13
7,778,2610,3.35,724,0.93,37217,47.84,7589,9.75,95,0.12
8,259,702,2.71,333,1.29,19443,75.07,1353,5.22,163,0.63
9,624,2006,3.21,359,0.58,49001,78.53,5602,8.98,215,0.34
10,135,246,1.82,124,0.92,14593,108.10,491,3.64,54,0.40
11,315,647,2.05,325,1.03,34982,111.05,1510,4.79,198,0.63
12,151,720,4.77,126,0.83,15072,99.81,4635,30.70,53,0.35
13,120,457,3.81,106,0.88,17208,143.40,2642,22.02,154,1.28
14,83,174,2.10,94,1.13,14259,171.80,343,4.13,216,2.60
15,71,348,4.90,74,1.04,9864,138.93,2425,34.15,73,1.03
16,181,523,2.89,200,1.10,36098,199.44,2327,12.86,418,2.31
17,236,749,3.17,448,1.90,57251,242.59,7032,29.80,283,1.20
18,69,98,1.42,74,1.07,13638,197.65,575,8.33,813,11.78
19,80,321,4.01,102,1.27,18666,233.32,2428,30.35,164,2.05
20,40,79,1.98,40,1.00,9614,240.35,679,16.98,6,0.15
21,57,436,7.65,92,1.61,23575,413.60,3517,61.70,120,2.11
22,137,166,1.21,98,0.72,30103,219.73,2003,14.62,299,2.18
23,82,294,3.59,109,1.33,19430,236.95,2971,36.23,81,0.99
24,51,136,2.67,50,0.98,18779,368.22,3149,61.75,31,0.61
25,26,132,5.08,72,2.77,8640,332.31,2543,97.81,257,9.88
26,32,64,2.00,45,1.41,11081,346.28,620,19.38,46,1.44
27,40,411,10.28,100,2.50,18423,460.57,3559,88.97,28,0.70
28,4,32,8.00,12,3.00,1760,440.00,648,162.00,29,7.25
29,3,42,14.00,14,4.67,799,266.33,939,313.00,4,1.33
30,21,133,6.33,21,1.00,4324,205.90,1193,56.81,50,2.38
31,43,152,3.53,27,0.63,28864,671.26,2107,49.00,970,22.56
32,22,219,9.95,42,1.91,15736,715.27,3753,170.59,37,1.68
33,28,206,7.36,66,2.36,17917,639.89,3008,107.43,0,0.00
34,5,29,5.80,5,1.00,2923,584.60,564,112.80,99,19.80
35,7,68,9.71,22,3.14,4712,673.14,1818,259.71,50,7.14
36,7,41,5.86,14,2.00,3296,470.86,648,92.57,105,15.00
37,32,298,9.31,66,2.06,19824,619.50,7894,246.69,296,9.25
38,1,17,17.00,1,1.00,406,406.00,544,544.00,0,0.00
39,4,84,21.00,25,6.25,1996,499.00,2115,528.75,20,5.00
40,29,215,7.41,29,1.00,22585,778.79,2794,96.34,48,1.66
41,36,219,6.08,113,3.14,12755,354.31,3612,100.33,412,11.44
42,24,333,13.88,6,0.25,11513,479.71,7443,310.12,861,35.88
43,23,312,13.57,38,1.65,20012,870.09,4243,184.48,186,8.09
44,2,22,11.00,1,0.50,1164,582.00,844,422.00,43,21.50
45,46,551,11.98,66,1.43,35651,775.02,10671,231.98,1008,21.91
46,25,325,13.00,112,4.48,18168,726.72,6480,259.20,114,4.56
47,14,239,17.07,48,3.43,13836,988.29,4658,332.71,46,3.29
48,28,290,10.36,99,3.54,29727,1061.68,3879,138.54,106,3.79
49,48,200,4.17,70,1.46,55454,1155.29,5435,113.23,361,7.52
50,2,26,13.00,3,1.50,987,493.50,1062,531.00,49,24.50
51,1,50,50.00,25,25.00,1139,1139.00,2438,2438.00,0,0.00
52,25,323,12.92,56,2.24,17322,692.88,6079,243.16,75,3.00
53,1,52,52.00,25,25.00,1181,1181.00,2628,2628.00,0,0.00
54,25,131,5.24,25,1.00,39000,1560.00,1978,79.12,282,11.28
55,23,383,16.65,20,0.87,48164,2094.09,8356,363.30,397,17.26
56,2,20,10.00,2,1.00,2702,1351.00,447,223.50,54,27.00
57,9,170,18.89,42,4.67,12635,1403.89,3045,338.33,112,12.44
58,2,28,14.00,2,1.00,3527,1763.50,1020,510.00,0,0.00
59,22,183,8.32,25,1.14,22461,1020.95,2909,132.23,413,18.77
60,35,122,3.49,34,0.97,33876,967.89,6453,184.37,77,2.20
61,15,124,8.27,36,2.40,5697,379.80,688,45.87,404,26.93
63,1,26,26.00,7,7.00,1345,1345.00,527,527.00,0,0.00
64,2,12,6.00,1,0.50,2454,1227.00,603,301.50,63,31.50
65,20,80,4.00,20,1.00,12780,639.00,2080,104.00,0,0.00
