tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,12445213,15139506,1.22,13621175,1.09,40792976,3.28,0,0.00,0,0.00
2,1726455,1899674,1.10,3403698,1.97,15708987,9.10,8342,0.00,109,0.00
3,767473,986213,1.29,809889,1.06,12335237,16.07,145567,0.19,3135,0.00
4,12630,11860,0.94,11144,0.88,208368,16.50,11300,0.89,1254,0.10
5,180613,337567,1.87,177665,0.98,6398881,35.43,217042,1.20,2546,0.01
6,10531,18675,1.77,20769,1.97,460068,43.69,52090,4.95,941,0.09
7,9849,30783,3.13,11758,1.19,475740,48.30,99834,10.14,1783,0.18
8,8321,20833,2.50,15036,1.81,723037,86.89,13158,1.58,3229,0.39
9,8133,21758,2.68,3421,0.42,610510,75.07,64233,7.90,3803,0.47
10,2572,6115,2.38,2992,1.16,289730,112.65,15578,6.06,728,0.28
11,4889,21310,4.36,4470,0.91,604370,123.62,22772,4.66,3955,0.81
12,1382,4992,3.61,1456,1.05,155682,112.65,26141,18.92,826,0.60
13,1363,5341,3.92,1086,0.80,167832,123.13,27428,20.12,780,0.57
14,1525,18201,11.94,17441,11.44,332414,217.98,10350,6.79,8142,5.34
15,1112,4384,3.94,1039,0.93,221706,199.38,43809,39.40,1861,1.67
16,4038,16663,4.13,5810,1.44,965831,239.19,78895,19.54,4225,1.05
17,1711,6674,3.90,3164,1.85,423917,247.76,46177,26.99,2106,1.23
18,612,2193,3.58,833,1.36,159712,260.97,19706,32.20,2946,4.81
19,1073,4369,4.07,3856,3.59,344359,320.93,51787,48.26,2851,2.66
20,798,4814,6.03,1381,1.73,393752,493.42,39418,49.40,866,1.09
21,885,5181,5.85,2391,2.70,266737,301.40,47876,54.10,2817,3.18
22,1805,2990,1.66,1384,0.77,425661,235.82,35118,19.46,1723,0.95
23,506,2041,4.03,736,1.45,140943,278.54,21969,43.42,888,1.75
24,415,1727,4.16,832,2.00,151346,364.69,23827,57.41,979,2.36
25,378,2300,6.08,785,2.08,185158,489.84,28349,75.00,2350,6.22
26,708,2563,3.62,1063,1.50,295793,417.79,26436,37.34,1082,1.53
27,14817,213970,14.44,40715,2.75,22506402,1518.96,4031475,272.08,31038,2.09
28,149,903,6.06,254,1.70,102775,689.77,12413,83.31,1340,8.99
29,478,5107,10.68,996,2.08,310064,648.67,22032,46.09,6276,13.13
30,339,3155,9.31,584,1.72,180380,532.09,18249,53.83,3788,11.17
31,205,2477,12.08,374,1.82,136111,663.96,26144,127.53,2941,14.35
32,305,2846,9.33,672,2.20,253021,829.58,48561,159.22,939,3.08
33,226,1109,4.91,582,2.58,149048,659.50,19169,84.82,1494,6.61
34,243,3252,13.38,1097,4.51,198678,817.60,72597,298.75,1137,4.68
35,512,2107,4.12,699,1.37,296334,578.78,25272,49.36,7469,14.59
36,216,1895,8.77,1033,4.78,151677,702.21,31029,143.65,1331,6.16
37,258,2935,11.38,719,2.79,168221,652.02,55808,216.31,1645,6.38
38,121,1405,11.61,469,3.88,116445,962.36,27487,227.17,586,4.84
39,106,1117,10.54,717,6.76,93750,884.43,25606,241.57,526,4.96
40,193,2351,12.18,852,4.41,232229,1203.26,12613,65.35,2064,10.69
41,366,2516,6.87,741,2.02,226404,618.59,25119,68.63,6410,17.51
42,146,1760,12.05,55,0.38,71209,487.73,36760,251.78,5051,34.60
43,16294,36238,2.22,48494,2.98,18195875,1116.72,1438912,88.31,6499,0.40
44,200,2081,10.40,623,3.12,332882,1664.41,41214,206.07,3544,17.72
45,347,3730,10.75,477,1.37,322097,928.23,66513,191.68,7656,22.06
46,161,2045,12.70,678,4.21,160905,999.41,36069,224.03,729,4.53
47,100,1489,14.89,180,1.80,89877,898.77,20690,206.90,2424,24.24
48,193,1555,8.06,579,3.00,196194,1016.55,22250,115.28,2972,15.40
49,386,1700,4.40,762,1.97,440864,1142.13,36258,93.93,3410,8.83
50,150,1168,7.79,235,1.57,145954,973.03,23947,159.65,2990,19.93
51,15840,32763,2.07,48052,3.03,25632961,1618.24,1940356,122.50,3906,0.25
52,142,1496,10.54,279,1.96,113109,796.54,22369,157.53,596,4.20
53,217,2891,13.32,584,2.69,271603,1251.63,109104,502.78,1278,5.89
54,119,787,6.61,180,1.51,188453,1583.64,15312,128.67,580,4.87
55,238,4376,18.39,708,2.97,360477,1514.61,100196,420.99,3031,12.74
56,303,1101,3.63,812,2.68,522784,1725.36,39152,129.21,1257,4.15
57,56,895,15.98,250,4.46,71287,1272.98,18675,333.48,1011,18.05
58,93,1969,21.17,1462,15.72,101383,1090.14,165850,1783.33,1310,14.09
59,183,1302,7.11,252,1.38,184053,1005.75,26365,144.07,4908,26.82
60,408,1571,3.85,665,1.63,556309,1363.50,72583,177.90,1278,3.13
61,215,2960,13.77,950,4.42,442665,2058.91,50583,235.27,5075,23.60
62,16,154,9.62,30,1.88,20984,1311.50,4072,254.50,352,22.00
63,45,2738,60.84,80,1.78,59344,1318.76,14563,323.62,2628,58.40
64,65,855,13.15,246,3.78,75328,1158.89,22207,341.65,1891,29.09
65,153,628,4.10,306,2.00,179364,1172.31,22316,145.86,1063,6.95
66,69,2236,32.41,449,6.51,106161,1538.57,18107,262.42,2640,38.26
67,3073,90852,29.56,15371,5.00,12579512,4093.56,3585130,1166.65,17038,5.54
68,192,1451,7.56,527,2.74,273678,1425.41,32050,166.93,7174,37.36
69,55,318,5.78,221,4.02,40574,737.71,7570,137.64,1896,34.47
70,34,453,13.32,55,1.62,62371,1834.44,12253,360.38,329,9.68
71,142,3208,22.59,705,4.96,506818,3569.14,125213,881.78,4139,29.15
72,94,890,9.47,159,1.69,196322,2088.53,23389,248.82,2243,23.86
73,46,647,14.07,296,6.43,124958,2716.48,20086,436.65,2366,51.43
74,12,360,30.00,144,12.00,28408,2367.33,9894,824.50,229,19.08
75,128,1583,12.37,269,2.10,204614,1598.55,40933,319.79,4881,38.13
76,21,259,12.33,64,3.05,38366,1826.95,6157,293.19,700,33.33
77,65,1192,18.34,293,4.51,123660,1902.46,35836,551.32,1485,22.85
78,46,2966,64.48,104,2.26,126668,2753.65,20691,449.80,2984,64.87
79,50,574,11.48,196,3.92,93734,1874.68,16738,334.76,640,12.80
80,36,660,18.33,446,12.39,60844,1690.11,65347,1815.19,919,25.53
81,70,788,11.26,247,3.53,99386,1419.80,18107,258.67,3223,46.04
82,71,1043,14.69,564,7.94,155271,2186.92,39164,551.61,266,3.75
83,17,266,15.65,145,8.53,33069,1945.24,6131,360.65,802,47.18
84,12,203,16.92,20,1.67,41299,3441.58,7344,612.00,430,35.83
85,36,865,24.03,325,9.03,71467,1985.19,52513,1458.69,791,21.97
86,33,783,23.73,197,5.97,88079,2669.06,34160,1035.15,1112,33.70
87,221,995,4.50,506,2.29,587869,2660.04,43205,195.50,4614,20.88
88,54,476,8.81,82,1.52,181725,3365.28,29524,546.74,1799,33.31
89,53,484,9.13,119,2.25,119195,2248.96,26046,491.43,1842,34.75
90,24,370,15.42,24,1.00,78468,3269.50,14680,611.67,471,19.62
91,150,2566,17.11,870,5.80,378001,2520.01,113875,759.17,3615,24.10
92,49,721,14.71,69,1.41,165378,3375.06,30418,620.78,284,5.80
93,38,445,11.71,105,2.76,138879,3654.71,14160,372.63,1103,29.03
94,22,117,5.32,28,1.27,29660,1348.18,780,35.45,1520,69.09
95,62,1423,22.95,619,9.98,285229,4600.47,20884,336.84,3815,61.53
96,45,3998,88.84,61,1.36,129528,2878.40,25100,557.78,2460,54.67
97,44,1501,34.11,293,6.66,126198,2868.14,31179,708.61,1035,23.52
98,50,571,11.42,397,7.94,165239,3304.78,24211,484.22,2411,48.22
99,16,119,7.44,29,1.81,23911,1494.44,2427,151.69,813,50.81
100,48,885,18.44,400,8.33,166624,3471.33,34270,713.96,1417,29.52
101,67,733,10.94,101,1.51,226611,3382.25,22052,329.13,2100,31.34
102,80,232,2.90,328,4.10,452345,5654.31,28674,358.43,313,3.91
103,15,863,57.53,354,23.60,62312,4154.13,67673,4511.53,954,63.60
104,13,232,17.85,47,3.62,32923,2532.54,13831,1063.92,223,17.15
105,34,1566,46.06,765,22.50,97849,2877.91,162158,4769.35,978,28.76
106,24,196,8.17,38,1.58,79551,3314.62,7757,323.21,1146,47.75
107,10,252,25.20,44,4.40,28345,2834.50,10318,1031.80,567,56.70
108,27,568,21.04,48,1.78,84068,3113.63,22362,828.22,1649,61.07
109,41,766,18.68,278,6.78,130814,3190.59,40569,989.49,714,17.41
110,48,782,16.29,102,2.12,220979,4603.73,31521,656.69,707,14.73
111,25,415,16.60,12,0.48,109653,4386.12,8486,339.44,1927,77.08
112,20,410,20.50,153,7.65,127704,6385.20,10964,548.20,192,9.60
113,26,253,9.73,38,1.46,59435,2285.96,6133,235.88,2438,93.77
114,4,224,56.00,76,19.00,12464,3116.00,8088,2022.00,0,0.00
115,48,2064,43.00,787,16.40,224926,4685.96,136389,2841.44,2222,46.29
116,23,439,19.09,82,3.57,86283,3751.43,14572,633.57,594,25.83
117,66,1975,29.92,143,2.17,342175,5184.47,71051,1076.53,1088,16.48
118,4,42,10.50,1,0.25,4650,1162.50,1011,252.75,390,97.50
119,61,953,15.62,534,8.75,161780,2652.13,41221,675.75,4956,81.25
120,12,117,9.75,14,1.17,49056,4088.00,5501,458.42,959,79.92
121,61,1500,24.59,156,2.56,274407,4498.48,49190,806.39,2871,47.07
122,45,328,7.29,119,2.64,205564,4568.09,28731,638.47,265,5.89
123,22,81,3.68,20,0.91,11212,509.64,3233,146.95,237,10.77
124,9,243,27.00,8,0.89,49019,5446.56,22598,2510.89,451,50.11
125,15,238,15.87,107,7.13,69782,4652.13,7865,524.33,517,34.47
126,6,142,23.67,18,3.00,50078,8346.33,8975,1495.83,192,32.00
127,109,3024,27.74,872,8.00,582556,5344.55,121463,1114.34,1057,9.70
128,33,4728,143.27,144,4.36,82825,2509.85,32947,998.39,2450,74.24
129,19,639,33.63,229,12.05,130097,6847.21,8855,466.05,1994,104.95
130,1,3,3.00,1,1.00,1900,1900.00,92,92.00,104,104.00
131,9,106,11.78,24,2.67,55782,6198.00,13557,1506.33,539,59.89
132,43,840,19.53,566,13.16,370979,8627.42,126796,2948.74,1495,34.77
133,17,301,17.71,259,15.24,69109,4065.24,13000,764.71,824,48.47
134,31,264,8.52,93,3.00,130940,4223.87,16315,526.29,1342,43.29
135,36,695,19.31,192,5.33,132102,3669.50,36742,1020.61,1964,54.56
136,16,371,23.19,134,8.38,52649,3290.56,31061,1941.31,734,45.88
137,10,507,50.70,126,12.60,31106,3110.60,23578,2357.80,136,13.60
138,14,1764,126.00,78,5.57,45679,3262.79,17381,1241.50,531,37.93
139,2,47,23.50,10,5.00,18944,9472.00,2175,1087.50,0,0.00
140,1,17,17.00,1,1.00,3872,3872.00,407,407.00,121,121.00
141,187,9805,52.43,2005,10.72,601906,3218.75,514691,2752.36,8470,45.29
142,1,0,0.00,0,0.00,470,470.00,0,0.00,141,141.00
143,30,240,8.00,46,1.53,46868,1562.27,11275,375.83,3305,110.17
144,14,368,26.29,134,9.57,61038,4359.86,16338,1167.00,1314,93.86
145,30,931,31.03,421,14.03,73978,2465.93,104770,3492.33,426,14.20
146,15,313,20.87,119,7.93,128174,8544.93,24854,1656.93,1176,78.40
147,117,1568,13.40,883,7.55,511322,4370.27,47140,402.91,10385,88.76
148,12,220,18.33,26,2.17,50136,4178.00,7332,611.00,919,76.58
149,10,69,6.90,35,3.50,102177,10217.70,7976,797.60,669,66.90
150,10,190,19.00,20,2.00,52740,5274.00,5650,565.00,791,79.10
151,105,1532,14.59,1116,10.63,294729,2806.94,75146,715.68,9448,89.98
152,27,768,28.44,365,13.52,150411,5570.78,29229,1082.56,1851,68.56
153,5,84,16.80,24,4.80,22377,4475.40,4684,936.80,343,68.60
154,58,2900,50.00,986,17.00,143606,2475.97,194751,3357.78,290,5.00
155,22,336,15.27,70,3.18,132443,6020.14,14526,660.27,1200,54.55
156,13,812,62.46,84,6.46,43533,3348.69,16008,1231.38,482,37.08
157,23,504,21.91,162,7.04,180471,7846.57,40695,1769.35,1130,49.13
158,4,20,5.00,28,7.00,15028,3757.00,8980,2245.00,0,0.00
159,44,568,12.91,423,9.61,352631,8014.34,80640,1832.73,2989,67.93
160,2,74,37.00,13,6.50,12574,6287.00,4925,2462.50,289,144.50
161,36,1107,30.75,412,11.44,315740,8770.56,48425,1345.14,4829,134.14
162,10,80,8.00,30,3.00,25647,2564.70,6754,675.40,1580,158.00
163,2,215,107.50,2,1.00,8641,4320.50,2316,1158.00,294,147.00
164,12,154,12.83,36,3.00,80790,6732.50,4356,363.00,1232,102.67
165,4,949,237.25,5,1.25,26646,6661.50,6028,1507.00,479,119.75
166,3,57,19.00,2,0.67,5404,1801.33,456,152.00,367,122.33
167,4,169,42.25,19,4.75,11321,2830.25,7316,1829.00,471,117.75
168,6,129,21.50,21,3.50,43078,7179.67,8133,1355.50,395,65.83
169,17,305,17.94,63,3.71,155305,9135.59,14658,862.24,1416,83.29
170,60,718,11.97,414,6.90,367181,6119.68,29780,496.33,3035,50.58
171,4,71,17.75,10,2.50,16855,4213.75,1511,377.75,575,143.75
172,12,1060,88.33,32,2.67,54058,4504.83,18948,1579.00,920,76.67
173,2,34,17.00,10,5.00,21122,10561.00,8617,4308.50,117,58.50
174,12,2940,245.00,36,3.00,62461,5205.08,17259,1438.25,1897,158.08
175,4,105,26.25,21,5.25,9061,2265.25,19386,4846.50,174,43.50
176,2,47,23.50,9,4.50,31635,15817.50,6695,3347.50,172,86.00
177,12,137,11.42,23,1.92,262811,21900.92,11034,919.50,855,71.25
179,3,7,2.33,3,1.00,11512,3837.33,1189,396.33,424,141.33
181,20,314,15.70,160,8.00,95607,4780.35,32680,1634.00,1662,83.10
182,2,30,15.00,22,11.00,7166,3583.00,1402,701.00,246,123.00
183,4,227,56.75,98,24.50,28876,7219.00,20453,5113.25,288,72.00
184,19,518,27.26,62,3.26,104851,5518.47,30791,1620.58,1047,55.11
185,19,634,33.37,81,4.26,146411,7705.84,24399,1284.16,2130,112.11
186,2,45,22.50,9,4.50,11196,5598.00,4353,2176.50,162,81.00
187,3,42,14.00,64,21.33,22042,7347.33,2266,755.33,492,164.00
188,2,2,1.00,1,0.50,2647,1323.50,168,84.00,326,163.00
190,2,22,11.00,63,31.50,3600,1800.00,246,123.00,375,187.50
191,98,316,3.22,1623,16.56,1150952,11744.41,184312,1880.73,687,7.01
192,107,1486,13.89,1064,9.94,500956,4681.83,145172,1356.75,6562,61.33
193,10,181,18.10,57,5.70,18674,1867.40,3952,395.20,1650,165.00
194,26,285,10.96,137,5.27,71247,2740.27,5377,206.81,4127,158.73
195,12,294,24.50,27,2.25,80713,6726.08,6464,538.67,1786,148.83
196,8,217,27.12,104,13.00,49578,6197.25,27665,3458.12,1083,135.38
197,2,212,106.00,107,53.50,7263,3631.50,41875,20937.50,195,97.50
198,1,2,2.00,0,0.00,8522,8522.00,792,792.00,197,197.00
199,21,590,28.10,190,9.05,188155,8959.76,80914,3853.05,1335,63.57
200,11,416,37.82,23,2.09,44006,4000.55,27628,2511.64,1602,145.64
201,4,138,34.50,47,11.75,12165,3041.25,5030,1257.50,380,95.00
202,7,80,11.43,8,1.14,40039,5719.86,4434,633.43,1172,167.43
203,2,40,20.00,2,1.00,14927,7463.50,954,477.00,361,180.50
205,19,128,6.74,73,3.84,265720,13985.26,29818,1569.37,1499,78.89
206,21,513,24.43,57,2.71,246730,11749.05,45234,2154.00,2018,96.10
207,13,164,12.62,20,1.54,96747,7442.08,8096,622.77,2039,156.85
208,3,110,36.67,3,1.00,11163,3721.00,8866,2955.33,308,102.67
209,1,0,0.00,0,0.00,0,0.00,0,0.00,208,208.00
210,2,31,15.50,7,3.50,16149,8074.50,1568,784.00,166,83.00
211,3,36,12.00,18,6.00,5093,1697.67,216,72.00,630,210.00
212,16,384,24.00,128,8.00,233296,14581.00,45782,2861.38,878,54.88
