tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,3133733,4005728,1.28,3219354,1.03,10183020,3.25,0,0.00,0,0.00
2,994792,999995,1.01,1980123,1.99,8950181,9.00,886818,0.89,118,0.00
3,185068,258915,1.40,224640,1.21,2602708,14.06,90434,0.49,661,0.00
4,39750,19570,0.49,40044,1.01,697588,17.55,1730,0.04,223,0.01
5,8614,39778,4.62,11289,1.31,337414,39.17,42473,4.93,496,0.06
6,792,2170,2.74,2530,3.19,44112,55.70,9633,12.16,45,0.06
7,1621,5671,3.50,1428,0.88,76537,47.22,15167,9.36,502,0.31
8,1847,13454,7.28,4710,2.55,225203,121.93,20149,10.91,518,0.28
9,4290,10143,2.36,2569,0.60,208290,48.55,19762,4.61,1243,0.29
10,276,480,1.74,302,1.09,30660,111.09,824,2.99,36,0.13
11,812,1663,2.05,818,1.01,88075,108.47,4265,5.25,791,0.97
12,371,1858,5.01,301,0.81,36099,97.30,12128,32.69,72,0.19
13,301,1513,5.03,602,2.00,44980,149.44,6597,21.92,249,0.83
14,219,8653,39.51,305,1.39,70372,321.33,1231,5.62,490,2.24
15,1433,1107,0.77,225,0.16,27322,19.07,7583,5.29,366,0.26
16,515,2289,4.44,1043,2.03,101858,197.78,13626,26.46,1300,2.52
17,535,2014,3.76,988,1.85,124136,232.03,15917,29.75,927,1.73
18,64,83,1.30,64,1.00,11565,180.70,380,5.94,832,13.00
19,206,1147,5.57,311,1.51,47109,228.68,7890,38.30,705,3.42
20,64,83,1.30,64,1.00,10216,159.62,841,13.14,0,0.00
21,157,1433,9.13,244,1.55,60941,388.16,11398,72.60,426,2.71
22,527,680,1.29,344,0.65,115652,219.45,7815,14.83,488,0.93
23,236,911,3.86,304,1.29,43567,184.61,7887,33.42,370,1.57
24,137,367,2.68,130,0.95,47365,345.73,6310,46.06,131,0.96
25,83,624,7.52,267,3.22,27196,327.66,8221,99.05,874,10.53
26,147,156,1.06,146,0.99,45170,307.28,1757,11.95,58,0.39
27,78,1229,15.76,283,3.63,39649,508.32,11562,148.23,20,0.26
28,4,96,24.00,29,7.25,1564,391.00,1484,371.00,0,0.00
29,22,537,24.41,80,3.64,5720,260.00,8833,401.50,114,5.18
30,62,354,5.71,58,0.94,11546,186.23,1719,27.73,628,10.13
31,52,681,13.10,125,2.40,33000,634.62,10815,207.98,935,17.98
32,64,597,9.33,120,1.88,45780,715.31,10646,166.34,92,1.44
33,47,729,15.51,188,4.00,29622,630.26,11365,241.81,66,1.40
34,20,418,20.90,250,12.50,16649,832.45,4393,219.65,110,5.50
35,24,822,34.25,226,9.42,18889,787.04,13362,556.75,123,5.12
36,17,163,9.59,80,4.71,18054,1062.00,1403,82.53,458,26.94
37,93,1208,12.99,247,2.66,50613,544.23,27527,295.99,684,7.35
38,6,158,26.33,70,11.67,5767,961.17,1504,250.67,38,6.33
39,9,525,58.33,103,11.44,3783,420.33,11053,1228.11,86,9.56
40,83,858,10.34,245,2.95,61827,744.90,15599,187.94,269,3.24
41,132,1429,10.83,962,7.29,77772,589.18,18121,137.28,1491,11.30
42,62,893,14.40,3,0.05,27230,439.19,20143,324.89,2460,39.68
43,24,376,15.67,66,2.75,21240,885.00,5121,213.38,184,7.67
44,18,264,14.67,127,7.06,30267,1681.50,2943,163.50,443,24.61
45,125,1425,11.40,137,1.10,87636,701.09,27267,218.14,3096,24.77
46,919,12880,14.02,4592,5.00,649136,706.35,263865,287.12,1302,1.42
47,19,322,16.95,69,3.63,18152,955.37,5622,295.89,84,4.42
