tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,1020989,1307032,1.28,993334,0.97,3277737,3.21,0,0.00,0,0.00
2,197745,242105,1.22,366918,1.86,1795810,9.08,62437,0.32,114,0.00
3,102979,174622,1.70,154749,1.50,1549772,15.05,167973,1.63,637,0.01
4,22706,61003,2.69,22422,0.99,554099,24.40,650,0.03,779,0.03
5,16071,36154,2.25,14732,0.92,528924,32.91,48820,3.04,740,0.05
6,16891,33875,2.01,19042,1.13,654316,38.74,26495,1.57,188,0.01
7,5102,15142,2.97,5147,1.01,257633,50.50,48272,9.46,654,0.13
8,605,1388,2.29,707,1.17,45789,75.68,2268,3.75,766,1.27
9,1296,3724,2.87,849,0.66,89885,69.36,9754,7.53,739,0.57
10,3692,7441,2.02,3845,1.04,357295,96.78,10074,2.73,126,0.03
11,2321,6262,2.70,3653,1.57,289481,124.72,12061,5.20,577,0.25
12,543,2232,4.11,571,1.05,56314,103.71,10485,19.31,189,0.35
13,588,3196,5.44,990,1.68,94164,160.14,14435,24.55,706,1.20
14,1052,4743,4.51,2005,1.91,246139,233.97,27818,26.44,403,0.38
15,409,2150,5.26,497,1.22,88353,216.02,10655,26.05,841,2.06
16,499,2076,4.16,784,1.57,117442,235.35,10986,22.02,1279,2.56
17,921,3756,4.08,1566,1.70,208382,226.26,27866,30.26,1026,1.11
18,107,516,4.82,353,3.30,25987,242.87,7439,69.52,826,7.72
19,1379,6006,4.36,1903,1.38,423685,307.24,38710,28.07,997,0.72
20,96,305,3.18,205,2.14,25919,269.99,4706,49.02,42,0.44
21,205,1883,9.19,437,2.13,64596,315.10,14528,70.87,542,2.64
22,861,2865,3.33,998,1.16,212334,246.61,34026,39.52,372,0.43
23,193,1034,5.36,314,1.63,52824,273.70,9618,49.83,255,1.32
24,114,590,5.18,274,2.40,42176,369.96,12456,109.26,166,1.46
25,1668,40820,24.47,866,0.52,349269,209.39,493453,295.84,3009,1.80
26,87,486,5.59,251,2.89,34408,395.49,7785,89.48,148,1.70
27,202,1744,8.63,345,1.71,117383,581.10,19004,94.08,78,0.39
28,137,1379,10.07,591,4.31,55118,402.32,21859,159.55,245,1.79
29,59,433,7.34,112,1.90,27794,471.08,6876,116.54,65,1.10
30,226,988,4.37,364,1.61,88089,389.77,15289,67.65,1775,7.85
31,952,2743,2.88,2748,2.89,619607,650.85,35759,37.56,1296,1.36
32,170,1684,9.91,391,2.30,122372,719.84,31071,182.77,102,0.60
33,183,1283,7.01,471,2.57,128765,703.63,15167,82.88,312,1.70
34,40,402,10.05,97,2.42,17141,428.52,7822,195.55,220,5.50
35,213,1541,7.23,302,1.42,146406,687.35,17927,84.16,1498,7.03
36,365,2641,7.24,894,2.45,247397,677.80,32271,88.41,5052,13.84
