tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,248,282,1.14,253,1.02,736,2.97,0,0.00,0,0.00
2,62,67,1.08,127,2.05,582,9.39,1,0.02,0,0.00
3,7,7,1.00,7,1.00,100,14.29,0,0.00,0,0.00
4,4,6,1.50,8,2.00,116,29.00,0,0.00,0,0.00
5,1,2,2.00,1,1.00,38,38.00,1,1.00,0,0.00
7,2,3,1.50,4,2.00,111,55.50,0,0.00,0,0.00
8,4,1,0.25,4,1.00,40,10.00,0,0.00,0,0.00
9,3,5,1.67,5,1.67,186,62.00,7,2.33,0,0.00
12,1,1,1.00,1,1.00,66,66.00,3,3.00,0,0.00
15,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
17,1,2,2.00,1,1.00,90,90.00,5,5.00,0,0.00
22,1,3,3.00,1,1.00,60,60.00,1,1.00,0,0.00
25,1,1,1.00,2,2.00,490,490.00,0,0.00,0,0.00
35,1,1,1.00,1,1.00,894,894.00,0,0.00,0,0.00
37,1,11,11.00,4,4.00,558,558.00,184,184.00,0,0.00
47,1,6,6.00,2,2.00,166,166.00,14,14.00,0,0.00
114,1,6,6.00,3,3.00,2564,2564.00,158,158.00,0,0.00
