tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,435738,550633,1.26,435044,1.00,1396442,3.20,0,0.00,0,0.00
2,93247,104780,1.12,169343,1.82,836124,8.97,986,0.01,62,0.00
3,44489,74833,1.68,52153,1.17,667696,15.01,30989,0.70,370,0.01
4,2163,3904,1.80,1947,0.90,39614,18.31,826,0.38,134,0.06
5,7144,14359,2.01,6334,0.89,232485,32.54,15802,2.21,262,0.04
6,803,2135,2.66,2382,2.97,43436,54.09,8966,11.17,30,0.04
7,2162,7195,3.33,2199,1.02,104972,48.55,17703,8.19,291,0.13
8,1110,2134,1.92,1333,1.20,68159,61.40,3617,3.26,499,0.45
9,2018,5939,2.94,1402,0.69,146863,72.78,15520,7.69,846,0.42
10,393,774,1.97,405,1.03,45062,114.66,971,2.47,62,0.16
11,1011,2007,1.99,1014,1.00,112495,111.27,3533,3.49,682,0.67
12,647,2639,4.08,608,0.94,78159,120.80,13490,20.85,36,0.06
13,280,1079,3.85,203,0.72,41164,147.01,4231,15.11,164,0.59
14,221,529,2.39,283,1.28,38314,173.37,1297,5.87,469,2.12
15,291,1104,3.79,251,0.86,31583,108.53,8117,27.89,104,0.36
16,445,1373,3.09,513,1.15,88083,197.94,5689,12.78,1137,2.56
17,536,1958,3.65,898,1.68,112994,210.81,42754,79.76,894,1.67
18,74,109,1.47,74,1.00,15844,214.11,431,5.82,801,10.82
19,309,2256,7.30,345,1.12,157609,510.06,6206,20.08,639,2.07
20,257,2948,11.47,257,1.00,263024,1023.44,4422,17.21,65,0.25
21,212,2486,11.73,234,1.10,141178,665.93,13202,62.27,1027,4.84
22,442,703,1.59,390,0.88,88642,200.55,4811,10.88,422,0.95
23,223,829,3.72,286,1.28,57022,255.70,6814,30.56,315,1.41
24,143,300,2.10,102,0.71,52213,365.13,6861,47.98,409,2.86
25,135,346,2.56,326,2.41,55529,411.33,5023,37.21,832,6.16
26,101,222,2.20,113,1.12,40431,400.31,1968,19.49,161,1.59
27,84,979,11.65,223,2.65,41932,499.19,8710,103.69,146,1.74
28,6,34,5.67,15,2.50,3037,506.17,644,107.33,23,3.83
29,22,275,12.50,28,1.27,32154,1461.55,1870,85.00,242,11.00
30,73,526,7.21,73,1.00,39057,535.03,2550,34.93,416,5.70
31,45,184,4.09,27,0.60,29004,644.53,3280,72.89,930,20.67
32,63,625,9.92,123,1.95,45865,728.02,10818,171.71,43,0.68
33,54,964,17.85,68,1.26,31550,584.26,199821,3700.39,10,0.19
34,3,25,8.33,3,1.00,1992,664.00,548,182.67,33,11.00
35,94,198,2.11,119,1.27,72254,768.66,2027,21.56,22,0.23
36,119,1978,16.62,117,0.98,237835,1998.61,8953,75.24,187,1.57
37,164,2105,12.84,428,2.61,89880,548.05,32423,197.70,1052,6.41
38,2,23,11.50,2,1.00,832,416.00,601,300.50,0,0.00
39,60,541,9.02,77,1.28,64260,1071.00,6539,108.98,45,0.75
40,67,483,7.21,67,1.00,52791,787.93,5379,80.28,144,2.15
41,103,724,7.03,255,2.48,38282,371.67,5326,51.71,1238,12.02
42,64,945,14.77,4,0.06,27764,433.81,21158,330.59,2501,39.08
43,66,530,8.03,79,1.20,55912,847.15,6484,98.24,302,4.58
44,4,64,16.00,4,1.00,3240,810.00,1793,448.25,22,5.50
45,145,1604,11.06,165,1.14,114132,787.12,29908,206.26,3051,21.04
46,208,2042,9.82,880,4.23,288506,1387.05,32450,156.01,75,0.36
47,42,614,14.62,148,3.52,30849,734.50,8754,208.43,80,1.90
48,65,642,9.88,249,3.83,62089,955.22,8182,125.88,167,2.57
49,129,389,3.02,161,1.25,154376,1196.71,6953,53.90,933,7.23
50,3,39,13.00,3,1.00,2547,849.00,1088,362.67,82,27.33
51,1,50,50.00,25,25.00,1139,1139.00,2438,2438.00,0,0.00
52,66,790,11.97,98,1.48,43034,652.03,10786,163.42,82,1.24
53,7,94,13.43,37,5.29,2321,331.57,2748,392.57,0,0.00
54,69,341,4.94,65,0.94,109802,1591.33,4110,59.57,820,11.88
55,70,1156,16.51,67,0.96,130073,1858.19,25463,363.76,1243,17.76
57,33,448,13.58,80,2.42,40095,1215.00,9674,293.15,258,7.82
58,4,34,8.50,4,1.00,7888,1972.00,786,196.50,0,0.00
59,71,605,8.52,83,1.17,69961,985.37,7775,109.51,1839,25.90
60,75,268,3.57,75,1.00,73459,979.45,14936,199.15,0,0.00
61,17,195,11.47,60,3.53,6093,358.41,1645,96.76,180,10.59
62,1,9,9.00,1,1.00,1899,1899.00,361,361.00,0,0.00
64,5,52,10.40,5,1.00,10956,2191.20,2111,422.20,0,0.00
65,67,303,4.52,74,1.10,40006,597.10,6485,96.79,0,0.00
66,9,32,3.56,16,1.78,16941,1882.33,1363,151.44,324,36.00
67,25,526,21.04,105,4.20,38187,1527.48,12292,491.68,137,5.48
68,65,389,5.98,243,3.74,61326,943.48,6608,101.66,2111,32.48
69,1,17,17.00,0,0.00,323,323.00,42,42.00,68,68.00
70,2,28,14.00,2,1.00,4956,2478.00,1072,536.00,0,0.00
71,5,50,10.00,10,2.00,1310,262.00,220,44.00,0,0.00
72,5,72,14.40,5,1.00,12772,2554.40,2987,597.40,0,0.00
73,2,1182,591.00,8,4.00,5244,2622.00,1328,664.00,72,36.00
74,6,92,15.33,6,1.00,16056,2676.00,3764,627.33,0,0.00
75,3,19,6.33,3,1.00,6449,2149.67,1360,453.33,0,0.00
76,5,82,16.40,5,1.00,14510,2902.00,3136,627.20,0,0.00
