tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,746,849,1.14,761,1.02,2215,2.97,0,0.00,0,0.00
2,186,203,1.09,381,2.05,1748,9.40,3,0.02,0,0.00
3,21,21,1.00,21,1.00,300,14.29,0,0.00,0,0.00
4,14,19,1.36,25,1.79,373,26.64,0,0.00,0,0.00
5,4,7,1.75,3,0.75,129,32.25,3,0.75,0,0.00
6,1,0,0.00,0,0.00,19,19.00,0,0.00,0,0.00
7,6,9,1.50,12,2.00,333,55.50,0,0.00,0,0.00
8,12,3,0.25,12,1.00,120,10.00,0,0.00,0,0.00
9,9,15,1.67,15,1.67,558,62.00,21,2.33,0,0.00
12,3,3,1.00,3,1.00,198,66.00,9,3.00,0,0.00
15,3,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
17,3,6,2.00,3,1.00,270,90.00,15,5.00,0,0.00
22,3,9,3.00,3,1.00,180,60.00,3,1.00,0,0.00
25,3,3,1.00,6,2.00,1470,490.00,0,0.00,0,0.00
35,4,7,1.75,5,1.25,2800,700.00,5,1.25,0,0.00
37,3,33,11.00,12,4.00,1674,558.00,552,184.00,0,0.00
41,1,5,5.00,2,2.00,142,142.00,9,9.00,0,0.00
47,1,6,6.00,2,2.00,166,166.00,14,14.00,0,0.00
114,2,12,6.00,6,3.00,5128,2564.00,316,158.00,0,0.00
126,1,8,8.00,3,3.00,2624,2624.00,173,173.00,0,0.00
