tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,4562957,6113416,1.34,4547008,1.00,14941276,3.27,0,0.00,0,0.00
2,426705,490312,1.15,806541,1.89,3857851,9.04,84223,0.20,19,0.00
3,258952,428157,1.65,410711,1.59,4396263,16.98,305008,1.18,1152,0.00
4,10984,16382,1.49,11001,1.00,194371,17.70,10534,0.96,3432,0.31
5,110270,195387,1.77,89590,0.81,3047895,27.64,319192,2.89,1275,0.01
6,360,896,2.49,901,2.50,17824,49.51,3350,9.31,203,0.56
7,28808,81649,2.83,28489,0.99,1262233,43.82,390570,13.56,2582,0.09
8,801,2521,3.15,1731,2.16,66294,82.76,4101,5.12,266,0.33
9,593,1826,3.08,381,0.64,44575,75.17,4751,8.01,360,0.61
10,141,247,1.75,138,0.98,16314,115.70,258,1.83,8,0.06
11,270,532,1.97,303,1.12,29786,110.32,1029,3.81,271,1.00
12,5332,26505,4.97,5314,1.00,841772,157.87,76490,14.35,2631,0.49
13,5320,21160,3.98,5314,1.00,1406695,264.42,22497,4.23,307,0.06
14,154,496,3.22,169,1.10,33153,215.28,1663,10.80,222,1.44
15,92,353,3.84,79,0.86,10053,109.27,2508,27.26,102,1.11
16,143,438,3.06,180,1.26,28088,196.42,2343,16.38,285,1.99
17,15396,46238,3.00,30751,2.00,3918250,254.50,445254,28.92,762,0.05
18,147,275,1.87,146,0.99,27081,184.22,1855,12.62,1628,11.07
19,5380,16594,3.08,5382,1.00,1668805,310.19,98996,18.40,2632,0.49
20,137,1005,7.34,23,0.17,17644,128.79,8508,62.10,2166,15.81
21,54,427,7.91,111,2.06,20401,377.80,3581,66.31,199,3.69
22,131,180,1.37,100,0.76,25386,193.79,1378,10.52,164,1.25
23,99,407,4.11,135,1.36,26570,268.38,4607,46.54,133,1.34
24,170,860,5.06,401,2.36,62255,366.21,10536,61.98,209,1.23
25,84,424,5.05,228,2.71,34900,415.48,5605,66.73,321,3.82
26,15092,15170,1.01,15122,1.00,5843589,387.20,121184,8.03,7407,0.49
