tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,503999,602609,1.20,497697,0.99,1573839,3.12,0,0.00,0,0.00
2,95695,104332,1.09,184237,1.93,867799,9.07,1652,0.02,7,0.00
3,38667,53906,1.39,50137,1.30,581373,15.04,26526,0.69,261,0.01
4,3271,11937,3.65,5306,1.62,110227,33.70,826,0.25,175,0.05
5,8009,15408,1.92,6178,0.77,245133,30.61,18178,2.27,340,0.04
6,2599,4359,1.68,2667,1.03,89301,34.36,10086,3.88,321,0.12
7,6855,22269,3.25,6688,0.98,370474,54.04,34849,5.08,311,0.05
8,1914,1235,0.65,1935,1.01,52754,27.56,758,0.40,588,0.31
9,3325,8883,2.67,1786,0.54,249644,75.08,25230,7.59,466,0.14
10,785,2551,3.25,716,0.91,60224,76.72,16866,21.49,223,0.28
11,1524,3007,1.97,1105,0.73,129247,84.81,3280,2.15,363,0.24
12,681,4182,6.14,682,1.00,69129,101.51,31579,46.37,2,0.00
13,369,1807,4.90,573,1.55,67412,182.69,5756,15.60,99,0.27
14,745,2402,3.22,556,0.75,161731,217.09,13320,17.88,241,0.32
15,452,334,0.74,81,0.18,12724,28.15,2526,5.59,188,0.42
16,798,2228,2.79,1213,1.52,181169,227.03,40939,51.30,421,0.53
17,1381,8433,6.11,2675,1.94,381226,276.05,38827,28.12,172,0.12
18,141,243,1.72,159,1.13,29175,206.91,2579,18.29,1623,11.51
19,161,519,3.22,110,0.68,24878,154.52,4108,25.52,230,1.43
20,19,51,2.68,19,1.00,5072,266.95,468,24.63,0,0.00
21,39,272,6.97,87,2.23,13197,338.38,2296,58.87,171,4.38
22,479,1479,3.09,473,0.99,75037,156.65,8004,16.71,1223,2.55
23,84,418,4.98,98,1.17,28206,335.79,4400,52.38,79,0.94
24,127,590,4.65,126,0.99,65144,512.94,6923,54.51,98,0.77
25,237,440,1.86,289,1.22,61035,257.53,9181,38.74,301,1.27
26,288,617,2.14,431,1.50,113916,395.54,3808,13.22,4622,16.05
27,689,6226,9.04,1564,2.27,256258,371.93,40499,58.78,396,0.57
28,228,1764,7.74,230,1.01,171536,752.35,16591,72.77,176,0.77
29,30,157,5.23,34,1.13,15983,532.77,2867,95.57,641,21.37
30,23,219,9.52,23,1.00,14170,616.09,2515,109.35,101,4.39
31,143,454,3.17,67,0.47,62609,437.83,7116,49.76,2090,14.62
32,13,123,9.46,20,1.54,7972,613.23,2086,160.46,130,10.00
33,55,418,7.60,129,2.35,35394,643.53,5946,108.11,53,0.96
34,27,273,10.11,54,2.00,20651,764.85,6857,253.96,219,8.11
35,576,2587,4.49,447,0.78,407056,706.69,27747,48.17,394,0.68
36,12,78,6.50,35,2.92,7227,602.25,1490,124.17,108,9.00
37,577,5632,9.76,1815,3.15,281125,487.22,86223,149.43,327,0.57
38,10,132,13.20,10,1.00,12467,1246.70,3128,312.80,179,17.90
39,9,203,22.56,42,4.67,4895,543.89,5717,635.22,147,16.33
40,24,184,7.67,29,1.21,17858,744.08,3304,137.67,87,3.62
41,129,722,5.60,254,1.97,57931,449.08,8067,62.53,881,6.83
42,15,214,14.27,8,0.53,11869,791.27,5040,336.00,483,32.20
43,65,762,11.72,113,1.74,56425,868.08,14628,225.05,420,6.46
44,134,1082,8.07,134,1.00,152934,1141.30,12881,96.13,1874,13.99
45,200,1736,8.68,315,1.57,190256,951.28,19053,95.27,2949,14.74
46,167,1246,7.46,378,2.26,211668,1267.47,23318,139.63,397,2.38
47,330,5506,16.68,1068,3.24,461916,1399.75,103357,313.20,732,2.22
48,11,116,10.55,30,2.73,11087,1007.91,2717,247.00,94,8.55
49,68,417,6.13,242,3.56,94707,1392.75,11279,165.87,870,12.79
50,3,49,16.33,3,1.00,1711,570.33,2047,682.33,46,15.33
51,10,133,13.30,55,5.50,11103,1110.30,5424,542.40,148,14.80
52,17,296,17.41,81,4.76,12803,753.12,8583,504.88,181,10.65
53,20,236,11.80,80,4.00,17777,888.85,6494,324.70,35,1.75
54,13,140,10.77,15,1.15,26209,2016.08,2923,224.85,126,9.69
55,117,1853,15.84,112,0.96,340652,2911.56,60699,518.79,548,4.68
56,4,228,57.00,168,42.00,25664,6416.00,1776,444.00,0,0.00
57,22,209,9.50,43,1.95,27822,1264.64,3315,150.68,840,38.18
