tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,156336,188852,1.21,151914,0.97,488267,3.12,0,0.00,0,0.00
2,23166,25520,1.10,42302,1.83,207711,8.97,187,0.01,13,0.00
3,15798,23576,1.49,20236,1.28,244322,15.47,11247,0.71,112,0.01
4,717,883,1.23,754,1.05,13638,19.02,241,0.34,46,0.06
5,3711,6438,1.73,3065,0.83,108958,29.36,8864,2.39,178,0.05
6,292,680,2.33,645,2.21,13600,46.58,2554,8.75,105,0.36
7,1032,3184,3.09,978,0.95,48630,47.12,10752,10.42,196,0.19
8,335,652,1.95,401,1.20,17779,53.07,1046,3.12,162,0.48
9,555,1655,2.98,366,0.66,40846,73.60,4411,7.95,280,0.50
10,81,139,1.72,82,1.01,8886,109.70,212,2.62,3,0.04
11,261,560,2.15,311,1.19,28987,111.06,1103,4.23,173,0.66
12,153,655,4.28,135,0.88,14525,94.93,4279,27.97,57,0.37
13,128,467,3.65,90,0.70,18299,142.96,2370,18.52,104,0.81
14,67,175,2.61,80,1.19,12237,182.64,586,8.75,146,2.18
15,108,367,3.40,82,0.76,11014,101.98,2715,25.14,144,1.33
16,125,316,2.53,138,1.10,23733,189.86,1504,12.03,284,2.27
17,542,1744,3.22,1047,1.93,131961,243.47,15630,28.84,172,0.32
18,181,224,1.24,181,1.00,32528,179.71,1081,5.97,2400,13.26
19,73,323,4.42,99,1.36,16349,223.96,2939,40.26,261,3.58
20,29,78,2.69,27,0.93,6466,222.97,672,23.17,0,0.00
21,51,390,7.65,114,2.24,17300,339.22,3766,73.84,247,4.84
22,148,208,1.41,104,0.70,26425,178.55,1335,9.02,202,1.36
23,97,446,4.60,132,1.36,27450,282.99,5634,58.08,144,1.48
24,92,329,3.58,89,0.97,34475,374.73,5586,60.72,123,1.34
25,53,218,4.11,131,2.47,21531,406.25,3100,58.49,224,4.23
26,34,66,1.94,26,0.76,13212,388.59,873,25.68,91,2.68
27,35,399,11.40,103,2.94,15241,435.46,4498,128.51,116,3.31
28,9,91,10.11,34,3.78,2424,269.33,1827,203.00,39,4.33
29,13,164,12.62,48,3.69,4743,364.85,3423,263.31,84,6.46
30,17,123,7.24,17,1.00,4205,247.35,1658,97.53,38,2.24
31,136,452,3.32,100,0.74,88955,654.08,5928,43.59,3083,22.67
32,24,220,9.17,37,1.54,16430,684.58,3772,157.17,144,6.00
33,79,578,7.32,193,2.44,51221,648.37,8847,111.99,0,0.00
34,12,89,7.42,10,0.83,6057,504.75,1836,153.00,93,7.75
35,54,262,4.85,103,1.91,41273,764.31,5735,106.20,108,2.00
36,11,71,6.45,11,1.00,4478,407.09,1654,150.36,141,12.82
37,58,632,10.90,194,3.34,34423,593.50,14298,246.52,252,4.34
38,3,51,17.00,3,1.00,1218,406.00,1632,544.00,0,0.00
39,6,171,28.50,57,9.50,3283,547.17,5692,948.67,24,4.00
40,35,275,7.86,33,0.94,26311,751.74,4735,135.29,126,3.60
41,42,355,8.45,148,3.52,21257,506.12,8419,200.45,420,10.00
42,22,264,12.00,22,1.00,14075,639.77,5996,272.55,641,29.14
43,71,833,11.73,128,1.80,64755,912.04,12455,175.42,326,4.59
44,4,79,19.75,9,2.25,4501,1125.25,2502,625.50,0,0.00
45,35,532,15.20,94,2.69,25658,733.09,13011,371.74,775,22.14
46,23,237,10.30,72,3.13,15239,662.57,5872,255.30,205,8.91
47,55,690,12.55,143,2.60,41665,757.55,12803,232.78,138,2.51
48,21,206,9.81,64,3.05,18225,867.86,4451,211.95,0,0.00
49,34,344,10.12,100,2.94,35501,1044.15,13782,405.35,156,4.59
50,10,81,8.10,12,1.20,10168,1016.80,3120,312.00,138,13.80
51,10,181,18.10,76,7.60,6122,612.20,7772,777.20,250,25.00
52,27,455,16.85,122,4.52,21590,799.63,13657,505.81,69,2.56
53,12,202,16.83,99,8.25,15490,1290.83,8821,735.08,0,0.00
54,16,81,5.06,22,1.38,21929,1370.56,804,50.25,99,6.19
55,15,231,15.40,12,0.80,26992,1799.47,4804,320.27,491,32.73
56,3,25,8.33,2,0.67,3197,1065.67,442,147.33,55,18.33
57,15,108,7.20,22,1.47,21707,1447.13,1896,126.40,504,33.60
58,4,20,5.00,5,1.25,6370,1592.50,680,170.00,59,14.75
59,18,149,8.28,23,1.28,18239,1013.28,1820,101.11,490,27.22
60,47,160,3.40,49,1.04,45891,976.40,8868,188.68,35,0.74
61,12,119,9.92,36,3.00,14026,1168.83,1408,117.33,60,5.00
62,4,19,4.75,11,2.75,41144,10286.00,1245,311.25,33,8.25
63,10,165,16.50,40,4.00,13851,1385.10,3074,307.40,124,12.40
64,6,93,15.50,25,4.17,16304,2717.33,2956,492.67,63,10.50
65,17,107,6.29,32,1.88,11244,661.41,1733,101.94,92,5.41
66,12,31,2.58,9,0.75,16880,1406.67,1386,115.50,381,31.75
67,14,320,22.86,62,4.43,26140,1867.14,10042,717.29,36,2.57
68,21,119,5.67,52,2.48,23009,1095.67,2227,106.05,807,38.43
69,5,92,18.40,5,1.00,7410,1482.00,1257,251.40,57,11.40
71,1,10,10.00,2,2.00,262,262.00,44,44.00,0,0.00
72,3,7,2.33,2,0.67,6737,2245.67,188,62.67,0,0.00
73,4,44,11.00,7,1.75,6072,1518.00,928,232.00,64,16.00
74,1,10,10.00,1,1.00,3126,3126.00,122,122.00,0,0.00
76,5,60,12.00,5,1.00,17292,3458.40,1484,296.80,0,0.00
77,13,256,19.69,59,4.54,23562,1812.46,6795,522.69,305,23.46
78,4,82,20.50,10,2.50,2829,707.25,1586,396.50,224,56.00
79,3,12,4.00,5,1.67,13905,4635.00,548,182.67,144,48.00
80,2,25,12.50,2,1.00,5323,2661.50,923,461.50,0,0.00
81,10,143,14.30,12,1.20,10149,1014.90,4814,481.40,384,38.40
82,3,45,15.00,3,1.00,7293,2431.00,2170,723.33,0,0.00
84,6,36,6.00,6,1.00,17509,2918.17,652,108.67,75,12.50
86,5,43,8.60,5,1.00,9802,1960.40,2077,415.40,246,49.20
87,74,464,6.27,111,1.50,164756,2226.43,14863,200.85,4221,57.04
88,5,11,2.20,6,1.20,10773,2154.60,711,142.20,0,0.00
89,18,69,3.83,6,0.33,31662,1759.00,1521,84.50,1320,73.33
90,4,99,24.75,4,1.00,7120,1780.00,11329,2832.25,69,17.25
91,6,174,29.00,60,10.00,8555,1425.83,6249,1041.50,97,16.17
92,2,12,6.00,10,5.00,1772,886.00,188,94.00,0,0.00
93,4,78,19.50,20,5.00,15590,3897.50,2102,525.50,0,0.00
94,1,40,40.00,0,0.00,2724,2724.00,828,828.00,89,89.00
95,3,21,7.00,3,1.00,6147,2049.00,390,130.00,195,65.00
97,6,160,26.67,21,3.50,8609,1434.83,7644,1274.00,288,48.00
99,3,51,17.00,0,0.00,7851,2617.00,492,164.00,294,98.00
100,3,54,18.00,3,1.00,14877,4959.00,1917,639.00,0,0.00
102,4,15,3.75,11,2.75,19799,4949.75,1241,310.25,101,25.25
105,3,21,7.00,12,4.00,3452,1150.67,292,97.33,134,44.67
107,3,132,44.00,33,11.00,6951,2317.00,4650,1550.00,0,0.00
108,6,35,5.83,16,2.67,9767,1627.83,649,108.17,452,75.33
109,6,196,32.67,16,2.67,25133,4188.83,5240,873.33,207,34.50
110,6,120,20.00,36,6.00,30420,5070.00,2988,498.00,0,0.00
113,5,23,4.60,5,1.00,21017,4203.40,2734,546.80,336,67.20
114,12,69,5.75,34,2.83,32471,2705.92,1828,152.33,0,0.00
115,6,128,21.33,17,2.83,9020,1503.33,7283,1213.83,314,52.33
116,1,8,8.00,3,3.00,2969,2969.00,94,94.00,0,0.00
117,16,476,29.75,38,2.38,78228,4889.25,16120,1007.50,207,12.94
120,1,7,7.00,3,3.00,2594,2594.00,165,165.00,0,0.00
121,5,74,14.80,38,7.60,9574,1914.80,1428,285.60,84,16.80
122,2,42,21.00,10,5.00,11518,5759.00,1524,762.00,0,0.00
124,3,66,22.00,3,1.00,19380,6460.00,3045,1015.00,0,0.00
125,1,4,4.00,0,0.00,3858,3858.00,289,289.00,0,0.00
126,8,68,8.50,16,2.00,23317,2914.62,3950,493.75,0,0.00
127,7,180,25.71,56,8.00,29058,4151.14,6711,958.71,58,8.29
129,3,13,4.33,11,3.67,23093,7697.67,2033,677.67,0,0.00
130,3,9,3.00,3,1.00,5634,1878.00,212,70.67,378,126.00
131,4,8,2.00,17,4.25,20522,5130.50,2025,506.25,130,32.50
132,1,9,9.00,3,3.00,2654,2654.00,182,182.00,0,0.00
133,1,0,0.00,0,0.00,0,0.00,0,0.00,132,132.00
135,1,7,7.00,5,5.00,2567,2567.00,194,194.00,0,0.00
136,2,20,10.00,14,7.00,3128,1564.00,246,123.00,218,109.00
137,2,77,38.50,16,8.00,3515,1757.50,2770,1385.00,0,0.00
138,4,40,10.00,12,3.00,10736,2684.00,768,192.00,0,0.00
140,1,17,17.00,4,4.00,9447,9447.00,697,697.00,0,0.00
141,22,1035,47.05,215,9.77,69275,3148.86,55683,2531.05,1086,49.36
142,1,47,47.00,0,0.00,658,658.00,320,320.00,141,141.00
145,5,130,26.00,12,2.40,7540,1508.00,15778,3155.60,432,86.40
146,3,3,1.00,3,1.00,5958,1986.00,252,84.00,426,142.00
147,14,227,16.21,126,9.00,64013,4572.36,7708,550.57,836,59.71
148,3,6,2.00,3,1.00,6633,2211.00,1740,580.00,0,0.00
151,14,182,13.00,138,9.86,39168,2797.71,9522,680.14,1287,91.93
153,6,96,16.00,12,2.00,50300,8383.33,9748,1624.67,40,6.67
154,7,261,37.29,90,12.86,20068,2866.86,17642,2520.29,9,1.29
156,1,7,7.00,1,1.00,580,580.00,25,25.00,48,48.00
157,1,13,13.00,3,3.00,7138,7138.00,366,366.00,0,0.00
158,3,9,3.00,9,3.00,22581,7527.00,2034,678.00,0,0.00
159,3,27,9.00,3,1.00,30603,10201.00,1926,642.00,0,0.00
160,2,32,16.00,4,2.00,10185,5092.50,847,423.50,131,65.50
161,1,8,8.00,3,3.00,14635,14635.00,697,697.00,152,152.00
162,11,147,13.36,33,3.00,65165,5924.09,3656,332.36,0,0.00
166,6,6,1.00,6,1.00,14022,2337.00,2580,430.00,486,81.00
167,1,2,2.00,0,0.00,4016,4016.00,536,536.00,166,166.00
169,1,9,9.00,3,3.00,15520,15520.00,798,798.00,160,160.00
170,12,144,12.00,84,7.00,100505,8375.42,7535,627.92,210,17.50
172,9,210,23.33,27,3.00,86724,9636.00,13080,1453.33,0,0.00
179,2,0,0.00,0,0.00,12965,6482.50,248,124.00,355,177.50
183,2,78,39.00,2,1.00,7784,3892.00,1171,585.50,258,129.00
186,2,80,40.00,16,8.00,13084,6542.00,3540,1770.00,173,86.50
187,1,15,15.00,3,3.00,10157,10157.00,588,588.00,0,0.00
188,3,6,2.00,3,1.00,7821,2607.00,384,128.00,552,184.00
191,10,20,2.00,170,17.00,117660,11766.00,17790,1779.00,0,0.00
192,15,258,17.20,120,8.00,69256,4617.07,11877,791.80,1206,80.40
193,1,8,8.00,0,0.00,3474,3474.00,746,746.00,192,192.00
196,4,107,26.75,3,0.75,39810,9952.50,9021,2255.25,195,48.75
197,1,31,31.00,2,2.00,766,766.00,464,464.00,0,0.00
198,2,4,2.00,0,0.00,17044,8522.00,1584,792.00,394,197.00
199,1,0,0.00,0,0.00,0,0.00,0,0.00,198,198.00
201,6,429,71.50,105,17.50,32892,5482.00,26232,4372.00,0,0.00
203,2,22,11.00,16,8.00,14267,7133.50,1480,740.00,314,157.00
205,1,4,4.00,5,5.00,20931,20931.00,2353,2353.00,0,0.00
208,3,6,2.00,3,1.00,8793,2931.00,2152,717.33,390,130.00
209,1,9,9.00,10,10.00,18960,18960.00,15391,15391.00,205,205.00
210,3,9,3.00,3,1.00,8874,2958.00,536,178.67,618,206.00
213,1,10,10.00,5,5.00,7207,7207.00,835,835.00,0,0.00
216,1,5,5.00,0,0.00,3685,3685.00,185,185.00,215,215.00
217,10,150,15.00,30,3.00,180729,18072.90,15111,1511.10,2080,208.00
220,3,114,38.00,3,1.00,37392,12464.00,10467,3489.00,0,0.00
222,3,438,146.00,75,25.00,21588,7196.00,41148,13716.00,0,0.00
223,1,3,3.00,3,3.00,9453,9453.00,923,923.00,0,0.00
225,3,243,81.00,36,12.00,27006,9002.00,6747,2249.00,0,0.00
226,7,34,4.86,15,2.14,20640,2948.57,4958,708.29,891,127.29
232,2,20,10.00,24,12.00,4814,2407.00,628,314.00,368,184.00
