tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned
1,29924,36774,1.23,30011,1.00,95543,3.19,0,0.00,0,0.00
2,3211,3580,1.11,5838,1.82,28612,8.91,15,0.00,1,0.00
3,3902,5855,1.50,4918,1.26,60275,15.45,2687,0.69,14,0.00
4,103,100,0.97,90,0.87,1930,18.74,33,0.32,11,0.11
5,817,1349,1.65,667,0.82,22775,27.88,1975,2.42,10,0.01
6,23,56,2.43,64,2.78,1062,46.17,250,10.87,5,0.22
7,170,527,3.10,168,0.99,7600,44.71,2413,14.19,16,0.09
8,18,25,1.39,18,1.00,1264,70.22,35,1.94,7,0.39
9,34,93,2.74,24,0.71,2357,69.32,301,8.85,22,0.65
10,8,14,1.75,7,0.88,894,111.75,23,2.88,9,1.12
11,42,88,2.10,59,1.40,4950,117.86,100,2.38,5,0.12
12,14,34,2.43,11,0.79,1230,87.86,145,10.36,19,1.36
13,11,32,2.91,11,1.00,1730,157.27,195,17.73,20,1.82
14,4,12,3.00,4,1.00,1026,256.50,23,5.75,12,3.00
15,13,60,4.62,16,1.23,1610,123.85,418,32.15,28,2.15
16,7,22,3.14,9,1.29,1148,164.00,144,20.57,15,2.14
17,144,450,3.12,291,2.02,36570,253.96,4373,30.37,0,0.00
18,58,64,1.10,58,1.00,10099,174.12,308,5.31,798,13.76
19,8,55,6.88,16,2.00,2027,253.38,617,77.12,0,0.00
20,4,13,3.25,4,1.00,841,210.25,151,37.75,0,0.00
21,9,60,6.67,26,2.89,2155,239.44,651,72.33,45,5.00
22,10,10,1.00,6,0.60,1958,195.80,109,10.90,0,0.00
23,21,103,4.90,31,1.48,6919,329.48,1475,70.24,16,0.76
24,24,98,4.08,24,1.00,9444,393.50,1613,67.21,16,0.67
25,2,36,18.00,12,6.00,683,341.50,728,364.00,0,0.00
26,5,15,3.00,5,1.00,1878,375.60,243,48.60,22,4.40
27,2,39,19.50,13,6.50,743,371.50,872,436.00,0,0.00
28,2,30,15.00,11,5.50,678,339.00,644,322.00,0,0.00
29,3,42,14.00,14,4.67,777,259.00,1016,338.67,26,8.67
30,1,13,13.00,1,1.00,314,314.00,312,312.00,0,0.00
31,40,143,3.58,22,0.55,28256,706.40,2103,52.58,981,24.52
32,3,29,9.67,4,1.33,1891,630.33,565,188.33,59,19.67
33,27,201,7.44,67,2.48,17459,646.63,3167,117.30,55,2.04
34,5,29,5.80,7,1.40,4498,899.60,565,113.00,33,6.60
35,4,59,14.75,19,4.75,2768,692.00,1682,420.50,16,4.00
