build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
visit-gc,anstyle-query-1.1.5,success,3.616,4.078,3,3,2026-07-08T15:42:30Z,1926399
visit-gc,block-buffer-0.12.0,success,7.085,5.902,11,11,2026-07-08T15:42:34Z,1926381
visit-gc,cpufeatures-0.3.0,success,2.617,11.741,3,3,2026-07-08T15:42:38Z,1926391
visit-gc,bytemuck-1.25.0,success,4.368,15.990,43,41,2026-07-08T15:42:42Z,1926386
visit-gc,clap_lex-1.1.0,success,15.509,6.363,18,17,2026-07-08T15:42:45Z,1926388
visit-gc,allocator-api2-0.4.0,success,5.154,23.313,167,167,2026-07-08T15:42:50Z,1926397
visit-gc,bit-set-0.10.0,success,10.955,14.489,47,47,2026-07-08T15:42:50Z,1926379
visit-gc,backtrace-0.3.76,test_failed,17.457,8.893,3,1,2026-07-08T15:42:53Z,1926392
visit-gc,arrayvec-0.7.6,success,14.025,18.352,93,92,2026-07-08T15:42:55Z,1926389
visit-gc,camino-1.2.2,test_failed,16.105,17.566,85,81,2026-07-08T15:43:01Z,1926385
visit-gc,core-foundation-sys-0.8.7,success,1.388,1.836,1,1,2026-07-08T15:43:04Z,1926408
visit-gc,base16ct-1.0.0,success,1.021,3.657,11,11,2026-07-08T15:43:05Z,1926407
visit-gc,android_system_properties-0.1.5,success,2.903,1.924,4,4,2026-07-08T15:43:06Z,1926405
visit-gc,anstream-1.0.0,success,28.831,4.892,30,21,2026-07-08T15:43:03Z,1926380
visit-gc,anstyle-1.0.14,success,5.910,6.826,42,42,2026-07-08T15:43:06Z,1926403
visit-gc,anyhow-1.0.102,success,27.423,22.805,98,97,2026-07-08T15:43:14Z,1926382
visit-gc,ansi_term-0.12.1,success,8.546,39.710,105,105,2026-07-08T15:43:15Z,1926383
visit-gc,alloc-stdlib-0.2.2,test_failed,1.006,4.157,11,2,2026-07-08T15:43:25Z,1926416
visit-gc,alloc-no-stdlib-2.0.4,success,0.830,5.065,9,9,2026-07-08T15:43:26Z,1926414
visit-gc,colored-3.1.1,test_failed,23.961,10.510,128,19,2026-07-08T15:43:32Z,1926400
visit-gc,constant_time_eq-0.5.0,success,43.438,5.905,12,12,2026-07-08T15:43:34Z,1926390
visit-gc,addr2line-0.26.1,success,54.824,2.170,3,3,2026-07-08T15:43:37Z,1926378
visit-gc,bindgen-0.72.1,test_failed,22.415,24.715,47,29,2026-07-08T15:43:45Z,1926402
visit-gc,cc-1.2.63,success,8.177,9.753,45,43,2026-07-08T15:43:48Z,1926417
visit-gc,async-trait-0.1.89,success,43.867,2.901,5,4,2026-07-08T15:43:50Z,1926409
visit-gc,const-oid-0.10.2,test_failed,33.378,9.100,27,26,2026-07-08T15:43:52Z,1926395
visit-gc,crc32fast-1.5.0,test_failed,4.455,79.571,6,5,2026-07-08T15:44:05Z,1926401
visit-gc,data-encoding-2.11.0,success,1.252,8.728,43,42,2026-07-08T15:44:10Z,1926426
visit-gc,dirs-sys-0.5.0,success,10.188,8.001,9,9,2026-07-08T15:44:22Z,1926428
visit-gc,async-lock-3.4.2,success,9.648,108.160,118,114,2026-07-08T15:44:26Z,1926398
visit-gc,async-stream-0.3.6,test_failed,48.871,5.182,2,2,2026-07-08T15:44:25Z,1926415
visit-gc,byteorder-1.5.0,success,8.043,52.618,412,412,2026-07-08T15:44:22Z,1926412
visit-gc,dashmap-6.2.1,test_failed,19.305,20.188,20,20,2026-07-08T15:44:38Z,1926425
visit-gc,crossbeam-utils-0.8.21,success,9.294,41.887,221,220,2026-07-08T15:44:37Z,1926421
visit-gc,errno-0.3.14,test_failed,2.738,1.823,4,3,2026-07-08T15:44:41Z,1926434
visit-gc,der-0.8.0,test_failed,21.057,12.039,78,76,2026-07-08T15:44:41Z,1926427
visit-gc,concurrent-queue-2.5.0,success,31.359,40.943,45,45,2026-07-08T15:44:42Z,1926413
visit-gc,dirs-sys-next-0.1.2,success,3.266,3.674,9,9,2026-07-08T15:44:46Z,1926429
visit-gc,crossbeam-queue-0.3.12,success,8.420,57.372,36,36,2026-07-08T15:44:48Z,1926420
visit-gc,either-1.16.0,success,5.393,10.988,65,65,2026-07-08T15:44:51Z,1926431
visit-gc,dyn-clone-1.0.20,success,19.363,5.391,13,12,2026-07-08T15:45:01Z,1926430
visit-gc,bumpalo-3.20.3,success,69.093,20.084,52,49,2026-07-08T15:44:49Z,1926393
visit-gc,form_urlencoded-1.2.2,success,1.446,1.376,1,1,2026-07-08T15:45:07Z,1926440
visit-gc,csv-1.4.0,test_failed,14.426,61.851,183,141,2026-07-08T15:45:06Z,1926424
visit-gc,futures-channel-0.3.32,test_failed,1.535,2.598,1,1,2026-07-08T15:45:08Z,1926441
visit-gc,bit-vec-0.9.1,success,32.793,107.442,106,106,2026-07-08T15:45:09Z,1926396
visit-gc,foreign-types-0.5.0,success,8.850,3.501,5,5,2026-07-08T15:45:19Z,1926439
visit-gc,erased-serde-0.4.10,success,21.413,9.266,31,30,2026-07-08T15:45:18Z,1926433
visit-gc,combine-4.6.7,test_failed,74.729,43.491,227,224,2026-07-08T15:45:20Z,1926406
visit-gc,event-listener-strategy-0.5.4,success,3.890,2.919,5,5,2026-07-08T15:45:22Z,1926436
visit-gc,futures-task-0.3.32,test_failed,6.065,5.718,3,1,2026-07-08T15:45:31Z,1926442
visit-gc,http-body-1.0.1,success,2.443,2.310,2,2,2026-07-08T15:45:39Z,1926480
visit-gc,inout-0.2.2,success,7.849,5.501,1,1,2026-07-08T15:45:51Z,1926483
visit-gc,bincode-2.0.1,success,44.600,86.257,86,82,2026-07-08T15:45:50Z,1926411
visit-gc,event-listener-5.4.1,success,37.428,13.349,43,43,2026-07-08T15:45:50Z,1926435
