build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
visit-gc-bsan,core-foundation-sys-0.8.7,success,6.648,1.763,1,1,2026-07-09T19:44:18Z,1932454
visit-gc-bsan,anstyle-query-1.1.5,success,7.418,1.375,3,3,2026-07-09T19:44:23Z,1932452
visit-gc-bsan,base16ct-1.0.0,success,8.095,6.402,11,11,2026-07-09T19:44:24Z,1932449
visit-gc-bsan,android_system_properties-0.1.5,success,15.179,3.041,4,4,2026-07-09T19:44:30Z,1932462
visit-gc-bsan,anstream-1.0.0,build_failed,11.678,0.000,0,0,2026-07-09T19:44:33Z,1932466
visit-gc-bsan,block-buffer-0.12.0,success,25.428,7.620,11,11,2026-07-09T19:44:48Z,1932445
visit-gc-bsan,clap_lex-1.1.0,success,28.834,10.215,18,17,2026-07-09T19:44:52Z,1932443
visit-gc-bsan,cpufeatures-0.3.0,success,11.620,7.652,3,3,2026-07-09T19:44:45Z,1932453
visit-gc-bsan,bit-set-0.10.0,success,41.377,20.528,47,47,2026-07-09T19:45:17Z,1932467
visit-gc-bsan,anstyle-1.0.14,success,32.614,7.986,42,42,2026-07-09T19:45:13Z,1932447
visit-gc-bsan,camino-1.2.2,success,40.903,25.029,85,85,2026-07-09T19:45:23Z,1932470
visit-gc-bsan,bytemuck-1.25.0,success,14.520,13.639,43,41,2026-07-09T19:45:37Z,1932479
visit-gc-bsan,cc-1.2.63,success,56.100,12.427,45,43,2026-07-09T19:45:55Z,1932457
visit-gc-bsan,allocator-api2-0.4.0,success,6.686,77.637,167,167,2026-07-09T19:46:15Z,1932475
visit-gc-bsan,dashmap-6.2.1,build_failed,0.094,0.000,0,0,2026-07-09T19:46:33Z,1932488
visit-gc-bsan,async-stream-0.3.6,build_failed,133.697,0.000,0,0,2026-07-09T19:46:32Z,1932471
visit-gc-bsan,dirs-sys-0.5.0,success,9.839,1.635,9,9,2026-07-09T19:47:02Z,1932491
visit-gc-bsan,data-encoding-2.11.0,success,10.318,12.877,43,42,2026-07-09T19:47:03Z,1932489
visit-gc-bsan,dirs-sys-next-0.1.2,success,9.783,1.517,9,9,2026-07-09T19:47:06Z,1932492
visit-gc-bsan,colored-3.1.1,test_failed,96.848,56.672,128,19,2026-07-09T19:47:04Z,1932441
visit-gc-bsan,errno-0.3.14,success,7.459,1.694,5,5,2026-07-09T19:47:29Z,1932500
visit-gc-bsan,csv-1.4.0,test_failed,100.948,2.111,141,0,2026-07-09T19:47:32Z,1932487
visit-gc-bsan,either-1.16.0,success,13.393,17.622,65,65,2026-07-09T19:47:41Z,1932495
visit-gc-bsan,const-oid-0.10.2,success,121.831,76.679,29,29,2026-07-09T19:47:56Z,1932456
visit-gc-bsan,futures-channel-0.3.32,build_failed,2.265,0.000,0,0,2026-07-09T19:48:21Z,1932509
visit-gc-bsan,byteorder-1.5.0,success,52.834,194.791,802,802,2026-07-09T19:48:22Z,1932465
visit-gc-bsan,form_urlencoded-1.2.2,success,2.641,1.609,1,1,2026-07-09T19:48:23Z,1932508
visit-gc-bsan,ansi_term-0.12.1,success,60.676,36.255,105,105,2026-07-09T19:47:58Z,1932463
visit-gc-bsan,event-listener-strategy-0.5.4,test_failed,9.673,9.363,5,3,2026-07-09T19:48:24Z,1932504
visit-gc-bsan,foreign-types-0.5.0,success,16.578,3.999,5,5,2026-07-09T19:48:49Z,1932507
visit-gc-bsan,bumpalo-3.20.3,success,186.574,21.400,52,49,2026-07-09T19:48:49Z,1932455
visit-gc-bsan,futures-task-0.3.32,test_failed,7.090,1.536,3,1,2026-07-09T19:49:05Z,1932511
visit-gc-bsan,getrandom-0.4.2,test_failed,10.250,4.717,9,0,2026-07-09T19:49:13Z,1932518
visit-gc-bsan,async-lock-3.4.2,test_failed,47.967,3.916,2,0,2026-07-09T19:48:37Z,1932477
visit-gc-bsan,event-listener-5.4.1,test_failed,128.173,3.848,11,2,2026-07-09T19:49:45Z,1932502
visit-gc-bsan,http-body-1.0.1,success,10.285,2.553,2,2,2026-07-09T19:50:02Z,1932526
visit-gc-bsan,crc32fast-1.5.0,success,42.432,303.442,8,8,2026-07-09T19:50:00Z,1932458
visit-gc-bsan,foldhash-0.2.0,success,141.956,3.418,4,4,2026-07-09T19:50:23Z,1932506
visit-gc-bsan,der-0.8.0,success,131.597,37.911,100,99,2026-07-09T19:50:15Z,1932490
visit-gc-bsan,hashlink-0.11.0,success,39.102,12.479,66,66,2026-07-09T19:50:25Z,1932522
visit-gc-bsan,inout-0.2.2,success,11.996,2.938,1,1,2026-07-09T19:50:38Z,1932531
visit-gc-bsan,io-lifetimes-3.0.1,success,4.901,1.436,9,7,2026-07-09T19:51:07Z,1932532
