crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures
alloc-no-stdlib-2.0.4,"308,640","2,515,314","8.1 (285,471)","798,263","2.6 (29,601)","530,995","1.7 (8,197)","126,722,801","410.6 (26,301,114)","92,575,317","299.9 (28,763,037)",640,"1,210,957","3.9 (267,903)","23,329"
alloc-stdlib-0.2.2,"375,201","3,174,315","8.5 (342,551)","994,243","2.6 (36,179)","667,082","1.8 (8,221)","154,845,949","412.7 (30,346,976)","132,043,406","351.9 (34,735,778)",822,"1,622,203","4.3 (321,519)","28,508"
ansi_term-0.12.1,"2,414,106","20,116,442","8.3 (1,826,826)","6,795,497","2.8 (190,762)","4,164,095","1.7 (22,678)","1,009,317,204","418.1 (166,975,040)","1,348,912,076","558.8 (286,905,729)","5,360","10,036,768","4.2 (1,713,610)","289,738"
anstyle-1.0.14,"275,894","2,237,462","8.1 (253,752)","712,364","2.6 (26,312)","460,136","1.7 (3,128)","113,647,886","411.9 (24,143,448)","81,768,437","296.4 (25,378,240)",576,"1,070,507","3.9 (238,136)","20,128"
anstyle-query-1.1.5,"103,076","828,945","8.0 (95,091)","264,782","2.6 (9,867)","171,349","1.7 (1,173)","40,358,619","391.5 (7,617,114)","30,833,166","299.1 (9,583,341)",213,"415,224","4.0 (89,235)","7,494"
anyhow-1.0.102,"2,240,875","18,391,897","8.2 (2,159,680)","5,798,950","2.6 (223,652)","3,727,406","1.7 (26,588)","926,733,415","413.6 (198,859,608)","695,975,313","310.6 (218,265,176)","4,634","9,066,110","4.0 (2,027,012)","165,891"
arc-swap-1.9.1,"1,274,003","10,454,664","8.2 (1,213,641)","3,304,587","2.6 (128,271)","2,129,712","1.7 (15,249)","514,260,400","403.7 (102,125,868)","392,733,566","308.3 (122,371,821)","2,730","5,172,024","4.1 (1,139,073)","95,243"
arrayvec-0.7.6,"1,762,676","14,389,951","8.2 (1,575,450)","4,619,877","2.6 (164,450)","2,996,812","1.7 (19,550)","727,622,917","412.8 (146,829,450)","570,080,694","323.4 (159,286,300)","3,736","6,851,384","3.9 (1,477,850)","125,330"
async-lock-3.4.2,"3,330,305","20,524,023","6.2 (4,932,124)","6,754,978","2.0 (62,493)","4,758,041","1.4 (7,431)","449,179,484","134.9 (56,703,798)","340,875,279","102.4 (60,408,011)","2,398","10,438,388","3.1 (4,349,910)","795,313"
async-trait-0.1.89,"137,283","1,107,683","8.1 (126,828)","353,654","2.6 (13,156)","228,376","1.7 (1,564)","55,530,855","404.5 (11,775,672)","41,136,279","299.6 (12,963,360)",288,"550,349","4.0 (119,020)","10,062"
atomic-waker-1.1.2,"34,543","267,608","7.7 (31,497)","87,567","2.5 (3,289)","57,290",1.7 (391),"13,724,631","397.3 (2,885,789)","10,192,415","295.1 (3,181,035)",70,"138,910","4.0 (29,545)","2,548"
