crate,trees,nodes,avg_nodes,read,avg_read (max),write,avg_write (max),visited,avg_visited (max),skipped,avg_skipped (max),gc_invoked,gc_pruned,avg_gc_pruned,exposures
alloc-no-stdlib-2.0.4,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
alloc-stdlib-0.2.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
ansi_term-0.12.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
anstyle-1.0.14,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
anstyle-query-1.1.5,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
anyhow-1.0.102,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
arc-swap-1.9.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
arrayvec-0.7.6,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
async-lock-3.4.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
async-trait-0.1.89,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
atomic-waker-1.1.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
backtrace-0.3.76,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
base16ct-1.0.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
base64ct-1.8.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
bincode-2.0.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
bindgen-0.72.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
bit-set-0.10.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
bit-vec-0.9.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
block-buffer-0.12.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
brotli-decompressor-5.0.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
bumpalo-3.20.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
bytemuck-1.25.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
byteorder-1.5.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
bytes-1.11.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
camino-1.2.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
cc-1.2.63,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
colored-3.1.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
concurrent-queue-2.5.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
const-oid-0.10.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
core-foundation-sys-0.8.7,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
cpufeatures-0.3.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
crc32fast-1.5.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
crossbeam-channel-0.5.15,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
crossbeam-deque-0.8.6,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
crossbeam-queue-0.3.12,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
crossbeam-utils-0.8.21,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
crypto-bigint-0.7.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
csv-1.4.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
der-0.8.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
dirs-sys-0.5.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
dirs-sys-next-0.1.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
dyn-clone-1.0.20,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
either-1.16.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
encoding_rs-0.8.35,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
erased-serde-0.4.10,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
errno-0.3.14,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
event-listener-5.4.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
event-listener-strategy-0.5.4,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
fixedbitset-0.5.7,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
futures-task-0.3.32,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
futures-util-0.3.32,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
generic-array-1.4.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
generic-array-1.4.3,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
getrandom-0.4.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
gimli-0.33.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
half-2.7.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
hashbrown-0.17.1,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
hashlink-0.11.0,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
hostname-0.4.2,0,0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0.0 (0),0,0,0.0 (0),0
