crate,name,version,repository,host,extern_c,extern_c_unwind,extern_cpp,matched_files,status
PoWerRuSt-0.2.1,PoWerRuSt,0.2.1,https://github.com/Variably-Constant/PWRS,github,85,0,0,3,"extern ""C"""
a3s-libkrun-sys-3.3.0,a3s-libkrun-sys,3.3.0,https://github.com/A3S-Lab/Box,github,6,0,0,1,"extern ""C"""
a653rs-0.6.1,a653rs,0.6.1,https://github.com/DLR-FT/a653rs/,github,1,0,0,1,"extern ""C"""
accelerate-sparse-0.1.0,accelerate-sparse,0.1.0,https://github.com/w1th0utnam3/accelerate-sparse,github,1,0,0,1,"extern ""C"""
accelerate-sparse-sys-0.1.0,accelerate-sparse-sys,0.1.0,https://github.com/w1th0utnam3/accelerate-sparse,github,4,0,0,3,"extern ""C"""
accounts-service-0.1.2,accounts-service,0.1.2,https://github.com/SergeGris/accounts-service-gir/tree/master/accounts-service,github,64,0,0,2,"extern ""C"""
acp-ffi-1.0.0,acp-ffi,1.0.0,https://github.com/stateset/stateset-acp-handler,github,14,0,0,1,"extern ""C"""
acpica-bindings-0.1.2,acpica-bindings,0.1.2,https://github.com/MarkRoss470/acpica-rust-bindings,github,79,0,0,17,"extern ""C"""
adamo-0.1.104,adamo,0.1.104,https://github.com/adamohq/adamo-network,github,2,0,0,1,"extern ""C"""
aditjind-crate-1.0.0,aditjind-crate,1.0.0,https://github.com/opensearch-project/opensearch-rs,github,1,0,0,1,"extern ""C"""
adlx-0.0.0-alpha.1,adlx,0.0.0-alpha.1,https://github.com/Traverse-Research/adlx-rs,github,266,0,0,1,"extern ""C"""
aerofi-plugin-api-0.1.0,aerofi-plugin-api,0.1.0,https://github.com/frostymur/aerofi,github,7,0,0,1,"extern ""C"""
aes_externalobj-0.1.2,aes_externalobj,0.1.2,https://github.com/akainq/aes_externalobj,github,39,0,0,5,"extern ""C"""
aetherdsp-juce-bridge-0.1.9,aetherdsp-juce-bridge,0.1.9,https://github.com/1yos/aether-dsp,github,22,0,0,2,"extern ""C"""
affineui-0.4.2,affineui,0.4.2,https://github.com/affineui/affineui,github,37,0,0,4,"extern ""C"""
aframe-0.7.1,aframe,0.7.1,https://github.com/Eolu/aframe-rs,github,1,0,0,1,"extern ""C"""
ag-grid-rs-0.2.2,ag-grid-rs,0.2.2,https://github.com/mfreeborn/ag-grid-rs,github,6,0,0,4,"extern ""C"""
agentcell-0.1.0,agentcell,0.1.0,https://github.com/EeroEternal/agentcell,github,1,0,0,1,"extern ""C"""
agentic-connect-ffi-0.1.0,agentic-connect-ffi,0.1.0,https://github.com/agentralabs/agentic-connect,github,2,0,0,1,"extern ""C"""
agentic-contract-ffi-0.1.0,agentic-contract-ffi,0.1.0,https://github.com/agentralabs/agentic-contract,github,8,0,0,1,"extern ""C"""
agentic-data-ffi-0.1.0,agentic-data-ffi,0.1.0,https://github.com/agentralabs/agentic-data,github,6,0,0,1,"extern ""C"""
agentic-identity-ffi-0.3.0,agentic-identity-ffi,0.3.0,https://github.com/agentralabs/agentic-identity,github,11,0,0,1,"extern ""C"""
agentic-time-ffi-0.1.0,agentic-time-ffi,0.1.0,https://github.com/agentralabs/agentic-time,github,5,0,0,1,"extern ""C"""
agentic-veritas-ffi-0.1.0,agentic-veritas-ffi,0.1.0,https://github.com/agentralabs/agentic-veritas,github,6,0,0,1,"extern ""C"""
agentic-workflow-ffi-0.1.0,agentic-workflow-ffi,0.1.0,https://github.com/agentralabs/agentic-workflow,github,9,0,0,1,"extern ""C"""
ahv-0.3.0,ahv,0.3.0,https://www.github.com/marysaka/ahv.git,github,2,0,0,2,"extern ""C"""
ai-flate2-1.1.9,ai-flate2,1.1.9,https://github.com/atom-planet-embrace/ai-flate2,github,4,0,0,1,"extern ""C"""
ai-meta-rs-0.1.1,ai-meta-rs,0.1.1,https://github.com/localtools/ai-meta-rs,github,5,0,0,2,"extern ""C"""
ailake-jni-0.1.12,ailake-jni,0.1.12,https://github.com/ThiagoLange/ai-lakehouse,github,22,0,0,1,"extern ""C"""
aimdb-sync-0.6.0,aimdb-sync,0.6.0,https://github.com/aimdb-dev/aimdb,github,2,0,0,1,"extern ""C"""
aimux-ffi-0.3.0,aimux-ffi,0.3.0,118,other,0,0,3,kept,"extern ""C++"""
alloca-0.4.0,alloca,0.4.0,https://github.com/playXE/alloca-rs,github,0,3,0,1,"extern ""C-unwind"""
